;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;27438;1703;25735;339;25396;100;6,206720606;93,79327939;1,235512792;92,5577666;13592;814;12778;175;12603;49,53713828;2,966688534;46,57044974;0,637801589;45,93264815;13846;889;12957;164;12793;50,46286172;3,240032072;47,22282965;0,597711203;46,62511845
02 Indre ùstfold;54044;2877;51167;567;50600;100;5,32344016;94,67655984;1,049145141;93,6274147;26758;1400;25358;299;25059;49,51150914;2,59048183;46,92102731;0,553252905;46,36777441;27286;1477;25809;268;25541;50,48849086;2,73295833;47,75553253;0,495892236;47,25964029
03 Mosseregionen;51691;3337;48354;953;47401;100;6,455669265;93,54433073;1,84364783;91,7006829;25472;1645;23827;525;23302;49,27743708;3,182372173;46,0950649;1,015650694;45,07941421;26219;1692;24527;428;24099;50,72256292;3,273297092;47,44926583;0,827997137;46,62126869
04 Nedre Glomma;121949;6911;115038;1092;113946;100;5,667123142;94,33287686;0,895456297;93,43742056;59646;3418;56228;589;55639;48,91061017;2,802811011;46,10779916;0,48298879;45,62481037;62303;3493;58810;503;58307;51,08938983;2,86431213;48,2250777;0,412467507;47,81261019
05 Akershus Vest;152819;13365;139454;2201;137253;100;8,745640267;91,25435973;1,440265936;89,8140938;74467;6072;68395;1125;67270;48,72888842;3,973327924;44,7555605;0,736165006;44,01939549;78352;7293;71059;1076;69983;51,27111158;4,772312343;46,49879923;0,70410093;45,7946983
06 Follo;114519;7599;106920;1272;105648;100;6,635580122;93,36441988;1,110732717;92,25368716;56733;3612;53121;662;52459;49,54025096;3,154061771;46,38618919;0,578070015;45,80811918;57786;3987;53799;610;53189;50,45974904;3,481518351;46,97823069;0,532662702;46,44556798
07 Nedre Romerike;139874;9524;130350;2612;127738;100;6,80898523;93,19101477;1,867394941;91,32361983;69535;4608;64927;1317;63610;49,71259848;3,294393526;46,41820496;0,941561691;45,47664326;70339;4916;65423;1295;64128;50,28740152;3,514591704;46,77280981;0,92583325;45,84697656
08 ùvre Romerike;76071;3353;72718;603;72115;100;4,407724363;95,59227564;0,792680522;94,79959512;38207;1578;36629;333;36296;50,22544728;2,074377884;48,1510694;0,437748945;47,71332045;37864;1775;36089;270;35819;49,77455272;2,333346479;47,44120624;0,354931577;47,08627466
