;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;25844;866;24978;92;24886;100;3,350874478;96,64912552;0,355982046;96,29314348;12769;391;12378;49;12329;49,40798638;1,512923696;47,89506268;0,189599133;47,70546355;13075;475;12600;43;12557;50,59201362;1,837950782;48,75406284;0,166382913;48,58767993
02 Indre ùstfold;50421;1179;49242;139;49103;100;2,338311418;97,66168858;0,275678785;97,3860098;25202;610;24592;69;24523;49,98314194;1,209813371;48,77332857;0,136847742;48,63648083;25219;569;24650;70;24580;50,01685806;1,128498046;48,88836001;0,138831043;48,74952897
03 Mosseregionen;45567;1737;43830;249;43581;100;3,811969188;96,18803081;0,546448087;95,64158272;22454;917;21537;138;21399;49,27688898;2,01242127;47,26446771;0,302850747;46,96161696;23113;820;22293;111;22182;50,72311102;1,799547918;48,9235631;0,24359734;48,67996576
04 Nedre Glomma;2921;58;2863;4;2859;100;1,985621363;98,01437864;0,136939404;97,87743923;1461;21;1440;2;1438;50,01711743;0,718931873;49,29818555;0,068469702;49,22971585;1460;37;1423;2;1421;49,98288257;1,26668949;48,71619308;0,068469702;48,64772338
05 Akershus Vest;123635;6809;116826;574;116252;100;5,507340154;94,49265985;0,464269827;94,02839002;60841;3051;57790;282;57508;49,21017511;2,467747806;46,74242731;0,228090751;46,51433656;62794;3758;59036;292;58744;50,78982489;3,039592348;47,75023254;0,236179076;47,51405346
06 Follo;91534;3167;88367;282;88085;100;3,459916534;96,54008347;0,308082243;96,23200122;45707;1511;44196;144;44052;49,93445059;1,650752726;48,28369786;0,157318592;48,12637927;45827;1656;44171;138;44033;50,06554941;1,809163808;48,25638561;0,150763651;48,10562195
07 Nedre Romerike;116097;3355;112742;456;112286;100;2,889824888;97,11017511;0,392775007;96,71740011;58160;1603;56557;242;56315;50,09604038;1,380741966;48,71529841;0,208446385;48,50685203;57937;1752;56185;214;55971;49,90395962;1,509082922;48,3948767;0,184328622;48,21054808
08 ùvre Romerike;61973;847;61126;69;61057;100;1,366724219;98,63327578;0,111338809;98,52193697;31033;391;30642;29;30613;50,07503268;0,630919917;49,44411276;0,046794572;49,39731819;30940;456;30484;40;30444;49,92496732;0,735804302;49,18916302;0,064544237;49,12461879
