;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;25953;1132;24821;155;24666;100;4,361730821;95,63826918;0,59723346;95,04103572;12756;550;12206;77;12129;49,15038724;2,119215505;47,03117173;0,296690171;46,73448156;13197;582;12615;78;12537;50,84961276;2,242515316;48,60709745;0,30054329;48,30655416
02 Indre ùstfold;50809;1710;49099;302;48797;100;3,365545474;96,63445453;0,594382885;96,04007164;25299;888;24411;155;24256;49,79235962;1,74772186;48,04463776;0,305064063;47,7395737;25510;822;24688;147;24541;50,20764038;1,617823614;48,58981676;0,289318821;48,30049794
03 Mosseregionen;47550;2517;45033;570;44463;100;5,293375394;94,70662461;1,19873817;93,50788644;23453;1271;22182;311;21871;49,32281809;2,672975815;46,64984227;0,65404837;45,9957939;24097;1246;22851;259;22592;50,67718191;2,620399579;48,05678233;0,5446898;47,51209253
04 Nedre Glomma;115070;3547;111523;451;111072;100;3,082471539;96,91752846;0,391935344;96,52559312;56146;1670;54476;245;54231;48,79290866;1,451290519;47,34161815;0,212913879;47,12870427;58924;1877;57047;206;56841;51,20709134;1,63118102;49,57591032;0,179021465;49,39688885
05 Akershus Vest;139944;9261;130683;1151;129532;100;6,617647059;93,38235294;0,822471846;92,5598811;68376;4197;64179;565;63614;48,85954382;2,999056766;45,86048705;0,403732922;45,45675413;71568;5064;66504;586;65918;51,14045618;3,618590293;47,52186589;0,418738924;47,10312697
06 Follo;102561;5035;97526;611;96915;100;4,909273506;95,09072649;0,595743021;94,49498347;51032;2357;48675;323;48352;49,75770517;2,298144519;47,45956065;0,314934527;47,14462612;51529;2678;48851;288;48563;50,24229483;2,611128987;47,63116584;0,280808494;47,35035735
07 Nedre Romerike;126277;5413;120864;1001;119863;100;4,286608013;95,71339199;0,792701759;94,92069023;62972;2593;60379;492;59887;49,86814701;2,053422238;47,81472477;0,389619646;47,42510513;63305;2820;60485;509;59976;50,13185299;2,233185774;47,89866722;0,403082113;47,4955851
08 ùvre Romerike;65669;1352;64317;115;64202;100;2,058810093;97,94118991;0,175120681;97,76606923;32884;621;32263;58;32205;50,07537803;0,945651677;49,12972635;0,088321735;49,04140462;32785;731;32054;57;31997;49,92462197;1,113158416;48,81146355;0,086798946;48,72466461
