Identifikasjon (rad nr.);Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
198;1160;1;Vindafjord;;Fra 1.januar 2006 ble kommunene 1154 Vindafjord og 1159 Ølen slått sammen til 1160 Vindafjord kommune.;;;;;
199;1201;1;Bergen;;;;;;;
200;1211;1;Etne;;;;;;;
201;1216;1;Sveio;;;;;;;
202;1219;1;Bømlo;;;;;;;
203;1221;1;Stord;;;;;;;
204;1222;1;Fitjar;;;;;;;
205;1223;1;Tysnes;;;;;;;
206;1224;1;Kvinnherad;;;;;;;
207;1227;1;Jondal;;;;;;;
208;1228;1;Odda;;;;;;;
209;1231;1;Ullensvang;;;;;;;
210;1232;1;Eidfjord;;;;;;;
211;1233;1;Ulvik;;;;;;;
212;1234;1;Granvin;;;;;;;
213;1235;1;Voss;;;;;;;
214;1238;1;Kvam;;;;;;;
215;1241;1;Fusa;;;;;;;
216;1242;1;Samnanger;;;;;;;
217;1243;1;Os;;;;;;;
218;1244;1;Austevoll;;;;;;;
219;1245;1;Sund;;;;;;;
220;1246;1;Fjell;;;;;;;
221;1247;1;Askøy;;;;;;;
222;1251;1;Vaksdal;;;;;;;
223;1252;1;Modalen;;;;;;;
224;1253;1;Osterøy;;;;;;;
225;1256;1;Meland;;;;;;;
226;1259;1;Øygarden;;;;;;;
227;1260;1;Radøy;;;;;;;
228;1263;1;Lindås;;;;;;;
229;1264;1;Austrheim;;;;;;;
230;1265;1;Fedje;;;;;;;
231;1266;1;Masfjorden;;;;;;;
232;1401;1;Flora;;;;;;;
233;1411;1;Gulen;;;;;;;
234;1412;1;Solund;;;;;;;
235;1413;1;Hyllestad;;;;;;;
236;1416;1;Høyanger;;;;;;;
237;1417;1;Vik;;;;;;;
238;1418;1;Balestrand;;;;;;;
239;1419;1;Leikanger;;;;;;;
240;1420;1;Sogndal;;;;;;;
241;1421;1;Aurland;;;;;;;
242;1422;1;Lærdal;;;;;;;
243;1424;1;Årdal;;;;;;;
244;1426;1;Luster;;;;;;;
245;1428;1;Askvoll;;;;;;;
246;1429;1;Fjaler;;;;;;;
247;1430;1;Gaular;;;;;;;
248;1431;1;Jølster;;;;;;;
249;1432;1;Førde;;;;;;;
250;1433;1;Naustdal;;;;;;;
251;1438;1;Bremanger;;;;;;;
252;1439;1;Vågsøy;;;;;;;
253;1441;1;Selje;;;;;;;
254;1443;1;Eid;;;;;;;
255;1444;1;Hornindal;;;;;;;
256;1445;1;Gloppen;;;;;;;
257;1449;1;Stryn;;;;;;;
258;1502;1;Molde;;;;;;;
259;1504;1;Ålesund;;;;;;;
260;1505;1;Kristiansund;;Fra 1.januar 2008 ble kommunene 1503 Kristiansund og 1556 Frei slått sammen til 1505 Kristiansund.;;;;;
261;1511;1;Vanylven;;;;;;;
262;1514;1;Sande;;;;;;;
263;1515;1;Herøy;;;;;;;
264;1516;1;Ulstein;;;;;;;
265;1517;1;Hareid;;;;;;;
266;1519;1;Volda;;;;;;;
267;1520;1;Ørsta;;;;;;;
268;1523;1;Ørskog;;;;;;;
269;1524;1;Norddal;;;;;;;
270;1525;1;Stranda;;;;;;;
271;1526;1;Stordal;;;;;;;
272;1528;1;Sykkylven;;;;;;;
273;1529;1;Skodje;;;;;;;
274;1531;1;Sula;;;;;;;
275;1532;1;Giske;;;;;;;
276;1534;1;Haram;;;;;;;
277;1535;1;Vestnes;;;;;;;
278;1539;1;Rauma;;;;;;;
279;1543;1;Nesset;;;;;;;
280;1545;1;Midsund;;;;;;;
281;1546;1;Sandøy;;;;;;;
282;1547;1;Aukra;;;;;;;
283;1548;1;Fræna;;;;;;;
284;1551;1;Eide;;;;;;;
285;1554;1;Averøy;;;;;;;
286;1557;1;Gjemnes;;;;;;;
287;1560;1;Tingvoll;;;;;;;
288;1563;1;Sunndal;;;;;;;
289;1566;1;Surnadal;;;;;;;
290;1567;1;Rindal;;;;;;;
291;1571;1;Halsa;;;;;;;
292;1573;1;Smøla;;;;;;;
293;1576;1;Aure;;Fra 1.januar 2006 ble kommunene 1569 Aure og 1572 Tustna slått sammen til 1576 Aure  kommune.;;;;;
294;1601;1;Trondheim;;;;;;;
295;1612;1;Hemne;;;;;;;
296;1613;1;Snillfjord;;;;;;;
297;1617;1;Hitra;;;;;;;
298;1620;1;Frøya;;;;;;;
299;1621;1;Ørland;;;;;;;
300;1622;1;Agdenes;;;;;;;
301;1624;1;Rissa;;;;;;;
302;1627;1;Bjugn;;;;;;;
303;1630;1;Åfjord;;;;;;;
304;1632;1;Roan;;;;;;;
305;1633;1;Osen;;;;;;;
306;1634;1;Oppdal;;;;;;;
307;1635;1;Rennebu;;;;;;;
308;1636;1;Meldal;;;;;;;
309;1638;1;Orkdal;;;;;;;
310;1640;1;Røros;;;;;;;
311;1644;1;Holtålen;;;;;;;
312;1648;1;Midtre Gauldal;;;;;;;
313;1653;1;Melhus;;;;;;;
314;1657;1;Skaun;;;;;;;
315;1662;1;Klæbu;;;;;;;
316;1663;1;Malvik;;;;;;;
317;1664;1;Selbu;;;;;;;
318;1665;1;Tydal;;;;;;;
319;1702;1;Steinkjer;;;;;;;
320;1703;1;Namsos;;;;;;;
321;1711;1;Meråker;;;;;;;
322;1714;1;Stjørdal;;;;;;;
323;1717;1;Frosta;;;;;;;
324;1718;1;Leksvik;;;;;;;
325;1719;1;Levanger;;;;;;;
326;1721;1;Verdal;;;;;;;
327;1723;1;Mosvik;;;;;;;
328;1724;1;Verran;;;;;;;
329;1725;1;Namdalseid;;;;;;;
330;1729;1;Inderøy;;;;;;;
331;1736;1;Snåsa;;;;;;;
332;1738;1;Lierne;;;;;;;
333;1739;1;Røyrvik;;;;;;;
334;1740;1;Namsskogan;;;;;;;
335;1742;1;Grong;;;;;;;
336;1743;1;Høylandet;;;;;;;
337;1744;1;Overhalla;;;;;;;
338;1748;1;Fosnes;;;;;;;
339;1749;1;Flatanger;;;;;;;
340;1750;1;Vikna;;;;;;;
341;1751;1;Nærøy;;;;;;;
342;1755;1;Leka;;;;;;;
343;1804;1;Bodø;;;;;;;
344;1805;1;Narvik;;;;;;;
345;1811;1;Bindal;;;;;;;
346;1812;1;Sømna;;;;;;;
347;1813;1;Brønnøy;;;;;;;
348;1815;1;Vega;;;;;;;
349;1816;1;Vevelstad;;;;;;;
350;1818;1;Herøy;;;;;;;
351;1820;1;Alstahaug;;;;;;;
352;1822;1;Leirfjord;;;;;;;
353;1824;1;Vefsn;;;;;;;
354;1825;1;Grane;;;;;;;
355;1826;1;Hattfjelldal;;;;;;;
356;1827;1;Dønna;;;;;;;
357;1828;1;Nesna;;;;;;;
358;1832;1;Hemnes;;;;;;;
359;1833;1;Rana;;;;;;;
360;1834;1;Lurøy;;;;;;;
361;1835;1;Træna;;;;;;;
362;1836;1;Rødøy;;;;;;;
363;1837;1;Meløy;;;;;;;
364;1838;1;Gildeskål;;;;;;;
365;1839;1;Beiarn;;;;;;;
366;1840;1;Saltdal;;;;;;;
367;1841;1;Fauske;;;;;;;
368;1845;1;Sørfold;;;;;;;
369;1848;1;Steigen;;;;;;;
370;1849;1;Hamarøy;;;;;;;
371;1850;1;Tysfjord;;;;;;;
372;1851;1;Lødingen;;;;;;;
373;1852;1;Tjeldsund;;;;;;;
374;1853;1;Evenes;;;;;;;
375;1854;1;Ballangen;;;;;;;
376;1856;1;Røst;;;;;;;
377;1857;1;Værøy;;;;;;;
378;1859;1;Flakstad;;;;;;;
379;1860;1;Vestvågøy;;;;;;;
380;1865;1;Vågan;;;;;;;
381;1866;1;Hadsel;;;;;;;
382;1867;1;Bø;;;;;;;
383;1868;1;Øksnes;;;;;;;
384;1870;1;Sortland;;;;;;;
385;1871;1;Andøy;;;;;;;
386;1874;1;Moskenes;;;;;;;
387;1901;1;Harstad;;;;;;;
388;1902;1;Tromsø;;;;;;;
389;1911;1;Kvæfjord;;;;;;;
390;1913;1;Skånland;;;;;;;
391;1915;1;Bjarkøy;;;;;;;
392;1917;1;Ibestad;;;;;;;
393;1919;1;Gratangen;;;;;;;
394;1920;1;Lavangen;;;;;;;
395;1922;1;Bardu;;;;;;;
396;1923;1;Salangen;;;;;;;
397;1924;1;Målselv;;;;;;;
398;1925;1;Sørreisa;;;;;;;
399;1926;1;Dyrøy;;;;;;;
400;1927;1;Tranøy;;;;;;;
401;1928;1;Torsken;;;;;;;
402;1929;1;Berg;;;;;;;
403;1931;1;Lenvik;;;;;;;
404;1933;1;Balsfjord;;;;;;;
405;1936;1;Karlsøy;;;;;;;
406;1938;1;Lyngen;;;;;;;
407;1939;1;Storfjord;;;;;;;
408;1940;1;Gáivuotna Kåfjord;;;;;;;
409;1941;1;Skjervøy;;;;;;;
410;1942;1;Nordreisa;;;;;;;
411;1943;1;Kvænangen;;;;;;;
412;2002;1;Vardø;;;;;;;
413;2003;1;Vadsø;;;;;;;
414;2004;1;Hammerfest;;;;;;;
415;2011;1;Guovdageaidnu Kautokeino;;;;;;;
416;2012;1;Alta;;;;;;;
417;2014;1;Loppa;;;;;;;
418;2015;1;Hasvik;;;;;;;
419;2017;1;Kvalsund;;;;;;;
420;2018;1;Måsøy;;;;;;;
421;2019;1;Nordkapp;;;;;;;
422;2020;1;Porsanger Porsángu Porsanki;;;;;;;
423;2021;1;Kárásjohka Karasjok;;;;;;;
424;2022;1;Lebesby;;;;;;;
425;2023;1;Gamvik;;;;;;;
426;2024;1;Berlevåg;;;;;;;
427;2025;1;Deatnu Tana;;;;;;;
428;2027;1;Unjárga Nesseby;;;;;;;
429;2028;1;Båtsfjord;;;;;;;
430;2030;1;Sør-Varanger;;;;;;;
431;9999;1;Uoppgitt;;;;;;;
