Kode;Tittel;Generell.note
1002;Mandal;
0119;Marker;
1021;Marnardal;
1266;Masfjorden;
1256;Meland;
1636;Meldal;
1653;Melhus;
1837;Meløy;
1711;Meråker;
1545;Midsund;
1648;Midtre Gauldal;
1252;Modalen;
0623;Modum;
0918;Moland (1962-1991);
1502;Molde;
1874;Moskenes;
1858;Moskenes (1916-1975);
0104;Moss;
1723;Mosvik  (-2011);1. januar 2012 ble kommunene 1723 Mosvik og 1729 Indrøy slått sammen til en ny kommune 1756 Inderøy.
0932;Mykland (-1966);
1924;Målselv;
2018;Måsøy;
1725;Namdalseid;
1703;Namsos;
1740;Namsskogan;
0238;Nannestad;
1805;Narvik;
1433;Naustdal;
0625;Nedre Eiker;
0236;Nes (Ak.);
0616;Nes (Busk.);
1828;Nesna;
0216;Nesodden;
1543;Nesset;
0830;Nissedal;
0233;Nittedal;
0819;Nome;
0542;Nord-Aurdal;
1524;Norddal;
0516;Nord-Fron;
2019;Nordkapp;
0418;Nord-Odal;
0538;Nordre Land;
1942;Nordreisa;
0633;Nore og Uvdal;
0807;Notodden;
2112;Ny-Ålesund;
1751;Nærøy;
0722;Nøtterøy;
1228;Odda;
0134;Onsøy (-1993);
1634;Oppdal;
0217;Oppegård;
1638;Orkdal;
0441;Os (Hedm.);
1243;Os (Hord.);
1633;Osen;
0301;Oslo kommune;
1253;Osterøy;
1744;Overhalla;
2020;Porsanger - Porsángu - Porsanki;
0805;Porsgrunn;
1739;Raarvihke - Røyrvik;
1260;Radøy;
0128;Rakkestad;
0718;Ramnes (-2001);
1833;Rana;
1127;Randaberg;
1539;Rauma;
0716;Re;
0432;Rendalen;
1635;Rennebu;
1142;Rennesøy;
1567;Rindal;
0520;Ringebu;
0605;Ringerike;
0601;Ringerike (1964-1976);
0412;Ringsaker;
1624;Rissa;
0901;Risør;
1632;Roan;
0632;Rollag;
0131;Rolvsøy (1911-1993);
0136;Rygge;
0228;Rælingen;
1836;Rødøy;
0121;Rømskog;
1640;Røros;
1856;Røst;
0627;Røyken;
0135;Råde;
1923;Salangen;
1921;Salangen (-1976);
1840;Saltdal;
1242;Samnanger;
0724;Sandar (-1967);
1514;Sande (M. og R.);Ved grenseregulering 1. januar 2002 ble ca. 380 personer overført fra 1514 Sande kommune til 1511 Vanylven kommune.
0713;Sande (Vestf.);
0706;Sandefjord;
1102;Sandnes;
1546;Sandøy;
0105;Sarpsborg;
0102;Sarpsborg (-1991);
1135;Sauda;
0822;Sauherad;
0517;Sel;
1664;Selbu;
1441;Selje;
0828;Seljord;
0721;Sem (-1987);
