ID;Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
158;534;3;Pakistan;;;;;;;
159;537;3;Øst-Timor;;;;;;;
160;540;3;Qatar;;;;;;;
161;544;3;Saudi-Arabia;;;;;;;
162;548;3;Singapore;;;;;;;
163;550;3;Tadsjikistan;;;;;;;
164;552;3;Turkmenistan;;;;;;;
165;554;3;Usbekistan;;;;;;;
166;564;3;Syria;;;;;;;
167;568;3;Thailand;;;;;;;
168;575;3;Vietnam;;;;;;;
169;578;3;Jemen;;;;;;;
170;6;2;Oseania;;;;;;;
171;601;3;De amerikanske Jomfruøyene;;;;;;;
172;602;3;Barbados;;;;;;;
173;603;3;Antigua og Barbuda;;;;;;;
174;604;3;Belize;;;;;;;
175;605;3;Bahamas;;;;;;;
176;606;3;Bermuda;;;;;;;
177;608;3;De britiske Jomfruøyene;;;;;;;
178;612;3;Canada;;;;;;;
179;613;3;Caymanøyene;;;;;;;
180;616;3;Costa Rica;;;;;;;
181;620;3;Cuba;;;;;;;
182;622;3;Dominica;;;;;;;
183;624;3;Den dominikanske republikk;;;;;;;
184;629;3;Grenada;;;;;;;
185;631;3;Guadeloupe;;;;;;;
186;632;3;Guatemala;;;;;;;
187;636;3;Haiti;;;;;;;
188;644;3;Honduras;;;;;;;
189;648;3;Jamaica;;;;;;;
190;650;3;Martinique;;;;;;;
191;652;3;Mexico;;;;;;;
192;654;3;Montserrat;;;;;;;
193;657;3;Aruba;;;;;;;
194;658;3;Sint Maarten;;Ny landkode fra 1.12.2011;;;;;
195;659;3;Bonaire, Sint Eustatius og Saba;;Ny landkode fra 1.12.2011;;;;;
196;660;3;Anguilla;;;;;;;
197;661;3;Curaçao;;Ny landkode fra 1.12.2011;;;;;
198;664;3;Nicaragua;;;;;;;
199;668;3;Panama;;;;;;;
200;672;3;El Salvador;;;;;;;
201;676;3;Saint-Pierre-et-Miquelon;;;;;;;
202;677;3;Saint Kitts og Nevis;;;;;;;
203;678;3;Saint Lucia;;;;;;;
204;679;3;Saint Vincent og Grenadinene;;;;;;;
205;680;3;Trinidad og Tobago;;;;;;;
206;681;3;Turks- og Caicosøyene;;;;;;;
207;684;3;USA;;;;;;;
208;685;3;Puerto Rico;;;;;;;
209;686;3;Saint-Martin;;Egen stat første halvår 2008 (Brev fra Skattedirektoratet datert 5.mai 2008);;;;;
210;687;3;Saint-Barthélemy;;Egen stat første halvår 2008 (Brev fra Skattedirektoratet datert 5.mai 2008);;;;;
211;705;3;Argentina;;;;;;;
212;710;3;Bolivia;;;;;;;
213;715;3;Brasil;;;;;;;
214;720;3;Guyana;;;;;;;
215;725;3;Chile;;;;;;;
216;730;3;Colombia;;;;;;;
217;735;3;Ecuador;;;;;;;
218;740;3;Falklandsøyene;;;;;;;
219;745;3;Fransk Guyana;;;;;;;
220;755;3;Paraguay;;;;;;;
221;760;3;Peru;;;;;;;
222;765;3;Surinam;;;;;;;
223;770;3;Uruguay;;;;;;;
224;775;3;Venezuela;;;;;;;
225;8;2;Statsløs;;;;;;;
226;802;3;Amerikansk Samoa;;;;;;;
227;805;3;Australia;;;;;;;
228;806;3;Salomonøyene;;;;;;;
229;807;3;Christmasøya;;;;;;;
