Nr;Kommune;Fylke;Fylkenr;IMDireg;IMDiregnr;Naringregnr;Naringreg;Sentralnr_2008;Sentral_2008
1444;1444 Hornindal;Sogn og Fjordane;14;IMDi Vest;4;49;Nordfjord;0;Minst sentrale kommuner
1445;1445 Gloppen;Sogn og Fjordane;14;IMDi Vest;4;49;Nordfjord;0;Minst sentrale kommuner
1449;1449 Stryn;Sogn og Fjordane;14;IMDi Vest;4;49;Nordfjord;0;Minst sentrale kommuner
1502;1502 Molde;Møre og Romsdal;15;IMDi Midt-Norge;5;53;Romsdal;2;Noe sentrale kommuner
1504;1504 Ålesund;Møre og Romsdal;15;IMDi Midt-Norge;5;56;Ålesundregionen;2;Noe sentrale kommuner
1505;1505 Kristiansund;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;2;Noe sentrale kommuner
1511;1511 Vanylven;Møre og Romsdal;15;IMDi Midt-Norge;5;55;Søre Sunnmøre;0;Minst sentrale kommuner
1514;1514 Sande (M. og R.);Møre og Romsdal;15;IMDi Midt-Norge;5;55;Søre Sunnmøre;1;Mindre sentrale kommuner
1515;1515 Herøy (M. og R.);Møre og Romsdal;15;IMDi Midt-Norge;5;55;Søre Sunnmøre;1;Mindre sentrale kommuner
1516;1516 Ulstein;Møre og Romsdal;15;IMDi Midt-Norge;5;55;Søre Sunnmøre;2;Noe sentrale kommuner
1517;1517 Hareid;Møre og Romsdal;15;IMDi Midt-Norge;5;55;Søre Sunnmøre;2;Noe sentrale kommuner
1519;1519 Volda;Møre og Romsdal;15;IMDi Midt-Norge;5;55;Søre Sunnmøre;1;Mindre sentrale kommuner
1520;1520 Ørsta;Møre og Romsdal;15;IMDi Midt-Norge;5;55;Søre Sunnmøre;1;Mindre sentrale kommuner
1523;1523 Ørskog;Møre og Romsdal;15;IMDi Midt-Norge;5;54;Storfjord;2;Noe sentrale kommuner
1524;1524 Norddal;Møre og Romsdal;15;IMDi Midt-Norge;5;54;Storfjord;0;Minst sentrale kommuner
1525;1525 Stranda;Møre og Romsdal;15;IMDi Midt-Norge;5;54;Storfjord;2;Noe sentrale kommuner
1526;1526 Stordal;Møre og Romsdal;15;IMDi Midt-Norge;5;54;Storfjord;2;Noe sentrale kommuner
1528;1528 Sykkylven;Møre og Romsdal;15;IMDi Midt-Norge;5;54;Storfjord;2;Noe sentrale kommuner
1529;1529 Skodje;Møre og Romsdal;15;IMDi Midt-Norge;5;56;Ålesundregionen;2;Noe sentrale kommuner
1531;1531 Sula;Møre og Romsdal;15;IMDi Midt-Norge;5;56;Ålesundregionen;2;Noe sentrale kommuner
1532;1532 Giske;Møre og Romsdal;15;IMDi Midt-Norge;5;56;Ålesundregionen;2;Noe sentrale kommuner
1534;1534 Haram;Møre og Romsdal;15;IMDi Midt-Norge;5;56;Ålesundregionen;2;Noe sentrale kommuner
1535;1535 Vestnes;Møre og Romsdal;15;IMDi Midt-Norge;5;53;Romsdal;2;Noe sentrale kommuner
1539;1539 Rauma;Møre og Romsdal;15;IMDi Midt-Norge;5;53;Romsdal;2;Noe sentrale kommuner
1543;1543 Nesset;Møre og Romsdal;15;IMDi Midt-Norge;5;53;Romsdal;2;Noe sentrale kommuner
1545;1545 Midsund;Møre og Romsdal;15;IMDi Midt-Norge;5;53;Romsdal;2;Noe sentrale kommuner
1546;1546 Sandøy;Møre og Romsdal;15;IMDi Midt-Norge;5;56;Ålesundregionen;0;Minst sentrale kommuner
1547;1547 Aukra;Møre og Romsdal;15;IMDi Midt-Norge;5;53;Romsdal;2;Noe sentrale kommuner
1548;1548 Fræna;Møre og Romsdal;15;IMDi Midt-Norge;5;53;Romsdal;2;Noe sentrale kommuner
1551;1551 Eide;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;2;Noe sentrale kommuner
1554;1554 Averøy;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;2;Noe sentrale kommuner
1557;1557 Gjemnes;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;2;Noe sentrale kommuner
1560;1560 Tingvoll;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;2;Noe sentrale kommuner
1563;1563 Sunndal;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;0;Minst sentrale kommuner
1566;1566 Surnadal;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;0;Minst sentrale kommuner
1567;1567 Rindal;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;0;Minst sentrale kommuner
1571;1571 Halsa;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;0;Minst sentrale kommuner
1573;1573 Smøla;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;0;Minst sentrale kommuner
1576;1576 Aure;Møre og Romsdal;15;IMDi Midt-Norge;5;52;Nordmøre;0;Minst sentrale kommuner
1601;1601 Trondheim;Sør-Trøndelag;16;IMDi Midt-Norge;5;61;Trondheimsregionen;3;Sentrale kommuner
1612;1612 Hemne;Sør-Trøndelag;16;IMDi Midt-Norge;5;60;Orkdalregionen;0;Minst sentrale kommuner
1613;1613 Snillfjord;Sør-Trøndelag;16;IMDi Midt-Norge;5;60;Orkdalregionen;3;Sentrale kommuner
1617;1617 Hitra;Sør-Trøndelag;16;IMDi Midt-Norge;5;58;Hitra/Frøya;0;Minst sentrale kommuner
1620;1620 Frøya;Sør-Trøndelag;16;IMDi Midt-Norge;5;58;Hitra/Frøya;0;Minst sentrale kommuner
1621;1621 Ørland;Sør-Trøndelag;16;IMDi Midt-Norge;5;57;Fosen;0;Minst sentrale kommuner
1622;1622 Agdenes;Sør-Trøndelag;16;IMDi Midt-Norge;5;60;Orkdalregionen;3;Sentrale kommuner
1624;1624 Rissa;Sør-Trøndelag;16;IMDi Midt-Norge;5;57;Fosen;3;Sentrale kommuner
1627;1627 Bjugn;Sør-Trøndelag;16;IMDi Midt-Norge;5;57;Fosen;0;Minst sentrale kommuner
1630;1630 Åfjord;Sør-Trøndelag;16;IMDi Midt-Norge;5;57;Fosen;0;Minst sentrale kommuner
1632;1632 Roan;Sør-Trøndelag;16;IMDi Midt-Norge;5;57;Fosen;0;Minst sentrale kommuner
1633;1633 Osen;Sør-Trøndelag;16;IMDi Midt-Norge;5;57;Fosen;0;Minst sentrale kommuner
1634;1634 Oppdal;Sør-Trøndelag;16;IMDi Midt-Norge;5;59;Oppdal/Rennebu;0;Minst sentrale kommuner
1635;1635 Rennebu;Sør-Trøndelag;16;IMDi Midt-Norge;5;59;Oppdal/Rennebu;3;Sentrale kommuner
1636;1636 Meldal;Sør-Trøndelag;16;IMDi Midt-Norge;5;60;Orkdalregionen;3;Sentrale kommuner
1638;1638 Orkdal;Sør-Trøndelag;16;IMDi Midt-Norge;5;60;Orkdalregionen;3;Sentrale kommuner
1640;1640 Røros;Sør-Trøndelag;16;IMDi Midt-Norge;5;62;Rørosregionen;0;Minst sentrale kommuner
1644;1644 Holtålen;Sør-Trøndelag;16;IMDi Midt-Norge;5;62;Rørosregionen;0;Minst sentrale kommuner
1648;1648 Midtre Gauldal;Sør-Trøndelag;16;IMDi Midt-Norge;5;61;Trondheimsregionen;3;Sentrale kommuner
1653;1653 Melhus;Sør-Trøndelag;16;IMDi Midt-Norge;5;61;Trondheimsregionen;3;Sentrale kommuner
1657;1657 Skaun;Sør-Trøndelag;16;IMDi Midt-Norge;5;61;Trondheimsregionen;3;Sentrale kommuner
1662;1662 Klæbu;Sør-Trøndelag;16;IMDi Midt-Norge;5;61;Trondheimsregionen;3;Sentrale kommuner
1663;1663 Malvik;Sør-Trøndelag;16;IMDi Midt-Norge;5;61;Trondheimsregionen;3;Sentrale kommuner
1664;1664 Selbu;Sør-Trøndelag;16;IMDi Midt-Norge;5;61;Trondheimsregionen;3;Sentrale kommuner
1665;1665 Tydal;Sør-Trøndelag;16;IMDi Midt-Norge;5;62;Rørosregionen;0;Minst sentrale kommuner
1702;1702 Steinkjer;Nord-Trøndelag;17;IMDi Midt-Norge;5;64;Innherred;1;Mindre sentrale kommuner
1703;1703 Namsos;Nord-Trøndelag;17;IMDi Midt-Norge;5;67;Midtre Namdal;1;Mindre sentrale kommuner
1711;1711 Meråker;Nord-Trøndelag;17;IMDi Midt-Norge;5;63;Stjørdalsregionen;3;Sentrale kommuner
1714;1714 Stjørdal;Nord-Trøndelag;17;IMDi Midt-Norge;5;63;Stjørdalsregionen;3;Sentrale kommuner
1717;1717 Frosta;Nord-Trøndelag;17;IMDi Midt-Norge;5;63;Stjørdalsregionen;3;Sentrale kommuner
1718;1718 Leksvik;Nord-Trøndelag;17;IMDi Midt-Norge;5;57;Fosen;3;Sentrale kommuner
1719;1719 Levanger;Nord-Trøndelag;17;IMDi Midt-Norge;5;64;Innherred;3;Sentrale kommuner
1721;1721 Verdal;Nord-Trøndelag;17;IMDi Midt-Norge;5;64;Innherred;3;Sentrale kommuner
1724;1724 Verran;Nord-Trøndelag;17;IMDi Midt-Norge;5;64;Innherred;1;Mindre sentrale kommuner
1725;1725 Namdalseid;Nord-Trøndelag;17;IMDi Midt-Norge;5;67;Midtre Namdal;1;Mindre sentrale kommuner
1736;1736 Snåsa;Nord-Trøndelag;17;IMDi Midt-Norge;5;65;Indre Namdal;1;Mindre sentrale kommuner
1738;1738 Lierne;Nord-Trøndelag;17;IMDi Midt-Norge;5;65;Indre Namdal;0;Minst sentrale kommuner
1739;1739 Røyrvik;Nord-Trøndelag;17;IMDi Midt-Norge;5;65;Indre Namdal;0;Minst sentrale kommuner
1740;1740 Namsskogan;Nord-Trøndelag;17;IMDi Midt-Norge;5;65;Indre Namdal;0;Minst sentrale kommuner
1742;1742 Grong;Nord-Trøndelag;17;IMDi Midt-Norge;5;65;Indre Namdal;1;Mindre sentrale kommuner
1743;1743 Høylandet;Nord-Trøndelag;17;IMDi Midt-Norge;5;65;Indre Namdal;1;Mindre sentrale kommuner
1744;1744 Overhalla;Nord-Trøndelag;17;IMDi Midt-Norge;5;67;Midtre Namdal;1;Mindre sentrale kommuner
1748;1748 Fosnes;Nord-Trøndelag;17;IMDi Midt-Norge;5;67;Midtre Namdal;1;Mindre sentrale kommuner
1749;1749 Flatanger;Nord-Trøndelag;17;IMDi Midt-Norge;5;67;Midtre Namdal;0;Minst sentrale kommuner
1750;1750 Vikna;Nord-Trøndelag;17;IMDi Midt-Norge;5;66;Kystgruppen;0;Minst sentrale kommuner
1751;1751 Nærøy;Nord-Trøndelag;17;IMDi Midt-Norge;5;66;Kystgruppen;0;Minst sentrale kommuner
1755;1755 Leka;Nord-Trøndelag;17;IMDi Midt-Norge;5;66;Kystgruppen;0;Minst sentrale kommuner
1756;1756 Inderøy (f.o.m. 2012);Nord-Trøndelag;17;IMDi Midt-Norge;5;64;Innherred;1;Mindre sentrale kommuner
1804;1804 Bodø;Nordland;18;IMDi Nord;6;73;Salten;2;Noe sentrale kommuner
1805;1805 Narvik;Nordland;18;IMDi Nord;6;74;Ofoten;2;Noe sentrale kommuner
1811;1811 Bindal;Nordland;18;IMDi Nord;6;68;Sør-Helgeland;0;Minst sentrale kommuner
1812;1812 Sømna;Nordland;18;IMDi Nord;6;68;Sør-Helgeland;1;Mindre sentrale kommuner
1813;1813 Brønnøy;Nordland;18;IMDi Nord;6;68;Sør-Helgeland;1;Mindre sentrale kommuner
1815;1815 Vega;Nordland;18;IMDi Nord;6;68;Sør-Helgeland;0;Minst sentrale kommuner
1816;1816 Vevelstad;Nordland;18;IMDi Nord;6;68;Sør-Helgeland;1;Mindre sentrale kommuner
1818;1818 Herøy (Nordl.);Nordland;18;IMDi Nord;6;69;HALD;0;Minst sentrale kommuner
1820;1820 Alstahaug;Nordland;18;IMDi Nord;6;69;HALD;1;Mindre sentrale kommuner
1822;1822 Leirfjord;Nordland;18;IMDi Nord;6;69;HALD;1;Mindre sentrale kommuner
1824;1824 Vefsn;Nordland;18;IMDi Nord;6;71;Mosjøregionen;1;Mindre sentrale kommuner
1825;1825 Grane;Nordland;18;IMDi Nord;6;71;Mosjøregionen;1;Mindre sentrale kommuner
1826;1826 Hattfjelldal;Nordland;18;IMDi Nord;6;71;Mosjøregionen;0;Minst sentrale kommuner
1827;1827 Dønna;Nordland;18;IMDi Nord;6;69;HALD;1;Mindre sentrale kommuner
1828;1828 Nesna;Nordland;18;IMDi Nord;6;72;Ranaregionen;2;Noe sentrale kommuner
1832;1832 Hemnes;Nordland;18;IMDi Nord;6;72;Ranaregionen;2;Noe sentrale kommuner
1833;1833 Rana;Nordland;18;IMDi Nord;6;72;Ranaregionen;2;Noe sentrale kommuner
1834;1834 Lurøy;Nordland;18;IMDi Nord;6;70;Ytre Helgeland;0;Minst sentrale kommuner
1835;1835 Træna;Nordland;18;IMDi Nord;6;70;Ytre Helgeland;0;Minst sentrale kommuner
1836;1836 Rødøy;Nordland;18;IMDi Nord;6;70;Ytre Helgeland;0;Minst sentrale kommuner
1837;1837 Meløy;Nordland;18;IMDi Nord;6;73;Salten;0;Minst sentrale kommuner
1838;1838 Gildeskål;Nordland;18;IMDi Nord;6;73;Salten;0;Minst sentrale kommuner
1839;1839 Beiarn;Nordland;18;IMDi Nord;6;73;Salten;0;Minst sentrale kommuner
1840;1840 Saltdal;Nordland;18;IMDi Nord;6;73;Salten;1;Mindre sentrale kommuner
1841;1841 Fauske;Nordland;18;IMDi Nord;6;73;Salten;2;Noe sentrale kommuner
1845;1845 Sørfold;Nordland;18;IMDi Nord;6;73;Salten;1;Mindre sentrale kommuner
1848;1848 Steigen;Nordland;18;IMDi Nord;6;73;Salten;0;Minst sentrale kommuner
1849;1849 Hamarøy;Nordland;18;IMDi Nord;6;73;Salten;0;Minst sentrale kommuner
1850;1850 Tysfjord;Nordland;18;IMDi Nord;6;74;Ofoten;0;Minst sentrale kommuner
1851;1851 Lødingen;Nordland;18;IMDi Nord;6;76;Vesterålen;0;Minst sentrale kommuner
1852;1852 Tjeldsund;Nordland;18;IMDi Nord;6;74;Ofoten;2;Noe sentrale kommuner
1853;1853 Evenes;Nordland;18;IMDi Nord;6;74;Ofoten;2;Noe sentrale kommuner
1854;1854 Ballangen;Nordland;18;IMDi Nord;6;74;Ofoten;2;Noe sentrale kommuner
1856;1856 Røst;Nordland;18;IMDi Nord;6;75;Lofoten;0;Minst sentrale kommuner
1857;1857 Værøy;Nordland;18;IMDi Nord;6;75;Lofoten;0;Minst sentrale kommuner
1859;1859 Flakstad;Nordland;18;IMDi Nord;6;75;Lofoten;0;Minst sentrale kommuner
1860;1860 Vestvågøy;Nordland;18;IMDi Nord;6;75;Lofoten;0;Minst sentrale kommuner
1865;1865 Vågan;Nordland;18;IMDi Nord;6;75;Lofoten;1;Mindre sentrale kommuner
1866;1866 Hadsel;Nordland;18;IMDi Nord;6;76;Vesterålen;0;Minst sentrale kommuner
1867;1867 Bø (Nordl.);Nordland;18;IMDi Nord;6;76;Vesterålen;0;Minst sentrale kommuner
1868;1868 Øksnes;Nordland;18;IMDi Nord;6;76;Vesterålen;0;Minst sentrale kommuner
1870;1870 Sortland;Nordland;18;IMDi Nord;6;76;Vesterålen;0;Minst sentrale kommuner
1871;1871 Andøy;Nordland;18;IMDi Nord;6;76;Vesterålen;0;Minst sentrale kommuner
1874;1874 Moskenes;Nordland;18;IMDi Nord;6;75;Lofoten;0;Minst sentrale kommuner
1902;1902 Tromsø;Troms;19;IMDi Nord;6;79;Tromsøregionen;3;Sentrale kommuner
1903;1903 Harstad;Troms;19;IMDi Nord;6;77;Sør-Troms;2;Noe sentrale kommuner
1911;1911 Kvæfjord;Troms;19;IMDi Nord;6;77;Sør-Troms;2;Noe sentrale kommuner
1913;1913 Skånland;Troms;19;IMDi Nord;6;77;Sør-Troms;2;Noe sentrale kommuner
1917;1917 Ibestad;Troms;19;IMDi Nord;6;77;Sør-Troms;0;Minst sentrale kommuner
1919;1919 Gratangen;Troms;19;IMDi Nord;6;77;Sør-Troms;2;Noe sentrale kommuner
1920;1920 Lavangen;Troms;19;IMDi Nord;6;77;Sør-Troms;0;Minst sentrale kommuner
1922;1922 Bardu;Troms;19;IMDi Nord;6;78;Midt-Troms;0;Minst sentrale kommuner
1923;1923 Salangen;Troms;19;IMDi Nord;6;77;Sør-Troms;0;Minst sentrale kommuner
1924;1924 Målselv;Troms;19;IMDi Nord;6;78;Midt-Troms;0;Minst sentrale kommuner
1925;1925 Sørreisa;Troms;19;IMDi Nord;6;78;Midt-Troms;0;Minst sentrale kommuner
1926;1926 Dyrøy;Troms;19;IMDi Nord;6;78;Midt-Troms;0;Minst sentrale kommuner
1927;1927 Tranøy;Troms;19;IMDi Nord;6;78;Midt-Troms;0;Minst sentrale kommuner
1928;1928 Torsken;Troms;19;IMDi Nord;6;78;Midt-Troms;0;Minst sentrale kommuner
1929;1929 Berg;Troms;19;IMDi Nord;6;78;Midt-Troms;0;Minst sentrale kommuner
1931;1931 Lenvik;Troms;19;IMDi Nord;6;78;Midt-Troms;0;Minst sentrale kommuner
1933;1933 Balsfjord;Troms;19;IMDi Nord;6;79;Tromsøregionen;3;Sentrale kommuner
1936;1936 Karlsøy;Troms;19;IMDi Nord;6;79;Tromsøregionen;3;Sentrale kommuner
1938;1938 Lyngen;Troms;19;IMDi Nord;6;80;Nord-Troms;0;Minst sentrale kommuner
1939;1939 Storfjord;Troms;19;IMDi Nord;6;80;Nord-Troms;0;Minst sentrale kommuner
1940;1940 Gáivuotna Kåfjord;Troms;19;IMDi Nord;6;80;Nord-Troms;0;Minst sentrale kommuner
1941;1941 Skjervøy;Troms;19;IMDi Nord;6;80;Nord-Troms;0;Minst sentrale kommuner
1942;1942 Nordreisa;Troms;19;IMDi Nord;6;80;Nord-Troms;0;Minst sentrale kommuner
1943;1943 Kvænangen;Troms;19;IMDi Nord;6;80;Nord-Troms;0;Minst sentrale kommuner
2002;2002 Vardø;Finnmark;20;IMDi Nord;6;83;Øst-Finnmark;0;Minst sentrale kommuner
2003;2003 Vadsø;Finnmark;20;IMDi Nord;6;83;Øst-Finnmark;1;Mindre sentrale kommuner
2004;2004 Hammerfest;Finnmark;20;IMDi Nord;6;81;Vest-Finnmark;1;Mindre sentrale kommuner
2011;2011 Guovdageaidnu Kautokeino;Finnmark;20;IMDi Nord;6;82;Midt-Finnmark;0;Minst sentrale kommuner
2012;2012 Alta;Finnmark;20;IMDi Nord;6;81;Vest-Finnmark;1;Mindre sentrale kommuner
2014;2014 Loppa;Finnmark;20;IMDi Nord;6;81;Vest-Finnmark;0;Minst sentrale kommuner
2015;2015 Hasvik;Finnmark;20;IMDi Nord;6;81;Vest-Finnmark;0;Minst sentrale kommuner
2017;2017 Kvalsund;Finnmark;20;IMDi Nord;6;81;Vest-Finnmark;1;Mindre sentrale kommuner
2018;2018 Måsøy;Finnmark;20;IMDi Nord;6;81;Vest-Finnmark;0;Minst sentrale kommuner
2019;2019 Nordkapp;Finnmark;20;IMDi Nord;6;81;Vest-Finnmark;0;Minst sentrale kommuner
2020;2020 Porsanger;Finnmark;20;IMDi Nord;6;82;Midt-Finnmark;0;Minst sentrale kommuner
2021;2021 Kárásjohka Karasjok;Finnmark;20;IMDi Nord;6;82;Midt-Finnmark;0;Minst sentrale kommuner
2022;2022 Lebesby;Finnmark;20;IMDi Nord;6;82;Midt-Finnmark;0;Minst sentrale kommuner
2023;2023 Gamvik;Finnmark;20;IMDi Nord;6;83;Øst-Finnmark;0;Minst sentrale kommuner
2024;2024 Berlevåg;Finnmark;20;IMDi Nord;6;83;Øst-Finnmark;0;Minst sentrale kommuner
2025;2025 Deatnu Tana;Finnmark;20;IMDi Nord;6;82;Midt-Finnmark;0;Minst sentrale kommuner
2027;2027 Unjargga Nesseby;Finnmark;20;IMDi Nord;6;83;Øst-Finnmark;1;Mindre sentrale kommuner
2028;2028 Båtsfjord;Finnmark;20;IMDi Nord;6;83;Øst-Finnmark;0;Minst sentrale kommuner
2030;2030 Sør-Varanger;Finnmark;20;IMDi Nord;6;83;Øst-Finnmark;0;Minst sentrale kommuner
9999;9999 Ukjent;Ukjent;99;Ukjent;9;99;Ukjent;NA;Ukjent
