Nr;Kommune;Fylke;Fylkenr;IMDireg;IMDiregnr;Naringregnr;Naringreg;Sentralnr_2008;Sentral_2008
438;0438 Alvdal;Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
439;0439 Folldal;Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
441;0441 Os (Hedm.);Hedmark;4;IMDi Indre Øst;2;10;Fjellregionen;0;Minst sentrale kommuner
501;0501 Lillehammer;Oppland;5;IMDi Indre Øst;2;16;Lillehammerregionen;2;Noe sentrale kommuner
502;0502 Gjøvik;Oppland;5;IMDi Indre Øst;2;14;Gjøvikregionen;2;Noe sentrale kommuner
511;0511 Dovre;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
512;0512 Lesja;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
513;0513 Skjåk;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
514;0514 Lom;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
515;0515 Vågå;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
516;0516 Nord-Fron;Oppland;5;IMDi Indre Øst;2;17;Midt-Gudbrandsdal;0;Minst sentrale kommuner
517;0517 Sel;Oppland;5;IMDi Indre Øst;2;18;Nord-Gudbrandsdal;0;Minst sentrale kommuner
519;0519 Sør-Fron;Oppland;5;IMDi Indre Øst;2;17;Midt-Gudbrandsdal;2;Noe sentrale kommuner
520;0520 Ringebu;Oppland;5;IMDi Indre Øst;2;17;Midt-Gudbrandsdal;2;Noe sentrale kommuner
521;0521 Øyer;Oppland;5;IMDi Indre Øst;2;16;Lillehammerregionen;2;Noe sentrale kommuner
522;0522 Gausdal;Oppland;5;IMDi Indre Øst;2;16;Lillehammerregionen;2;Noe sentrale kommuner
528;0528 Østre Toten;Oppland;5;IMDi Indre Øst;2;14;Gjøvikregionen;2;Noe sentrale kommuner
529;0529 Vestre Toten;Oppland;5;IMDi Indre Øst;2;14;Gjøvikregionen;2;Noe sentrale kommuner
532;0532 Jevnaker;Oppland;5;IMDi Indre Øst;2;15;Hadeland;3;Sentrale kommuner
533;0533 Lunner;Oppland;5;IMDi Indre Øst;2;15;Hadeland;3;Sentrale kommuner
534;0534 Gran;Oppland;5;IMDi Indre Øst;2;15;Hadeland;3;Sentrale kommuner
536;0536 Søndre Land;Oppland;5;IMDi Indre Øst;2;14;Gjøvikregionen;2;Noe sentrale kommuner
538;0538 Nordre Land;Oppland;5;IMDi Indre Øst;2;14;Gjøvikregionen;2;Noe sentrale kommuner
540;0540 Sør-Aurdal;Oppland;5;IMDi Indre Øst;2;19;Valdres;0;Minst sentrale kommuner
541;0541 Etnedal;Oppland;5;IMDi Indre Øst;2;19;Valdres;2;Noe sentrale kommuner
542;0542 Nord-Aurdal;Oppland;5;IMDi Indre Øst;2;19;Valdres;0;Minst sentrale kommuner
543;0543 Vestre Slidre;Oppland;5;IMDi Indre Øst;2;19;Valdres;0;Minst sentrale kommuner
544;0544 Øystre Slidre;Oppland;5;IMDi Indre Øst;2;19;Valdres;0;Minst sentrale kommuner
545;0545 Vang;Oppland;5;IMDi Indre Øst;2;19;Valdres;0;Minst sentrale kommuner
602;0602 Drammen;Buskerud;6;IMDi Indre Øst;2;20;Drammensregionen;3;Sentrale kommuner
604;0604 Kongsberg;Buskerud;6;IMDi Indre Øst;2;22;Kongsberg/Numedal;3;Sentrale kommuner
605;0605 Ringerike;Buskerud;6;IMDi Indre Øst;2;24;Ringerike/Hole;3;Sentrale kommuner
612;0612 Hole;Buskerud;6;IMDi Indre Øst;2;24;Ringerike/Hole;3;Sentrale kommuner
615;0615 Flå;Buskerud;6;IMDi Indre Øst;2;21;Hallingdal;0;Minst sentrale kommuner
616;0616 Nes (Busk.);Buskerud;6;IMDi Indre Øst;2;21;Hallingdal;0;Minst sentrale kommuner
617;0617 Gol;Buskerud;6;IMDi Indre Øst;2;21;Hallingdal;0;Minst sentrale kommuner
618;0618 Hemsedal;Buskerud;6;IMDi Indre Øst;2;21;Hallingdal;0;Minst sentrale kommuner
619;0619 Ål;Buskerud;6;IMDi Indre Øst;2;21;Hallingdal;0;Minst sentrale kommuner
620;0620 Hol;Buskerud;6;IMDi Indre Øst;2;21;Hallingdal;0;Minst sentrale kommuner
621;0621 Sigdal;Buskerud;6;IMDi Indre Øst;2;23;Midt-Buskerud;3;Sentrale kommuner
622;0622 Krødsherad;Buskerud;6;IMDi Indre Øst;2;23;Midt-Buskerud;3;Sentrale kommuner
623;0623 Modum;Buskerud;6;IMDi Indre Øst;2;23;Midt-Buskerud;3;Sentrale kommuner
624;0624 Øvre Eiker;Buskerud;6;IMDi Indre Øst;2;20;Drammensregionen;3;Sentrale kommuner
625;0625 Nedre Eiker;Buskerud;6;IMDi Indre Øst;2;20;Drammensregionen;3;Sentrale kommuner
626;0626 Lier;Buskerud;6;IMDi Indre Øst;2;20;Drammensregionen;3;Sentrale kommuner
627;0627 Røyken;Buskerud;6;IMDi Indre Øst;2;20;Drammensregionen;3;Sentrale kommuner
628;0628 Hurum;Buskerud;6;IMDi Indre Øst;2;20;Drammensregionen;3;Sentrale kommuner
631;0631 Flesberg;Buskerud;6;IMDi Indre Øst;2;22;Kongsberg/Numedal;3;Sentrale kommuner
632;0632 Rollag;Buskerud;6;IMDi Indre Øst;2;22;Kongsberg/Numedal;2;Noe sentrale kommuner
633;0633 Nore og Uvdal;Buskerud;6;IMDi Indre Øst;2;22;Kongsberg/Numedal;0;Minst sentrale kommuner
701;0701 Horten;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;3;Sentrale kommuner
702;0702 Holmestrand;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;3;Sentrale kommuner
704;0704 Tønsberg;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;3;Sentrale kommuner
706;0706 Sandefjord;Vestfold;7;IMDi Øst;1;26;Sandefjord/Larvik;3;Sentrale kommuner
709;0709 Larvik;Vestfold;7;IMDi Øst;1;26;Sandefjord/Larvik;2;Noe sentrale kommuner
711;0711 Svelvik;Vestfold;7;IMDi Øst;1;20;Drammensregionen;3;Sentrale kommuner
713;0713 Sande (Vestf.);Vestfold;7;IMDi Øst;1;20;Drammensregionen;3;Sentrale kommuner
714;0714 Hof;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;3;Sentrale kommuner
716;0716 Re;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;3;Sentrale kommuner
719;0719 Andebu;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;3;Sentrale kommuner
720;0720 Stokke;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;3;Sentrale kommuner
722;0722 Nøtterøy;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;3;Sentrale kommuner
723;0723 Tjøme;Vestfold;7;IMDi Øst;1;25;Tønsbergregionen;2;Noe sentrale kommuner
728;0728 Lardal;Vestfold;7;IMDi Øst;1;26;Sandefjord/Larvik;3;Sentrale kommuner
805;0805 Porsgrunn;Telemark;8;IMDi Sør;3;27;Grenland;2;Noe sentrale kommuner
806;0806 Skien;Telemark;8;IMDi Sør;3;27;Grenland;2;Noe sentrale kommuner
807;0807 Notodden;Telemark;8;IMDi Sør;3;29;Øst-Telemark;2;Noe sentrale kommuner
811;0811 Siljan;Telemark;8;IMDi Sør;3;27;Grenland;2;Noe sentrale kommuner
814;0814 Bamble;Telemark;8;IMDi Sør;3;27;Grenland;2;Noe sentrale kommuner
815;0815 Kragerø;Telemark;8;IMDi Sør;3;27;Grenland;2;Noe sentrale kommuner
817;0817 Drangedal;Telemark;8;IMDi Sør;3;27;Grenland;2;Noe sentrale kommuner
819;0819 Nome;Telemark;8;IMDi Sør;3;28;Midt-Telemark;2;Noe sentrale kommuner
821;0821 Bø (Telemark);Telemark;8;IMDi Sør;3;28;Midt-Telemark;2;Noe sentrale kommuner
822;0822 Sauherad;Telemark;8;IMDi Sør;3;28;Midt-Telemark;2;Noe sentrale kommuner
826;0826 Tinn;Telemark;8;IMDi Sør;3;29;Øst-Telemark;0;Minst sentrale kommuner
827;0827 Hjartdal;Telemark;8;IMDi Sør;3;29;Øst-Telemark;2;Noe sentrale kommuner
828;0828 Seljord;Telemark;8;IMDi Sør;3;30;Vest-Telemark;0;Minst sentrale kommuner
829;0829 Kviteseid;Telemark;8;IMDi Sør;3;30;Vest-Telemark;0;Minst sentrale kommuner
830;0830 Nissedal;Telemark;8;IMDi Sør;3;30;Vest-Telemark;0;Minst sentrale kommuner
831;0831 Fyresdal;Telemark;8;IMDi Sør;3;30;Vest-Telemark;0;Minst sentrale kommuner
833;0833 Tokke;Telemark;8;IMDi Sør;3;30;Vest-Telemark;0;Minst sentrale kommuner
834;0834 Vinje;Telemark;8;IMDi Sør;3;30;Vest-Telemark;0;Minst sentrale kommuner
901;0901 Risør;Aust-Agder;9;IMDi Sør;3;32;Arendalregionen;2;Noe sentrale kommuner
904;0904 Grimstad;Aust-Agder;9;IMDi Sør;3;32;Arendalregionen;3;Sentrale kommuner
906;0906 Arendal;Aust-Agder;9;IMDi Sør;3;32;Arendalregionen;3;Sentrale kommuner
911;0911 Gjerstad;Aust-Agder;9;IMDi Sør;3;32;Arendalregionen;2;Noe sentrale kommuner
912;0912 Vegårshei;Aust-Agder;9;IMDi Sør;3;32;Arendalregionen;2;Noe sentrale kommuner
914;0914 Tvedestrand;Aust-Agder;9;IMDi Sør;3;32;Arendalregionen;2;Noe sentrale kommuner
919;0919 Froland;Aust-Agder;9;IMDi Sør;3;32;Arendalregionen;3;Sentrale kommuner
926;0926 Lillesand;Aust-Agder;9;IMDi Sør;3;35;Kristiansandregionen;3;Sentrale kommuner
928;0928 Birkenes;Aust-Agder;9;IMDi Sør;3;35;Kristiansandregionen;3;Sentrale kommuner
929;0929 Åmli;Aust-Agder;9;IMDi Sør;3;32;Arendalregionen;2;Noe sentrale kommuner
935;0935 Iveland;Aust-Agder;9;IMDi Sør;3;35;Kristiansandregionen;3;Sentrale kommuner
937;0937 Evje og Hornnes;Aust-Agder;9;IMDi Sør;3;31;Setesdal;3;Sentrale kommuner
938;0938 Bygland;Aust-Agder;9;IMDi Sør;3;31;Setesdal;3;Sentrale kommuner
940;0940 Valle;Aust-Agder;9;IMDi Sør;3;31;Setesdal;0;Minst sentrale kommuner
941;0941 Bykle;Aust-Agder;9;IMDi Sør;3;31;Setesdal;0;Minst sentrale kommuner
1001;1001 Kristiansand;Vest-Agder;10;IMDi Sør;3;35;Kristiansandregionen;3;Sentrale kommuner
1002;1002 Mandal;Vest-Agder;10;IMDi Sør;3;34;Mandalsregionen;3;Sentrale kommuner
1003;1003 Farsund;Vest-Agder;10;IMDi Sør;3;33;Lister;1;Mindre sentrale kommuner
1004;1004 Flekkefjord;Vest-Agder;10;IMDi Sør;3;33;Lister;1;Mindre sentrale kommuner
1014;1014 Vennesla;Vest-Agder;10;IMDi Sør;3;35;Kristiansandregionen;3;Sentrale kommuner
1017;1017 Songdalen;Vest-Agder;10;IMDi Sør;3;35;Kristiansandregionen;3;Sentrale kommuner
1018;1018 Søgne;Vest-Agder;10;IMDi Sør;3;35;Kristiansandregionen;3;Sentrale kommuner
1021;1021 Marnardal;Vest-Agder;10;IMDi Sør;3;34;Mandalsregionen;3;Sentrale kommuner
1026;1026 Åseral;Vest-Agder;10;IMDi Sør;3;34;Mandalsregionen;3;Sentrale kommuner
1027;1027 Audnedal;Vest-Agder;10;IMDi Sør;3;34;Mandalsregionen;3;Sentrale kommuner
1029;1029 Lindesnes;Vest-Agder;10;IMDi Sør;3;34;Mandalsregionen;3;Sentrale kommuner
1032;1032 Lyngdal;Vest-Agder;10;IMDi Sør;3;33;Lister;3;Sentrale kommuner
1034;1034 Hægebostad;Vest-Agder;10;IMDi Sør;3;33;Lister;3;Sentrale kommuner
1037;1037 Kvinesdal;Vest-Agder;10;IMDi Sør;3;33;Lister;1;Mindre sentrale kommuner
1046;1046 Sirdal;Vest-Agder;10;IMDi Vest;4;33;Lister;1;Mindre sentrale kommuner
1101;1101 Eigersund;Rogaland;11;IMDi Vest;4;36;Dalane;3;Sentrale kommuner
1102;1102 Sandnes;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1103;1103 Stavanger;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1106;1106 Haugesund;Rogaland;11;IMDi Vest;4;37;Haugesundregionen;2;Noe sentrale kommuner
1111;1111 Sokndal;Rogaland;11;IMDi Vest;4;36;Dalane;3;Sentrale kommuner
1112;1112 Lund;Rogaland;11;IMDi Vest;4;36;Dalane;1;Mindre sentrale kommuner
1114;1114 Bjerkreim;Rogaland;11;IMDi Vest;4;36;Dalane;3;Sentrale kommuner
1119;1119 Hå;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1120;1120 Klepp;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1121;1121 Time;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1122;1122 Gjesdal;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1124;1124 Sola;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1127;1127 Randaberg;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1129;1129 Forsand;Rogaland;11;IMDi Vest;4;38;Ryfylke;3;Sentrale kommuner
1130;1130 Strand;Rogaland;11;IMDi Vest;4;38;Ryfylke;3;Sentrale kommuner
1133;1133 Hjelmeland;Rogaland;11;IMDi Vest;4;38;Ryfylke;0;Minst sentrale kommuner
1134;1134 Suldal;Rogaland;11;IMDi Vest;4;38;Ryfylke;0;Minst sentrale kommuner
1135;1135 Sauda;Rogaland;11;IMDi Vest;4;37;Haugesundregionen;0;Minst sentrale kommuner
1141;1141 Finnøy;Rogaland;11;IMDi Vest;4;38;Ryfylke;3;Sentrale kommuner
