Kommune nr & navn;kommune_nr;"Kommune
navn"
Nedbrytninger;;
;;
0811 Siljan;811;Siljan
0814 Bamble;814;Bamble
0815 Kragerø;815;Kragerø
0817 Drangedal;817;Drangedal
0819 Nome;819;Nome
0821 Bø (Telem.);821;Bø (Telem.)
0822 Sauherad;822;Sauherad
0826 Tinn;826;Tinn
0827 Hjartdal;827;Hjartdal
0828 Seljord;828;Seljord
0829 Kviteseid;829;Kviteseid
0830 Nissedal;830;Nissedal
0831 Fyresdal;831;Fyresdal
0833 Tokke;833;Tokke
0834 Vinje;834;Vinje
0899 Uoppgitt kommune Telemark;899;Uoppgitt kommune Telemark
0901 Risør;901;Risør
0903 Arendal (-1991);903;Arendal (-1991)
0904 Grimstad;904;Grimstad
0906 Arendal;906;Arendal
0911 Gjerstad;911;Gjerstad
0912 Vegårshei;912;Vegårshei
0914 Tvedestrand;914;Tvedestrand
0918 Moland (1962-1991);918;Moland (1962-1991)
0919 Froland;919;Froland
0920 Øyestad (-1991);920;Øyestad (-1991)
0921 Tromøy (-1991);921;Tromøy (-1991)
0922 Hisøy (-1991);922;Hisøy (-1991)
0923 Fjære (-1970);923;Fjære (-1970)
0924 Landvik (-1970);924;Landvik (-1970)
0926 Lillesand;926;Lillesand
0928 Birkenes;928;Birkenes
0929 Åmli;929;Åmli
0932 Mykland (-1966);932;Mykland (-1966)
0933 Herefoss (-1966);933;Herefoss (-1966)
0935 Iveland;935;Iveland
0937 Evje og Hornnes;937;Evje og Hornnes
0938 Bygland;938;Bygland
0940 Valle;940;Valle
0941 Bykle;941;Bykle
0999 Uoppgitt kommune Aust-Agder;999;Uoppgitt kommune Aust-Agder
1001 Kristiansand;1001;Kristiansand
1002 Mandal;1002;Mandal
1003 Farsund;1003;Farsund
1004 Flekkefjord;1004;Flekkefjord
1014 Vennesla;1014;Vennesla
1017 Songdalen;1017;Songdalen
1018 Søgne;1018;Søgne
1021 Marnardal;1021;Marnardal
1026 Åseral;1026;Åseral
1027 Audnedal;1027;Audnedal
1029 Lindesnes;1029;Lindesnes
1032 Lyngdal;1032;Lyngdal
1034 Hægebostad;1034;Hægebostad
1037 Kvinesdal;1037;Kvinesdal
1046 Sirdal;1046;Sirdal
1099 Uoppgitt kommune Vest-Agder;1099;Uoppgitt kommune Vest-Agder
1101 Eigersund;1101;Eigersund
1102 Sandnes;1102;Sandnes
1103 Stavanger;1103;Stavanger
1106 Haugesund;1106;Haugesund
1111 Sokndal;1111;Sokndal
1112 Lund;1112;Lund
1114 Bjerkreim;1114;Bjerkreim
1119 Hå;1119;Hå
1120 Klepp;1120;Klepp
1121 Time;1121;Time
1122 Gjesdal;1122;Gjesdal
1124 Sola;1124;Sola
1127 Randaberg;1127;Randaberg
1129 Forsand;1129;Forsand
1130 Strand;1130;Strand
1133 Hjelmeland;1133;Hjelmeland
1134 Suldal;1134;Suldal
1135 Sauda;1135;Sauda
1141 Finnøy;1141;Finnøy
1142 Rennesøy;1142;Rennesøy
1144 Kvitsøy;1144;Kvitsøy
1145 Bokn;1145;Bokn
1146 Tysvær;1146;Tysvær
1149 Karmøy;1149;Karmøy
1151 Utsira;1151;Utsira
1154 Vindafjord (1965-2005);1154;Vindafjord (1965-2005)
1159 Ølen (-2005);1159;Ølen (-2005)
1160 Vindafjord;1160;Vindafjord
1199 Uoppgitt kommune Rogaland;1199;Uoppgitt kommune Rogaland
1201 Bergen;1201;Bergen
1211 Etne;1211;Etne
