aar,bydel_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,030106,innvandrere,alle,313,arbledige_innvkat_land,personer
2006,030107,alle,1,37,arbledige_innvkat_land,personer
2006,030107,alle,2,308,arbledige_innvkat_land,personer
2006,030107,alle,alle,345,arbledige_innvkat_land,personer
2006,030107,innvandrere,1,37,arbledige_innvkat_land,personer
2006,030107,innvandrere,2,308,arbledige_innvkat_land,personer
2006,030107,innvandrere,alle,345,arbledige_innvkat_land,personer
2006,030108,alle,1,23,arbledige_innvkat_land,personer
2006,030108,alle,2,282,arbledige_innvkat_land,personer
2006,030108,alle,alle,305,arbledige_innvkat_land,personer
2006,030108,innvandrere,1,23,arbledige_innvkat_land,personer
2006,030108,innvandrere,2,282,arbledige_innvkat_land,personer
2006,030108,innvandrere,alle,305,arbledige_innvkat_land,personer
2006,030109,alle,1,32,arbledige_innvkat_land,personer
2006,030109,alle,2,273,arbledige_innvkat_land,personer
2006,030109,alle,alle,305,arbledige_innvkat_land,personer
2006,030109,innvandrere,1,32,arbledige_innvkat_land,personer
2006,030109,innvandrere,2,273,arbledige_innvkat_land,personer
2006,030109,innvandrere,alle,305,arbledige_innvkat_land,personer
2006,030110,alle,1,24,arbledige_innvkat_land,personer
2006,030110,alle,2,307,arbledige_innvkat_land,personer
2006,030110,alle,alle,331,arbledige_innvkat_land,personer
2006,030110,innvandrere,1,24,arbledige_innvkat_land,personer
2006,030110,innvandrere,2,307,arbledige_innvkat_land,personer
2006,030110,innvandrere,alle,331,arbledige_innvkat_land,personer
2006,030111,alle,1,12,arbledige_innvkat_land,personer
2006,030111,alle,2,147,arbledige_innvkat_land,personer
2006,030111,alle,alle,159,arbledige_innvkat_land,personer
2006,030111,innvandrere,1,12,arbledige_innvkat_land,personer
2006,030111,innvandrere,2,147,arbledige_innvkat_land,personer
2006,030111,innvandrere,alle,159,arbledige_innvkat_land,personer
2006,030112,alle,1,19,arbledige_innvkat_land,personer
2006,030112,alle,2,97,arbledige_innvkat_land,personer
2006,030112,alle,alle,116,arbledige_innvkat_land,personer
2006,030112,innvandrere,1,19,arbledige_innvkat_land,personer
2006,030112,innvandrere,2,97,arbledige_innvkat_land,personer
2006,030112,innvandrere,alle,116,arbledige_innvkat_land,personer
2006,030113,alle,1,10,arbledige_innvkat_land,personer
2006,030113,alle,2,220,arbledige_innvkat_land,personer
2006,030113,alle,alle,230,arbledige_innvkat_land,personer
2006,030113,innvandrere,1,10,arbledige_innvkat_land,personer
2006,030113,innvandrere,2,220,arbledige_innvkat_land,personer
2006,030113,innvandrere,alle,230,arbledige_innvkat_land,personer
2006,030114,alle,1,0,arbledige_innvkat_land,personer
2006,030114,alle,2,92,arbledige_innvkat_land,personer
2006,030114,alle,alle,94,arbledige_innvkat_land,personer
2006,030114,innvandrere,1,0,arbledige_innvkat_land,personer
2006,030114,innvandrere,2,92,arbledige_innvkat_land,personer
2006,030114,innvandrere,alle,94,arbledige_innvkat_land,personer
2006,030115,alle,1,6,arbledige_innvkat_land,personer
2006,030115,alle,2,112,arbledige_innvkat_land,personer
2006,030115,alle,alle,118,arbledige_innvkat_land,personer
2006,030115,innvandrere,1,6,arbledige_innvkat_land,personer
2006,030115,innvandrere,2,112,arbledige_innvkat_land,personer
2006,030115,innvandrere,alle,118,arbledige_innvkat_land,personer
2006,030116,alle,1,5,arbledige_innvkat_land,personer
2006,030116,alle,2,92,arbledige_innvkat_land,personer
2006,030116,alle,alle,97,arbledige_innvkat_land,personer
2006,030116,innvandrere,1,5,arbledige_innvkat_land,personer
2006,030116,innvandrere,2,92,arbledige_innvkat_land,personer
2006,030116,innvandrere,alle,97,arbledige_innvkat_land,personer
2006,030117,alle,1,8,arbledige_innvkat_land,personer
2006,030117,alle,2,232,arbledige_innvkat_land,personer
2006,030117,alle,alle,240,arbledige_innvkat_land,personer
2006,030117,innvandrere,1,8,arbledige_innvkat_land,personer
2006,030117,innvandrere,2,232,arbledige_innvkat_land,personer
2006,030117,innvandrere,alle,240,arbledige_innvkat_land,personer
2006,030199,alle,1,8,arbledige_innvkat_land,personer
2006,030199,alle,2,22,arbledige_innvkat_land,personer
2006,030199,alle,alle,30,arbledige_innvkat_land,personer
2006,030199,innvandrere,1,8,arbledige_innvkat_land,personer
2006,030199,innvandrere,2,22,arbledige_innvkat_land,personer
2006,030199,innvandrere,alle,30,arbledige_innvkat_land,personer
2007,00,alle,1,1960,arbledige_innvkat_land,personer
2007,00,alle,2,11615,arbledige_innvkat_land,personer
2007,00,alle,alle,13575,arbledige_innvkat_land,personer
2007,00,innvandrere,1,1960,arbledige_innvkat_land,personer
2007,00,innvandrere,2,11615,arbledige_innvkat_land,personer
2007,00,innvandrere,alle,13575,arbledige_innvkat_land,personer
2007,030101,alle,1,49,arbledige_innvkat_land,personer
2007,030101,alle,2,353,arbledige_innvkat_land,personer
2007,030101,alle,alle,402,arbledige_innvkat_land,personer
2007,030101,innvandrere,1,49,arbledige_innvkat_land,personer
2007,030101,innvandrere,2,353,arbledige_innvkat_land,personer
2007,030101,innvandrere,alle,402,arbledige_innvkat_land,personer
2007,030102,alle,1,38,arbledige_innvkat_land,personer
2007,030102,alle,2,235,arbledige_innvkat_land,personer
2007,030102,alle,alle,273,arbledige_innvkat_land,personer
2007,030102,innvandrere,1,38,arbledige_innvkat_land,personer
2007,030102,innvandrere,2,235,arbledige_innvkat_land,personer
2007,030102,innvandrere,alle,273,arbledige_innvkat_land,personer
2007,030103,alle,1,51,arbledige_innvkat_land,personer
2007,030103,alle,2,304,arbledige_innvkat_land,personer
2007,030103,alle,alle,355,arbledige_innvkat_land,personer
2007,030103,innvandrere,1,51,arbledige_innvkat_land,personer
2007,030103,innvandrere,2,304,arbledige_innvkat_land,personer
2007,030103,innvandrere,alle,355,arbledige_innvkat_land,personer
2007,030104,alle,1,36,arbledige_innvkat_land,personer
2007,030104,alle,2,344,arbledige_innvkat_land,personer
2007,030104,alle,alle,380,arbledige_innvkat_land,personer
2007,030104,innvandrere,1,36,arbledige_innvkat_land,personer
2007,030104,innvandrere,2,344,arbledige_innvkat_land,personer
2007,030104,innvandrere,alle,380,arbledige_innvkat_land,personer
2007,030105,alle,1,37,arbledige_innvkat_land,personer
2007,030105,alle,2,231,arbledige_innvkat_land,personer
2007,030105,alle,alle,268,arbledige_innvkat_land,personer
2007,030105,innvandrere,1,37,arbledige_innvkat_land,personer
2007,030105,innvandrere,2,231,arbledige_innvkat_land,personer
2007,030105,innvandrere,alle,268,arbledige_innvkat_land,personer
2007,030106,alle,1,38,arbledige_innvkat_land,personer
2007,030106,alle,2,255,arbledige_innvkat_land,personer
2007,030106,alle,alle,293,arbledige_innvkat_land,personer
2007,030106,innvandrere,1,38,arbledige_innvkat_land,personer
2007,030106,innvandrere,2,255,arbledige_innvkat_land,personer
2007,030106,innvandrere,alle,293,arbledige_innvkat_land,personer
2007,030107,alle,1,34,arbledige_innvkat_land,personer
2007,030107,alle,2,277,arbledige_innvkat_land,personer
2007,030107,alle,alle,311,arbledige_innvkat_land,personer
2007,030107,innvandrere,1,34,arbledige_innvkat_land,personer
2007,030107,innvandrere,2,277,arbledige_innvkat_land,personer
2007,030107,innvandrere,alle,311,arbledige_innvkat_land,personer
2007,030108,alle,1,25,arbledige_innvkat_land,personer
2007,030108,alle,2,226,arbledige_innvkat_land,personer
2007,030108,alle,alle,251,arbledige_innvkat_land,personer
2007,030108,innvandrere,1,25,arbledige_innvkat_land,personer
2007,030108,innvandrere,2,226,arbledige_innvkat_land,personer
2007,030108,innvandrere,alle,251,arbledige_innvkat_land,personer
2007,030109,alle,1,25,arbledige_innvkat_land,personer
2007,030109,alle,2,210,arbledige_innvkat_land,personer
2007,030109,alle,alle,235,arbledige_innvkat_land,personer
2007,030109,innvandrere,1,25,arbledige_innvkat_land,personer
2007,030109,innvandrere,2,210,arbledige_innvkat_land,personer
2007,030109,innvandrere,alle,235,arbledige_innvkat_land,personer
2007,030110,alle,1,14,arbledige_innvkat_land,personer
2007,030110,alle,2,288,arbledige_innvkat_land,personer
2007,030110,alle,alle,302,arbledige_innvkat_land,personer
2007,030110,innvandrere,1,14,arbledige_innvkat_land,personer
2007,030110,innvandrere,2,288,arbledige_innvkat_land,personer
2007,030110,innvandrere,alle,302,arbledige_innvkat_land,personer
2007,030111,alle,1,13,arbledige_innvkat_land,personer
2007,030111,alle,2,154,arbledige_innvkat_land,personer
2007,030111,alle,alle,167,arbledige_innvkat_land,personer
2007,030111,innvandrere,1,13,arbledige_innvkat_land,personer
2007,030111,innvandrere,2,154,arbledige_innvkat_land,personer
2007,030111,innvandrere,alle,167,arbledige_innvkat_land,personer
2007,030112,alle,1,12,arbledige_innvkat_land,personer
2007,030112,alle,2,87,arbledige_innvkat_land,personer
2007,030112,alle,alle,99,arbledige_innvkat_land,personer
2007,030112,innvandrere,1,12,arbledige_innvkat_land,personer
2007,030112,innvandrere,2,87,arbledige_innvkat_land,personer
2007,030112,innvandrere,alle,99,arbledige_innvkat_land,personer
2007,030113,alle,1,18,arbledige_innvkat_land,personer
2007,030113,alle,2,193,arbledige_innvkat_land,personer
2007,030113,alle,alle,211,arbledige_innvkat_land,personer
