aar,naringsregion_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,05,alle,alle,0,358,ikke_arbutd_innvkat_land,personer
2006,05,alle,alle,1,275,ikke_arbutd_innvkat_land,personer
2006,05,alle,alle,alle,633,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,1,0,135,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,1,1,58,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,1,alle,193,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,2,0,223,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,2,1,217,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,2,alle,440,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,alle,0,358,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,alle,1,275,ikke_arbutd_innvkat_land,personer
2006,05,innvandrere,alle,alle,633,ikke_arbutd_innvkat_land,personer
2006,06,alle,1,0,94,ikke_arbutd_innvkat_land,personer
2006,06,alle,1,1,58,ikke_arbutd_innvkat_land,personer
2006,06,alle,1,alle,152,ikke_arbutd_innvkat_land,personer
2006,06,alle,2,0,144,ikke_arbutd_innvkat_land,personer
2006,06,alle,2,1,177,ikke_arbutd_innvkat_land,personer
2006,06,alle,2,alle,321,ikke_arbutd_innvkat_land,personer
2006,06,alle,alle,0,238,ikke_arbutd_innvkat_land,personer
2006,06,alle,alle,1,235,ikke_arbutd_innvkat_land,personer
2006,06,alle,alle,alle,473,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,1,0,94,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,1,1,58,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,1,alle,152,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,2,0,144,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,2,1,177,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,2,alle,321,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,alle,0,238,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,alle,1,235,ikke_arbutd_innvkat_land,personer
2006,06,innvandrere,alle,alle,473,ikke_arbutd_innvkat_land,personer
2006,07,alle,1,0,77,ikke_arbutd_innvkat_land,personer
2006,07,alle,1,1,34,ikke_arbutd_innvkat_land,personer
2006,07,alle,1,alle,111,ikke_arbutd_innvkat_land,personer
2006,07,alle,2,0,240,ikke_arbutd_innvkat_land,personer
2006,07,alle,2,1,199,ikke_arbutd_innvkat_land,personer
2006,07,alle,2,alle,439,ikke_arbutd_innvkat_land,personer
2006,07,alle,alle,0,317,ikke_arbutd_innvkat_land,personer
2006,07,alle,alle,1,233,ikke_arbutd_innvkat_land,personer
2006,07,alle,alle,alle,550,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,1,0,77,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,1,1,34,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,1,alle,111,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,2,0,240,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,2,1,199,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,2,alle,439,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,alle,0,317,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,alle,1,233,ikke_arbutd_innvkat_land,personer
2006,07,innvandrere,alle,alle,550,ikke_arbutd_innvkat_land,personer
2006,08,alle,1,0,32,ikke_arbutd_innvkat_land,personer
2006,08,alle,1,1,6,ikke_arbutd_innvkat_land,personer
2006,08,alle,1,alle,38,ikke_arbutd_innvkat_land,personer
2006,08,alle,2,0,61,ikke_arbutd_innvkat_land,personer
2006,08,alle,2,1,48,ikke_arbutd_innvkat_land,personer
2006,08,alle,2,alle,109,ikke_arbutd_innvkat_land,personer
2006,08,alle,alle,0,93,ikke_arbutd_innvkat_land,personer
2006,08,alle,alle,1,54,ikke_arbutd_innvkat_land,personer
2006,08,alle,alle,alle,147,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,1,0,32,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,1,1,6,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,1,alle,38,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,2,0,61,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,2,1,48,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,2,alle,109,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,alle,0,93,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,alle,1,54,ikke_arbutd_innvkat_land,personer
2006,08,innvandrere,alle,alle,147,ikke_arbutd_innvkat_land,personer
2006,09,alle,1,0,860,ikke_arbutd_innvkat_land,personer
2006,09,alle,1,1,396,ikke_arbutd_innvkat_land,personer
2006,09,alle,1,alle,1256,ikke_arbutd_innvkat_land,personer
2006,09,alle,2,0,1860,ikke_arbutd_innvkat_land,personer
2006,09,alle,2,1,1788,ikke_arbutd_innvkat_land,personer
2006,09,alle,2,alle,3648,ikke_arbutd_innvkat_land,personer
2006,09,alle,alle,0,2720,ikke_arbutd_innvkat_land,personer
2006,09,alle,alle,1,2184,ikke_arbutd_innvkat_land,personer
2006,09,alle,alle,alle,4904,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,1,0,860,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,1,1,396,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,1,alle,1256,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,2,0,1860,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,2,1,1788,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,2,alle,3648,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,alle,0,2720,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,alle,1,2184,ikke_arbutd_innvkat_land,personer
2006,09,innvandrere,alle,alle,4904,ikke_arbutd_innvkat_land,personer
2006,10,alle,1,0,4,ikke_arbutd_innvkat_land,personer
2006,10,alle,1,1,0,ikke_arbutd_innvkat_land,personer
2006,10,alle,1,alle,4,ikke_arbutd_innvkat_land,personer
2006,10,alle,2,0,18,ikke_arbutd_innvkat_land,personer
2006,10,alle,2,1,5,ikke_arbutd_innvkat_land,personer
2006,10,alle,2,alle,23,ikke_arbutd_innvkat_land,personer
2006,10,alle,alle,0,22,ikke_arbutd_innvkat_land,personer
2006,10,alle,alle,1,5,ikke_arbutd_innvkat_land,personer
2006,10,alle,alle,alle,27,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,1,0,4,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,1,1,0,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,1,alle,4,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,2,0,18,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,2,1,5,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,2,alle,23,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,alle,0,22,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,alle,1,5,ikke_arbutd_innvkat_land,personer
2006,10,innvandrere,alle,alle,27,ikke_arbutd_innvkat_land,personer
2006,11,alle,1,0,16,ikke_arbutd_innvkat_land,personer
2006,11,alle,1,1,8,ikke_arbutd_innvkat_land,personer
2006,11,alle,1,alle,24,ikke_arbutd_innvkat_land,personer
2006,11,alle,2,0,42,ikke_arbutd_innvkat_land,personer
2006,11,alle,2,1,18,ikke_arbutd_innvkat_land,personer
2006,11,alle,2,alle,60,ikke_arbutd_innvkat_land,personer
2006,11,alle,alle,0,58,ikke_arbutd_innvkat_land,personer
2006,11,alle,alle,1,26,ikke_arbutd_innvkat_land,personer
2006,11,alle,alle,alle,84,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,1,0,16,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,1,1,8,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,1,alle,24,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,2,0,42,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,2,1,18,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,2,alle,60,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,alle,0,58,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,alle,1,26,ikke_arbutd_innvkat_land,personer
2006,11,innvandrere,alle,alle,84,ikke_arbutd_innvkat_land,personer
2006,12,alle,1,0,38,ikke_arbutd_innvkat_land,personer
2006,12,alle,1,1,21,ikke_arbutd_innvkat_land,personer
2006,12,alle,1,alle,59,ikke_arbutd_innvkat_land,personer
