fylke_nr,vreg_3,kjonn,aar,tabellvariabel,tabellnavn,enhet
11,2,0,2006,4791,sysselsatte_kjonn_land,personer
11,2,1,2006,5336,sysselsatte_kjonn_land,personer
11,2,alle,2006,10127,sysselsatte_kjonn_land,personer
11,alle,0,2006,10844,sysselsatte_kjonn_land,personer
11,alle,1,2006,14433,sysselsatte_kjonn_land,personer
11,alle,alle,2006,25277,sysselsatte_kjonn_land,personer
12,1,0,2006,5792,sysselsatte_kjonn_land,personer
12,1,1,2006,7621,sysselsatte_kjonn_land,personer
12,1,alle,2006,13413,sysselsatte_kjonn_land,personer
12,2,0,2006,4569,sysselsatte_kjonn_land,personer
12,2,1,2006,4923,sysselsatte_kjonn_land,personer
12,2,alle,2006,9492,sysselsatte_kjonn_land,personer
12,alle,0,2006,10361,sysselsatte_kjonn_land,personer
12,alle,1,2006,12544,sysselsatte_kjonn_land,personer
12,alle,alle,2006,22905,sysselsatte_kjonn_land,personer
14,1,0,2006,949,sysselsatte_kjonn_land,personer
14,1,1,2006,1176,sysselsatte_kjonn_land,personer
14,1,alle,2006,2125,sysselsatte_kjonn_land,personer
14,2,0,2006,700,sysselsatte_kjonn_land,personer
14,2,1,2006,618,sysselsatte_kjonn_land,personer
14,2,alle,2006,1318,sysselsatte_kjonn_land,personer
14,alle,0,2006,1649,sysselsatte_kjonn_land,personer
14,alle,1,2006,1794,sysselsatte_kjonn_land,personer
14,alle,alle,2006,3443,sysselsatte_kjonn_land,personer
15,1,0,2006,2125,sysselsatte_kjonn_land,personer
15,1,1,2006,2808,sysselsatte_kjonn_land,personer
15,1,alle,2006,4933,sysselsatte_kjonn_land,personer
15,2,0,2006,1920,sysselsatte_kjonn_land,personer
15,2,1,2006,1549,sysselsatte_kjonn_land,personer
15,2,alle,2006,3469,sysselsatte_kjonn_land,personer
15,alle,0,2006,4045,sysselsatte_kjonn_land,personer
15,alle,1,2006,4357,sysselsatte_kjonn_land,personer
15,alle,alle,2006,8402,sysselsatte_kjonn_land,personer
16,1,0,2006,3040,sysselsatte_kjonn_land,personer
16,1,1,2006,3824,sysselsatte_kjonn_land,personer
16,1,alle,2006,6864,sysselsatte_kjonn_land,personer
16,2,0,2006,2425,sysselsatte_kjonn_land,personer
16,2,1,2006,2469,sysselsatte_kjonn_land,personer
16,2,alle,2006,4894,sysselsatte_kjonn_land,personer
16,alle,0,2006,5465,sysselsatte_kjonn_land,personer
16,alle,1,2006,6293,sysselsatte_kjonn_land,personer
16,alle,alle,2006,11758,sysselsatte_kjonn_land,personer
17,1,0,2006,917,sysselsatte_kjonn_land,personer
17,1,1,2006,1142,sysselsatte_kjonn_land,personer
17,1,alle,2006,2059,sysselsatte_kjonn_land,personer
17,2,0,2006,551,sysselsatte_kjonn_land,personer
17,2,1,2006,520,sysselsatte_kjonn_land,personer
17,2,alle,2006,1071,sysselsatte_kjonn_land,personer
17,alle,0,2006,1468,sysselsatte_kjonn_land,personer
17,alle,1,2006,1662,sysselsatte_kjonn_land,personer
17,alle,alle,2006,3130,sysselsatte_kjonn_land,personer
18,1,0,2006,1941,sysselsatte_kjonn_land,personer
18,1,1,2006,2112,sysselsatte_kjonn_land,personer
18,1,alle,2006,4053,sysselsatte_kjonn_land,personer
18,2,0,2006,1378,sysselsatte_kjonn_land,personer
18,2,1,2006,1220,sysselsatte_kjonn_land,personer
18,2,alle,2006,2598,sysselsatte_kjonn_land,personer
18,alle,0,2006,3319,sysselsatte_kjonn_land,personer
18,alle,1,2006,3332,sysselsatte_kjonn_land,personer
18,alle,alle,2006,6651,sysselsatte_kjonn_land,personer
19,1,0,2006,1943,sysselsatte_kjonn_land,personer
19,1,1,2006,2069,sysselsatte_kjonn_land,personer
19,1,alle,2006,4012,sysselsatte_kjonn_land,personer
19,2,0,2006,1171,sysselsatte_kjonn_land,personer
19,2,1,2006,1032,sysselsatte_kjonn_land,personer
19,2,alle,2006,2203,sysselsatte_kjonn_land,personer
19,alle,0,2006,3114,sysselsatte_kjonn_land,personer
19,alle,1,2006,3101,sysselsatte_kjonn_land,personer
19,alle,alle,2006,6215,sysselsatte_kjonn_land,personer
20,1,0,2006,1194,sysselsatte_kjonn_land,personer
20,1,1,2006,1084,sysselsatte_kjonn_land,personer
20,1,alle,2006,2278,sysselsatte_kjonn_land,personer
20,2,0,2006,838,sysselsatte_kjonn_land,personer
20,2,1,2006,547,sysselsatte_kjonn_land,personer
20,2,alle,2006,1385,sysselsatte_kjonn_land,personer
20,alle,0,2006,2032,sysselsatte_kjonn_land,personer
20,alle,1,2006,1631,sysselsatte_kjonn_land,personer
20,alle,alle,2006,3663,sysselsatte_kjonn_land,personer
alle,1,0,2006,77911,sysselsatte_kjonn_land,personer
alle,1,1,2006,92238,sysselsatte_kjonn_land,personer
alle,1,alle,2006,170149,sysselsatte_kjonn_land,personer
alle,2,0,2006,60297,sysselsatte_kjonn_land,personer
alle,2,1,2006,67117,sysselsatte_kjonn_land,personer
alle,2,alle,2006,127414,sysselsatte_kjonn_land,personer
alle,alle,0,2006,138208,sysselsatte_kjonn_land,personer
alle,alle,1,2006,159355,sysselsatte_kjonn_land,personer
alle,alle,alle,2006,297563,sysselsatte_kjonn_land,personer
01,1,0,2007,4847,sysselsatte_kjonn_land,personer
01,1,1,2007,6294,sysselsatte_kjonn_land,personer
01,1,alle,2007,11141,sysselsatte_kjonn_land,personer
01,2,0,2007,3452,sysselsatte_kjonn_land,personer
01,2,1,2007,3739,sysselsatte_kjonn_land,personer
01,2,alle,2007,7191,sysselsatte_kjonn_land,personer
01,alle,0,2007,8299,sysselsatte_kjonn_land,personer
01,alle,1,2007,10033,sysselsatte_kjonn_land,personer
01,alle,alle,2007,18332,sysselsatte_kjonn_land,personer
02,1,0,2007,13559,sysselsatte_kjonn_land,personer
02,1,1,2007,15933,sysselsatte_kjonn_land,personer
02,1,alle,2007,29492,sysselsatte_kjonn_land,personer
02,2,0,2007,9044,sysselsatte_kjonn_land,personer
02,2,1,2007,9455,sysselsatte_kjonn_land,personer
02,2,alle,2007,18499,sysselsatte_kjonn_land,personer
02,alle,0,2007,22603,sysselsatte_kjonn_land,personer
02,alle,1,2007,25388,sysselsatte_kjonn_land,personer
02,alle,alle,2007,47991,sysselsatte_kjonn_land,personer
03,1,0,2007,18210,sysselsatte_kjonn_land,personer
03,1,1,2007,21744,sysselsatte_kjonn_land,personer
03,1,alle,2007,39954,sysselsatte_kjonn_land,personer
03,2,0,2007,21365,sysselsatte_kjonn_land,personer
03,2,1,2007,26879,sysselsatte_kjonn_land,personer
03,2,alle,2007,48244,sysselsatte_kjonn_land,personer
03,alle,0,2007,39575,sysselsatte_kjonn_land,personer
03,alle,1,2007,48623,sysselsatte_kjonn_land,personer
03,alle,alle,2007,88198,sysselsatte_kjonn_land,personer
04,1,0,2007,2412,sysselsatte_kjonn_land,personer
04,1,1,2007,2729,sysselsatte_kjonn_land,personer
04,1,alle,2007,5141,sysselsatte_kjonn_land,personer
04,2,0,2007,1294,sysselsatte_kjonn_land,personer
04,2,1,2007,1204,sysselsatte_kjonn_land,personer
04,2,alle,2007,2498,sysselsatte_kjonn_land,personer
04,alle,0,2007,3706,sysselsatte_kjonn_land,personer
04,alle,1,2007,3933,sysselsatte_kjonn_land,personer
04,alle,alle,2007,7639,sysselsatte_kjonn_land,personer
05,1,0,2007,2086,sysselsatte_kjonn_land,personer
05,1,1,2007,2429,sysselsatte_kjonn_land,personer
05,1,alle,2007,4515,sysselsatte_kjonn_land,personer
05,2,0,2007,1323,sysselsatte_kjonn_land,personer
05,2,1,2007,1296,sysselsatte_kjonn_land,personer
05,2,alle,2007,2619,sysselsatte_kjonn_land,personer
05,alle,0,2007,3409,sysselsatte_kjonn_land,personer
05,alle,1,2007,3725,sysselsatte_kjonn_land,personer
05,alle,alle,2007,7134,sysselsatte_kjonn_land,personer
06,1,0,2007,4844,sysselsatte_kjonn_land,personer
06,1,1,2007,6202,sysselsatte_kjonn_land,personer
06,1,alle,2007,11046,sysselsatte_kjonn_land,personer
06,2,0,2007,4023,sysselsatte_kjonn_land,personer
06,2,1,2007,4322,sysselsatte_kjonn_land,personer
06,2,alle,2007,8345,sysselsatte_kjonn_land,personer
06,alle,0,2007,8867,sysselsatte_kjonn_land,personer
06,alle,1,2007,10524,sysselsatte_kjonn_land,personer
06,alle,alle,2007,19391,sysselsatte_kjonn_land,personer
07,1,0,2007,4383,sysselsatte_kjonn_land,personer
07,1,1,2007,5567,sysselsatte_kjonn_land,personer
07,1,alle,2007,9950,sysselsatte_kjonn_land,personer
07,2,0,2007,2717,sysselsatte_kjonn_land,personer
07,2,1,2007,2618,sysselsatte_kjonn_land,personer
07,2,alle,2007,5335,sysselsatte_kjonn_land,personer
07,alle,0,2007,7100,sysselsatte_kjonn_land,personer
07,alle,1,2007,8185,sysselsatte_kjonn_land,personer
07,alle,alle,2007,15285,sysselsatte_kjonn_land,personer
08,1,0,2007,2297,sysselsatte_kjonn_land,personer
08,1,1,2007,2881,sysselsatte_kjonn_land,personer
08,1,alle,2007,5178,sysselsatte_kjonn_land,personer
08,2,0,2007,1767,sysselsatte_kjonn_land,personer
08,2,1,2007,1719,sysselsatte_kjonn_land,personer
08,2,alle,2007,3486,sysselsatte_kjonn_land,personer
08,alle,0,2007,4064,sysselsatte_kjonn_land,personer
08,alle,1,2007,4600,sysselsatte_kjonn_land,personer
08,alle,alle,2007,8664,sysselsatte_kjonn_land,personer
09,1,0,2007,1954,sysselsatte_kjonn_land,personer
09,1,1,2007,2361,sysselsatte_kjonn_land,personer
09,1,alle,2007,4315,sysselsatte_kjonn_land,personer
09,2,0,2007,968,sysselsatte_kjonn_land,personer
09,2,1,2007,1019,sysselsatte_kjonn_land,personer
09,2,alle,2007,1987,sysselsatte_kjonn_land,personer
09,alle,0,2007,2922,sysselsatte_kjonn_land,personer
09,alle,1,2007,3380,sysselsatte_kjonn_land,personer
09,alle,alle,2007,6302,sysselsatte_kjonn_land,personer
10,1,0,2007,3397,sysselsatte_kjonn_land,personer
10,1,1,2007,4360,sysselsatte_kjonn_land,personer
10,1,alle,2007,7757,sysselsatte_kjonn_land,personer
10,2,0,2007,2312,sysselsatte_kjonn_land,personer
10,2,1,2007,2523,sysselsatte_kjonn_land,personer
10,2,alle,2007,4835,sysselsatte_kjonn_land,personer
10,alle,0,2007,5709,sysselsatte_kjonn_land,personer
10,alle,1,2007,6883,sysselsatte_kjonn_land,personer
10,alle,alle,2007,12592,sysselsatte_kjonn_land,personer
11,1,0,2007,6925,sysselsatte_kjonn_land,personer
11,1,1,2007,11387,sysselsatte_kjonn_land,personer
11,1,alle,2007,18312,sysselsatte_kjonn_land,personer
11,2,0,2007,5742,sysselsatte_kjonn_land,personer
11,2,1,2007,6367,sysselsatte_kjonn_land,personer
11,2,alle,2007,12109,sysselsatte_kjonn_land,personer
11,alle,0,2007,12667,sysselsatte_kjonn_land,personer
11,alle,1,2007,17754,sysselsatte_kjonn_land,personer
11,alle,alle,2007,30421,sysselsatte_kjonn_land,personer
12,1,0,2007,6428,sysselsatte_kjonn_land,personer
12,1,1,2007,9243,sysselsatte_kjonn_land,personer
12,1,alle,2007,15671,sysselsatte_kjonn_land,personer
12,2,0,2007,5318,sysselsatte_kjonn_land,personer
12,2,1,2007,5602,sysselsatte_kjonn_land,personer
12,2,alle,2007,10920,sysselsatte_kjonn_land,personer
12,alle,0,2007,11746,sysselsatte_kjonn_land,personer
12,alle,1,2007,14845,sysselsatte_kjonn_land,personer
12,alle,alle,2007,26591,sysselsatte_kjonn_land,personer
14,1,0,2007,1078,sysselsatte_kjonn_land,personer
14,1,1,2007,1437,sysselsatte_kjonn_land,personer
14,1,alle,2007,2515,sysselsatte_kjonn_land,personer
14,2,0,2007,793,sysselsatte_kjonn_land,personer
14,2,1,2007,700,sysselsatte_kjonn_land,personer
14,2,alle,2007,1493,sysselsatte_kjonn_land,personer
14,alle,0,2007,1871,sysselsatte_kjonn_land,personer
14,alle,1,2007,2137,sysselsatte_kjonn_land,personer
14,alle,alle,2007,4008,sysselsatte_kjonn_land,personer
15,1,0,2007,2456,sysselsatte_kjonn_land,personer
