aar,bydel_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,030104,alle,2,1,191,ikke_arbutd_innvkat_land,personer
2006,030104,alle,2,alle,371,ikke_arbutd_innvkat_land,personer
2006,030104,alle,alle,0,259,ikke_arbutd_innvkat_land,personer
2006,030104,alle,alle,1,235,ikke_arbutd_innvkat_land,personer
2006,030104,alle,alle,alle,494,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,1,0,79,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,1,1,44,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,1,alle,123,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,2,0,180,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,2,1,191,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,2,alle,371,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,alle,0,259,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,alle,1,235,ikke_arbutd_innvkat_land,personer
2006,030104,innvandrere,alle,alle,494,ikke_arbutd_innvkat_land,personer
2006,030105,alle,1,0,70,ikke_arbutd_innvkat_land,personer
2006,030105,alle,1,1,38,ikke_arbutd_innvkat_land,personer
2006,030105,alle,1,alle,108,ikke_arbutd_innvkat_land,personer
2006,030105,alle,2,0,109,ikke_arbutd_innvkat_land,personer
2006,030105,alle,2,1,89,ikke_arbutd_innvkat_land,personer
2006,030105,alle,2,alle,198,ikke_arbutd_innvkat_land,personer
2006,030105,alle,alle,0,179,ikke_arbutd_innvkat_land,personer
2006,030105,alle,alle,1,127,ikke_arbutd_innvkat_land,personer
2006,030105,alle,alle,alle,306,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,1,0,70,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,1,1,38,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,1,alle,108,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,2,0,109,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,2,1,89,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,2,alle,198,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,alle,0,179,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,alle,1,127,ikke_arbutd_innvkat_land,personer
2006,030105,innvandrere,alle,alle,306,ikke_arbutd_innvkat_land,personer
2006,030106,alle,1,0,79,ikke_arbutd_innvkat_land,personer
