aar,naringsregion_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,16,innvandrere,alle,71,arbledige_innvkat_land,personer
2006,17,alle,1,5,arbledige_innvkat_land,personer
2006,17,alle,2,11,arbledige_innvkat_land,personer
2006,17,alle,alle,16,arbledige_innvkat_land,personer
2006,17,innvandrere,1,5,arbledige_innvkat_land,personer
2006,17,innvandrere,2,11,arbledige_innvkat_land,personer
2006,17,innvandrere,alle,16,arbledige_innvkat_land,personer
2006,18,alle,1,3,arbledige_innvkat_land,personer
2006,18,alle,2,14,arbledige_innvkat_land,personer
2006,18,alle,alle,17,arbledige_innvkat_land,personer
2006,18,innvandrere,1,3,arbledige_innvkat_land,personer
2006,18,innvandrere,2,14,arbledige_innvkat_land,personer
2006,18,innvandrere,alle,17,arbledige_innvkat_land,personer
2006,19,alle,1,5,arbledige_innvkat_land,personer
2006,19,alle,2,15,arbledige_innvkat_land,personer
2006,19,alle,alle,20,arbledige_innvkat_land,personer
2006,19,innvandrere,1,5,arbledige_innvkat_land,personer
2006,19,innvandrere,2,15,arbledige_innvkat_land,personer
2006,19,innvandrere,alle,20,arbledige_innvkat_land,personer
2006,20,alle,1,101,arbledige_innvkat_land,personer
2006,20,alle,2,664,arbledige_innvkat_land,personer
2006,20,alle,alle,765,arbledige_innvkat_land,personer
2006,20,innvandrere,1,101,arbledige_innvkat_land,personer
2006,20,innvandrere,2,664,arbledige_innvkat_land,personer
2006,20,innvandrere,alle,765,arbledige_innvkat_land,personer
2006,21,alle,1,7,arbledige_innvkat_land,personer
2006,21,alle,2,26,arbledige_innvkat_land,personer
2006,21,alle,alle,33,arbledige_innvkat_land,personer
2006,21,innvandrere,1,7,arbledige_innvkat_land,personer
2006,21,innvandrere,2,26,arbledige_innvkat_land,personer
2006,21,innvandrere,alle,33,arbledige_innvkat_land,personer
2006,22,alle,1,19,arbledige_innvkat_land,personer
2006,22,alle,2,59,arbledige_innvkat_land,personer
2006,22,alle,alle,78,arbledige_innvkat_land,personer
2006,22,innvandrere,1,19,arbledige_innvkat_land,personer
2006,22,innvandrere,2,59,arbledige_innvkat_land,personer
2006,22,innvandrere,alle,78,arbledige_innvkat_land,personer
2006,23,alle,1,4,arbledige_innvkat_land,personer
2006,23,alle,2,29,arbledige_innvkat_land,personer
2006,23,alle,alle,33,arbledige_innvkat_land,personer
2006,23,innvandrere,1,4,arbledige_innvkat_land,personer
2006,23,innvandrere,2,29,arbledige_innvkat_land,personer
2006,23,innvandrere,alle,33,arbledige_innvkat_land,personer
2006,24,alle,1,15,arbledige_innvkat_land,personer
2006,24,alle,2,76,arbledige_innvkat_land,personer
2006,24,alle,alle,91,arbledige_innvkat_land,personer
2006,24,innvandrere,1,15,arbledige_innvkat_land,personer
2006,24,innvandrere,2,76,arbledige_innvkat_land,personer
2006,24,innvandrere,alle,91,arbledige_innvkat_land,personer
2006,25,alle,1,37,arbledige_innvkat_land,personer
2006,25,alle,2,272,arbledige_innvkat_land,personer
2006,25,alle,alle,309,arbledige_innvkat_land,personer
2006,25,innvandrere,1,37,arbledige_innvkat_land,personer
2006,25,innvandrere,2,272,arbledige_innvkat_land,personer
2006,25,innvandrere,alle,309,arbledige_innvkat_land,personer
2006,26,alle,1,42,arbledige_innvkat_land,personer
2006,26,alle,2,240,arbledige_innvkat_land,personer
2006,26,alle,alle,282,arbledige_innvkat_land,personer
2006,26,innvandrere,1,42,arbledige_innvkat_land,personer
2006,26,innvandrere,2,240,arbledige_innvkat_land,personer
2006,26,innvandrere,alle,282,arbledige_innvkat_land,personer
2006,27,alle,1,43,arbledige_innvkat_land,personer
2006,27,alle,2,370,arbledige_innvkat_land,personer
2006,27,alle,alle,413,arbledige_innvkat_land,personer
2006,27,innvandrere,1,43,arbledige_innvkat_land,personer
2006,27,innvandrere,2,370,arbledige_innvkat_land,personer
2006,27,innvandrere,alle,413,arbledige_innvkat_land,personer
2006,28,alle,1,6,arbledige_innvkat_land,personer
2006,28,alle,2,36,arbledige_innvkat_land,personer
2006,28,alle,alle,42,arbledige_innvkat_land,personer
2006,28,innvandrere,1,6,arbledige_innvkat_land,personer
2006,28,innvandrere,2,36,arbledige_innvkat_land,personer
2006,28,innvandrere,alle,42,arbledige_innvkat_land,personer
2006,29,alle,1,10,arbledige_innvkat_land,personer
2006,29,alle,2,36,arbledige_innvkat_land,personer
2006,29,alle,alle,46,arbledige_innvkat_land,personer
2006,29,innvandrere,1,10,arbledige_innvkat_land,personer
2006,29,innvandrere,2,36,arbledige_innvkat_land,personer
2006,29,innvandrere,alle,46,arbledige_innvkat_land,personer
2006,30,alle,1,6,arbledige_innvkat_land,personer
2006,30,alle,2,17,arbledige_innvkat_land,personer
2006,30,alle,alle,23,arbledige_innvkat_land,personer
2006,30,innvandrere,1,6,arbledige_innvkat_land,personer
2006,30,innvandrere,2,17,arbledige_innvkat_land,personer
2006,30,innvandrere,alle,23,arbledige_innvkat_land,personer
2006,31,alle,1,4,arbledige_innvkat_land,personer
2006,31,alle,2,11,arbledige_innvkat_land,personer
2006,31,alle,alle,15,arbledige_innvkat_land,personer
2006,31,innvandrere,1,4,arbledige_innvkat_land,personer
2006,31,innvandrere,2,11,arbledige_innvkat_land,personer
2006,31,innvandrere,alle,15,arbledige_innvkat_land,personer
2006,32,alle,1,45,arbledige_innvkat_land,personer
2006,32,alle,2,176,arbledige_innvkat_land,personer
2006,32,alle,alle,221,arbledige_innvkat_land,personer
2006,32,innvandrere,1,45,arbledige_innvkat_land,personer
2006,32,innvandrere,2,176,arbledige_innvkat_land,personer
2006,32,innvandrere,alle,221,arbledige_innvkat_land,personer
2006,33,alle,1,13,arbledige_innvkat_land,personer
2006,33,alle,2,88,arbledige_innvkat_land,personer
