aar,fylke_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,16,innvandrere,alle,598,arbledige_innvkat_land,personer
2006,17,alle,1,36,arbledige_innvkat_land,personer
2006,17,alle,2,135,arbledige_innvkat_land,personer
2006,17,alle,alle,171,arbledige_innvkat_land,personer
2006,17,innvandrere,1,36,arbledige_innvkat_land,personer
2006,17,innvandrere,2,135,arbledige_innvkat_land,personer
2006,17,innvandrere,alle,171,arbledige_innvkat_land,personer
2006,18,alle,1,78,arbledige_innvkat_land,personer
2006,18,alle,2,328,arbledige_innvkat_land,personer
2006,18,alle,alle,406,arbledige_innvkat_land,personer
2006,18,innvandrere,1,78,arbledige_innvkat_land,personer
2006,18,innvandrere,2,328,arbledige_innvkat_land,personer
2006,18,innvandrere,alle,406,arbledige_innvkat_land,personer
2006,19,alle,1,47,arbledige_innvkat_land,personer
2006,19,alle,2,199,arbledige_innvkat_land,personer
2006,19,alle,alle,246,arbledige_innvkat_land,personer
2006,19,innvandrere,1,47,arbledige_innvkat_land,personer
2006,19,innvandrere,2,199,arbledige_innvkat_land,personer
2006,19,innvandrere,alle,246,arbledige_innvkat_land,personer
2006,20,alle,1,71,arbledige_innvkat_land,personer
2006,20,alle,2,156,arbledige_innvkat_land,personer
2006,20,alle,alle,227,arbledige_innvkat_land,personer
2006,20,innvandrere,1,71,arbledige_innvkat_land,personer
2006,20,innvandrere,2,156,arbledige_innvkat_land,personer
2006,20,innvandrere,alle,227,arbledige_innvkat_land,personer
2007,00,alle,1,1960,arbledige_innvkat_land,personer
2007,00,alle,2,11615,arbledige_innvkat_land,personer
2007,00,alle,alle,13575,arbledige_innvkat_land,personer
2007,00,innvandrere,1,1960,arbledige_innvkat_land,personer
2007,00,innvandrere,2,11615,arbledige_innvkat_land,personer
2007,00,innvandrere,alle,13575,arbledige_innvkat_land,personer
2007,01,alle,1,118,arbledige_innvkat_land,personer
2007,01,alle,2,804,arbledige_innvkat_land,personer
2007,01,alle,alle,922,arbledige_innvkat_land,personer
2007,01,innvandrere,1,118,arbledige_innvkat_land,personer
2007,01,innvandrere,2,804,arbledige_innvkat_land,personer
2007,01,innvandrere,alle,922,arbledige_innvkat_land,personer
2007,02,alle,1,203,arbledige_innvkat_land,personer
2007,02,alle,2,1070,arbledige_innvkat_land,personer
2007,02,alle,alle,1273,arbledige_innvkat_land,personer
2007,02,innvandrere,1,203,arbledige_innvkat_land,personer
2007,02,innvandrere,2,1070,arbledige_innvkat_land,personer
2007,02,innvandrere,alle,1273,arbledige_innvkat_land,personer
2007,03,alle,1,434,arbledige_innvkat_land,personer
2007,03,alle,2,3871,arbledige_innvkat_land,personer
2007,03,alle,alle,4305,arbledige_innvkat_land,personer
2007,03,innvandrere,1,434,arbledige_innvkat_land,personer
2007,03,innvandrere,2,3871,arbledige_innvkat_land,personer
2007,03,innvandrere,alle,4305,arbledige_innvkat_land,personer
2007,04,alle,1,65,arbledige_innvkat_land,personer
2007,04,alle,2,257,arbledige_innvkat_land,personer
2007,04,alle,alle,322,arbledige_innvkat_land,personer
2007,04,innvandrere,1,65,arbledige_innvkat_land,personer
2007,04,innvandrere,2,257,arbledige_innvkat_land,personer
2007,04,innvandrere,alle,322,arbledige_innvkat_land,personer
2007,05,alle,1,46,arbledige_innvkat_land,personer
2007,05,alle,2,235,arbledige_innvkat_land,personer
2007,05,alle,alle,281,arbledige_innvkat_land,personer
2007,05,innvandrere,1,46,arbledige_innvkat_land,personer
2007,05,innvandrere,2,235,arbledige_innvkat_land,personer
2007,05,innvandrere,alle,281,arbledige_innvkat_land,personer
2007,06,alle,1,101,arbledige_innvkat_land,personer
2007,06,alle,2,762,arbledige_innvkat_land,personer
2007,06,alle,alle,863,arbledige_innvkat_land,personer
2007,06,innvandrere,1,101,arbledige_innvkat_land,personer
2007,06,innvandrere,2,762,arbledige_innvkat_land,personer
2007,06,innvandrere,alle,863,arbledige_innvkat_land,personer
2007,07,alle,1,96,arbledige_innvkat_land,personer
2007,07,alle,2,414,arbledige_innvkat_land,personer
2007,07,alle,alle,510,arbledige_innvkat_land,personer
2007,07,innvandrere,1,96,arbledige_innvkat_land,personer
2007,07,innvandrere,2,414,arbledige_innvkat_land,personer
2007,07,innvandrere,alle,510,arbledige_innvkat_land,personer
2007,08,alle,1,53,arbledige_innvkat_land,personer
2007,08,alle,2,452,arbledige_innvkat_land,personer
2007,08,alle,alle,505,arbledige_innvkat_land,personer
2007,08,innvandrere,1,53,arbledige_innvkat_land,personer
2007,08,innvandrere,2,452,arbledige_innvkat_land,personer
2007,08,innvandrere,alle,505,arbledige_innvkat_land,personer
2007,09,alle,1,52,arbledige_innvkat_land,personer
2007,09,alle,2,201,arbledige_innvkat_land,personer
2007,09,alle,alle,253,arbledige_innvkat_land,personer
2007,09,innvandrere,1,52,arbledige_innvkat_land,personer
2007,09,innvandrere,2,201,arbledige_innvkat_land,personer
2007,09,innvandrere,alle,253,arbledige_innvkat_land,personer
2007,10,alle,1,78,arbledige_innvkat_land,personer
2007,10,alle,2,404,arbledige_innvkat_land,personer
2007,10,alle,alle,482,arbledige_innvkat_land,personer
2007,10,innvandrere,1,78,arbledige_innvkat_land,personer
2007,10,innvandrere,2,404,arbledige_innvkat_land,personer
2007,10,innvandrere,alle,482,arbledige_innvkat_land,personer
2007,11,alle,1,154,arbledige_innvkat_land,personer
2007,11,alle,2,686,arbledige_innvkat_land,personer
2007,11,alle,alle,840,arbledige_innvkat_land,personer
2007,11,innvandrere,1,154,arbledige_innvkat_land,personer
2007,11,innvandrere,2,686,arbledige_innvkat_land,personer
2007,11,innvandrere,alle,840,arbledige_innvkat_land,personer
2007,12,alle,1,144,arbledige_innvkat_land,personer
2007,12,alle,2,802,arbledige_innvkat_land,personer
2007,12,alle,alle,946,arbledige_innvkat_land,personer
2007,12,innvandrere,1,144,arbledige_innvkat_land,personer
2007,12,innvandrere,2,802,arbledige_innvkat_land,personer
2007,12,innvandrere,alle,946,arbledige_innvkat_land,personer
2007,14,alle,1,23,arbledige_innvkat_land,personer
2007,14,alle,2,108,arbledige_innvkat_land,personer
2007,14,alle,alle,131,arbledige_innvkat_land,personer
2007,14,innvandrere,1,23,arbledige_innvkat_land,personer
2007,14,innvandrere,2,108,arbledige_innvkat_land,personer
2007,14,innvandrere,alle,131,arbledige_innvkat_land,personer
2007,15,alle,1,69,arbledige_innvkat_land,personer
2007,15,alle,2,268,arbledige_innvkat_land,personer
2007,15,alle,alle,337,arbledige_innvkat_land,personer
2007,15,innvandrere,1,69,arbledige_innvkat_land,personer
2007,15,innvandrere,2,268,arbledige_innvkat_land,personer
2007,15,innvandrere,alle,337,arbledige_innvkat_land,personer
2007,16,alle,1,116,arbledige_innvkat_land,personer
2007,16,alle,2,522,arbledige_innvkat_land,personer
2007,16,alle,alle,638,arbledige_innvkat_land,personer
2007,16,innvandrere,1,116,arbledige_innvkat_land,personer
2007,16,innvandrere,2,522,arbledige_innvkat_land,personer
2007,16,innvandrere,alle,638,arbledige_innvkat_land,personer
2007,17,alle,1,30,arbledige_innvkat_land,personer
2007,17,alle,2,156,arbledige_innvkat_land,personer
2007,17,alle,alle,186,arbledige_innvkat_land,personer
2007,17,innvandrere,1,30,arbledige_innvkat_land,personer
2007,17,innvandrere,2,156,arbledige_innvkat_land,personer
2007,17,innvandrere,alle,186,arbledige_innvkat_land,personer
2007,18,alle,1,68,arbledige_innvkat_land,personer
2007,18,alle,2,317,arbledige_innvkat_land,personer
2007,18,alle,alle,385,arbledige_innvkat_land,personer
2007,18,innvandrere,1,68,arbledige_innvkat_land,personer
2007,18,innvandrere,2,317,arbledige_innvkat_land,personer
2007,18,innvandrere,alle,385,arbledige_innvkat_land,personer
2007,19,alle,1,50,arbledige_innvkat_land,personer
2007,19,alle,2,159,arbledige_innvkat_land,personer
2007,19,alle,alle,209,arbledige_innvkat_land,personer
2007,19,innvandrere,1,50,arbledige_innvkat_land,personer
2007,19,innvandrere,2,159,arbledige_innvkat_land,personer
2007,19,innvandrere,alle,209,arbledige_innvkat_land,personer
2007,20,alle,1,60,arbledige_innvkat_land,personer
2007,20,alle,2,127,arbledige_innvkat_land,personer
2007,20,alle,alle,187,arbledige_innvkat_land,personer
2007,20,innvandrere,1,60,arbledige_innvkat_land,personer
2007,20,innvandrere,2,127,arbledige_innvkat_land,personer
2007,20,innvandrere,alle,187,arbledige_innvkat_land,personer
2008,00,alle,1,3591,arbledige_innvkat_land,personer
2008,00,alle,2,13000,arbledige_innvkat_land,personer
2008,00,alle,alle,16591,arbledige_innvkat_land,personer
2008,00,innvandrere,1,3591,arbledige_innvkat_land,personer
2008,00,innvandrere,2,13000,arbledige_innvkat_land,personer
2008,00,innvandrere,alle,16591,arbledige_innvkat_land,personer
2008,01,alle,1,189,arbledige_innvkat_land,personer
2008,01,alle,2,983,arbledige_innvkat_land,personer
2008,01,alle,alle,1172,arbledige_innvkat_land,personer
2008,01,innvandrere,1,189,arbledige_innvkat_land,personer
2008,01,innvandrere,2,983,arbledige_innvkat_land,personer
2008,01,innvandrere,alle,1172,arbledige_innvkat_land,personer
2008,02,alle,1,387,arbledige_innvkat_land,personer
2008,02,alle,2,1260,arbledige_innvkat_land,personer
2008,02,alle,alle,1647,arbledige_innvkat_land,personer
2008,02,innvandrere,1,387,arbledige_innvkat_land,personer
2008,02,innvandrere,2,1260,arbledige_innvkat_land,personer
2008,02,innvandrere,alle,1647,arbledige_innvkat_land,personer
2008,03,alle,1,778,arbledige_innvkat_land,personer
2008,03,alle,2,4521,arbledige_innvkat_land,personer
2008,03,alle,alle,5299,arbledige_innvkat_land,personer
2008,03,innvandrere,1,778,arbledige_innvkat_land,personer
2008,03,innvandrere,2,4521,arbledige_innvkat_land,personer
2008,03,innvandrere,alle,5299,arbledige_innvkat_land,personer
2008,04,alle,1,105,arbledige_innvkat_land,personer
2008,04,alle,2,267,arbledige_innvkat_land,personer
2008,04,alle,alle,372,arbledige_innvkat_land,personer
2008,04,innvandrere,1,105,arbledige_innvkat_land,personer
2008,04,innvandrere,2,267,arbledige_innvkat_land,personer
2008,04,innvandrere,alle,372,arbledige_innvkat_land,personer
2008,05,alle,1,79,arbledige_innvkat_land,personer
2008,05,alle,2,283,arbledige_innvkat_land,personer
2008,05,alle,alle,362,arbledige_innvkat_land,personer
2008,05,innvandrere,1,79,arbledige_innvkat_land,personer
2008,05,innvandrere,2,283,arbledige_innvkat_land,personer
2008,05,innvandrere,alle,362,arbledige_innvkat_land,personer
2008,06,alle,1,170,arbledige_innvkat_land,personer
2008,06,alle,2,745,arbledige_innvkat_land,personer
2008,06,alle,alle,915,arbledige_innvkat_land,personer
2008,06,innvandrere,1,170,arbledige_innvkat_land,personer
2008,06,innvandrere,2,745,arbledige_innvkat_land,personer
2008,06,innvandrere,alle,915,arbledige_innvkat_land,personer
2008,07,alle,1,187,arbledige_innvkat_land,personer
2008,07,alle,2,513,arbledige_innvkat_land,personer
2008,07,alle,alle,700,arbledige_innvkat_land,personer
2008,07,innvandrere,1,187,arbledige_innvkat_land,personer
2008,07,innvandrere,2,513,arbledige_innvkat_land,personer
2008,07,innvandrere,alle,700,arbledige_innvkat_land,personer
2008,08,alle,1,114,arbledige_innvkat_land,personer
2008,08,alle,2,449,arbledige_innvkat_land,personer
2008,08,alle,alle,563,arbledige_innvkat_land,personer
2008,08,innvandrere,1,114,arbledige_innvkat_land,personer
2008,08,innvandrere,2,449,arbledige_innvkat_land,personer
2008,08,innvandrere,alle,563,arbledige_innvkat_land,personer
2008,09,alle,1,135,arbledige_innvkat_land,personer
2008,09,alle,2,250,arbledige_innvkat_land,personer
2008,09,alle,alle,385,arbledige_innvkat_land,personer
2008,09,innvandrere,1,135,arbledige_innvkat_land,personer
2008,09,innvandrere,2,250,arbledige_innvkat_land,personer
2008,09,innvandrere,alle,385,arbledige_innvkat_land,personer
2008,10,alle,1,131,arbledige_innvkat_land,personer
2008,10,alle,2,391,arbledige_innvkat_land,personer
2008,10,alle,alle,522,arbledige_innvkat_land,personer
2008,10,innvandrere,1,131,arbledige_innvkat_land,personer
2008,10,innvandrere,2,391,arbledige_innvkat_land,personer
2008,10,innvandrere,alle,522,arbledige_innvkat_land,personer
2008,11,alle,1,255,arbledige_innvkat_land,personer
2008,11,alle,2,752,arbledige_innvkat_land,personer
2008,11,alle,alle,1007,arbledige_innvkat_land,personer
2008,11,innvandrere,1,255,arbledige_innvkat_land,personer
2008,11,innvandrere,2,752,arbledige_innvkat_land,personer
2008,11,innvandrere,alle,1007,arbledige_innvkat_land,personer
2008,12,alle,1,362,arbledige_innvkat_land,personer
2008,12,alle,2,861,arbledige_innvkat_land,personer
2008,12,alle,alle,1223,arbledige_innvkat_land,personer
2008,12,innvandrere,1,362,arbledige_innvkat_land,personer
2008,12,innvandrere,2,861,arbledige_innvkat_land,personer
2008,12,innvandrere,alle,1223,arbledige_innvkat_land,personer
2008,14,alle,1,45,arbledige_innvkat_land,personer
2008,14,alle,2,98,arbledige_innvkat_land,personer
2008,14,alle,alle,143,arbledige_innvkat_land,personer
2008,14,innvandrere,1,45,arbledige_innvkat_land,personer
2008,14,innvandrere,2,98,arbledige_innvkat_land,personer
2008,14,innvandrere,alle,143,arbledige_innvkat_land,personer
2008,15,alle,1,121,arbledige_innvkat_land,personer
2008,15,alle,2,247,arbledige_innvkat_land,personer
2008,15,alle,alle,368,arbledige_innvkat_land,personer
2008,15,innvandrere,1,121,arbledige_innvkat_land,personer
2008,15,innvandrere,2,247,arbledige_innvkat_land,personer
2008,15,innvandrere,alle,368,arbledige_innvkat_land,personer
