aar,naringsregion_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2009,36,alle,alle,12152,sysselsatte_kjonn_land,personer
2009,37,1,0,717,sysselsatte_kjonn_land,personer
2009,37,1,1,1671,sysselsatte_kjonn_land,personer
2009,37,1,alle,2388,sysselsatte_kjonn_land,personer
2009,37,2,0,777,sysselsatte_kjonn_land,personer
2009,37,2,1,733,sysselsatte_kjonn_land,personer
2009,37,2,alle,1510,sysselsatte_kjonn_land,personer
2009,37,alle,0,22994,sysselsatte_kjonn_land,personer
2009,37,alle,1,26545,sysselsatte_kjonn_land,personer
2009,37,alle,alle,49539,sysselsatte_kjonn_land,personer
2009,38,1,0,246,sysselsatte_kjonn_land,personer
2009,38,1,1,374,sysselsatte_kjonn_land,personer
2009,38,1,alle,620,sysselsatte_kjonn_land,personer
2009,38,2,0,187,sysselsatte_kjonn_land,personer
2009,38,2,1,106,sysselsatte_kjonn_land,personer
2009,38,2,alle,293,sysselsatte_kjonn_land,personer
2009,38,alle,0,5487,sysselsatte_kjonn_land,personer
2009,38,alle,1,6188,sysselsatte_kjonn_land,personer
2009,38,alle,alle,11675,sysselsatte_kjonn_land,personer
2009,39,1,0,3638,sysselsatte_kjonn_land,personer
2009,39,1,1,7136,sysselsatte_kjonn_land,personer
2009,39,1,alle,10774,sysselsatte_kjonn_land,personer
2009,39,2,0,4070,sysselsatte_kjonn_land,personer
2009,39,2,1,4669,sysselsatte_kjonn_land,personer
2009,39,2,alle,8739,sysselsatte_kjonn_land,personer
2009,39,alle,0,72061,sysselsatte_kjonn_land,personer
2009,39,alle,1,82661,sysselsatte_kjonn_land,personer
2009,39,alle,alle,154722,sysselsatte_kjonn_land,personer
2009,40,1,0,2583,sysselsatte_kjonn_land,personer
2009,40,1,1,4264,sysselsatte_kjonn_land,personer
2009,40,1,alle,6847,sysselsatte_kjonn_land,personer
2009,40,2,0,3393,sysselsatte_kjonn_land,personer
2009,40,2,1,3762,sysselsatte_kjonn_land,personer
2009,40,2,alle,7155,sysselsatte_kjonn_land,personer
2009,40,alle,0,64675,sysselsatte_kjonn_land,personer
2009,40,alle,1,71047,sysselsatte_kjonn_land,personer
2009,40,alle,alle,135722,sysselsatte_kjonn_land,personer
2009,41,1,0,186,sysselsatte_kjonn_land,personer
2009,41,1,1,320,sysselsatte_kjonn_land,personer
2009,41,1,alle,506,sysselsatte_kjonn_land,personer
2009,41,2,0,169,sysselsatte_kjonn_land,personer
2009,41,2,1,101,sysselsatte_kjonn_land,personer
2009,41,2,alle,270,sysselsatte_kjonn_land,personer
2009,41,alle,0,5626,sysselsatte_kjonn_land,personer
2009,41,alle,1,6393,sysselsatte_kjonn_land,personer
2009,41,alle,alle,12019,sysselsatte_kjonn_land,personer
2009,42,1,0,202,sysselsatte_kjonn_land,personer
2009,42,1,1,291,sysselsatte_kjonn_land,personer
2009,42,1,alle,493,sysselsatte_kjonn_land,personer
2009,42,2,0,177,sysselsatte_kjonn_land,personer
2009,42,2,1,91,sysselsatte_kjonn_land,personer
2009,42,2,alle,268,sysselsatte_kjonn_land,personer
2009,42,alle,0,5507,sysselsatte_kjonn_land,personer
2009,42,alle,1,6177,sysselsatte_kjonn_land,personer
2009,42,alle,alle,11684,sysselsatte_kjonn_land,personer
2009,43,1,0,68,sysselsatte_kjonn_land,personer
2009,43,1,1,108,sysselsatte_kjonn_land,personer
2009,43,1,alle,176,sysselsatte_kjonn_land,personer
2009,43,2,0,75,sysselsatte_kjonn_land,personer
2009,43,2,1,57,sysselsatte_kjonn_land,personer
2009,43,2,alle,132,sysselsatte_kjonn_land,personer
2009,43,alle,0,3425,sysselsatte_kjonn_land,personer
2009,43,alle,1,3699,sysselsatte_kjonn_land,personer
2009,43,alle,alle,7124,sysselsatte_kjonn_land,personer
2009,44,1,0,202,sysselsatte_kjonn_land,personer
2009,44,1,1,551,sysselsatte_kjonn_land,personer
2009,44,1,alle,753,sysselsatte_kjonn_land,personer
2009,44,2,0,173,sysselsatte_kjonn_land,personer
2009,44,2,1,90,sysselsatte_kjonn_land,personer
2009,44,2,alle,263,sysselsatte_kjonn_land,personer
2009,44,alle,0,7302,sysselsatte_kjonn_land,personer
2009,44,alle,1,8683,sysselsatte_kjonn_land,personer
2009,44,alle,alle,15985,sysselsatte_kjonn_land,personer
2009,45,1,0,79,sysselsatte_kjonn_land,personer
2009,45,1,1,147,sysselsatte_kjonn_land,personer
2009,45,1,alle,226,sysselsatte_kjonn_land,personer
2009,45,2,0,56,sysselsatte_kjonn_land,personer
2009,45,2,1,25,sysselsatte_kjonn_land,personer
2009,45,2,alle,81,sysselsatte_kjonn_land,personer
2009,45,alle,0,2713,sysselsatte_kjonn_land,personer
2009,45,alle,1,3233,sysselsatte_kjonn_land,personer
2009,45,alle,alle,5946,sysselsatte_kjonn_land,personer
2009,46,1,0,448,sysselsatte_kjonn_land,personer
2009,46,1,1,790,sysselsatte_kjonn_land,personer
2009,46,1,alle,1238,sysselsatte_kjonn_land,personer
2009,46,2,0,401,sysselsatte_kjonn_land,personer
2009,46,2,1,358,sysselsatte_kjonn_land,personer
2009,46,2,alle,759,sysselsatte_kjonn_land,personer
2009,46,alle,0,14554,sysselsatte_kjonn_land,personer
2009,46,alle,1,17109,sysselsatte_kjonn_land,personer
2009,46,alle,alle,31663,sysselsatte_kjonn_land,personer
2009,47,1,0,427,sysselsatte_kjonn_land,personer
2009,47,1,1,726,sysselsatte_kjonn_land,personer
2009,47,1,alle,1153,sysselsatte_kjonn_land,personer
2009,47,2,0,411,sysselsatte_kjonn_land,personer
2009,47,2,1,290,sysselsatte_kjonn_land,personer
2009,47,2,alle,701,sysselsatte_kjonn_land,personer
2009,47,alle,0,13818,sysselsatte_kjonn_land,personer
2009,47,alle,1,15492,sysselsatte_kjonn_land,personer
2009,47,alle,alle,29310,sysselsatte_kjonn_land,personer
2009,48,1,0,66,sysselsatte_kjonn_land,personer
2009,48,1,1,115,sysselsatte_kjonn_land,personer
2009,48,1,alle,181,sysselsatte_kjonn_land,personer
2009,48,2,0,30,sysselsatte_kjonn_land,personer
2009,48,2,1,22,sysselsatte_kjonn_land,personer
2009,48,2,alle,52,sysselsatte_kjonn_land,personer
2009,48,alle,0,1747,sysselsatte_kjonn_land,personer
2009,48,alle,1,2145,sysselsatte_kjonn_land,personer
2009,48,alle,alle,3892,sysselsatte_kjonn_land,personer
2009,49,1,0,317,sysselsatte_kjonn_land,personer
2009,49,1,1,562,sysselsatte_kjonn_land,personer
2009,49,1,alle,879,sysselsatte_kjonn_land,personer
2009,49,2,0,210,sysselsatte_kjonn_land,personer
2009,49,2,1,145,sysselsatte_kjonn_land,personer
2009,49,2,alle,355,sysselsatte_kjonn_land,personer
2009,49,alle,0,7726,sysselsatte_kjonn_land,personer
2009,49,alle,1,9154,sysselsatte_kjonn_land,personer
2009,49,alle,alle,16880,sysselsatte_kjonn_land,personer
2009,50,1,0,291,sysselsatte_kjonn_land,personer
2009,50,1,1,460,sysselsatte_kjonn_land,personer
2009,50,1,alle,751,sysselsatte_kjonn_land,personer
2009,50,2,0,192,sysselsatte_kjonn_land,personer
2009,50,2,1,142,sysselsatte_kjonn_land,personer
2009,50,2,alle,334,sysselsatte_kjonn_land,personer
2009,50,alle,0,7810,sysselsatte_kjonn_land,personer
2009,50,alle,1,8903,sysselsatte_kjonn_land,personer
2009,50,alle,alle,16713,sysselsatte_kjonn_land,personer
2009,51,1,0,226,sysselsatte_kjonn_land,personer
2009,51,1,1,374,sysselsatte_kjonn_land,personer
2009,51,1,alle,600,sysselsatte_kjonn_land,personer
2009,51,2,0,239,sysselsatte_kjonn_land,personer
2009,51,2,1,227,sysselsatte_kjonn_land,personer
2009,51,2,alle,466,sysselsatte_kjonn_land,personer
2009,51,alle,0,8307,sysselsatte_kjonn_land,personer
2009,51,alle,1,9123,sysselsatte_kjonn_land,personer
2009,51,alle,alle,17430,sysselsatte_kjonn_land,personer
2009,52,1,0,391,sysselsatte_kjonn_land,personer
2009,52,1,1,620,sysselsatte_kjonn_land,personer
2009,52,1,alle,1011,sysselsatte_kjonn_land,personer
2009,52,2,0,400,sysselsatte_kjonn_land,personer
2009,52,2,1,293,sysselsatte_kjonn_land,personer
2009,52,2,alle,693,sysselsatte_kjonn_land,personer
2009,52,alle,0,13993,sysselsatte_kjonn_land,personer
2009,52,alle,1,16572,sysselsatte_kjonn_land,personer
2009,52,alle,alle,30565,sysselsatte_kjonn_land,personer
2009,53,1,0,417,sysselsatte_kjonn_land,personer
2009,53,1,1,773,sysselsatte_kjonn_land,personer
2009,53,1,alle,1190,sysselsatte_kjonn_land,personer
2009,53,2,0,422,sysselsatte_kjonn_land,personer
2009,53,2,1,257,sysselsatte_kjonn_land,personer
2009,53,2,alle,679,sysselsatte_kjonn_land,personer
2009,53,alle,0,13753,sysselsatte_kjonn_land,personer
2009,53,alle,1,15873,sysselsatte_kjonn_land,personer
2009,53,alle,alle,29626,sysselsatte_kjonn_land,personer
2009,54,1,0,235,sysselsatte_kjonn_land,personer
2009,54,1,1,335,sysselsatte_kjonn_land,personer
2009,54,1,alle,570,sysselsatte_kjonn_land,personer
2009,54,2,0,152,sysselsatte_kjonn_land,personer
2009,54,2,1,124,sysselsatte_kjonn_land,personer
2009,54,2,alle,276,sysselsatte_kjonn_land,personer
2009,54,alle,0,4273,sysselsatte_kjonn_land,personer
2009,54,alle,1,4820,sysselsatte_kjonn_land,personer
2009,54,alle,alle,9093,sysselsatte_kjonn_land,personer
2009,55,1,0,288,sysselsatte_kjonn_land,personer
2009,55,1,1,751,sysselsatte_kjonn_land,personer
2009,55,1,alle,1039,sysselsatte_kjonn_land,personer
2009,55,2,0,450,sysselsatte_kjonn_land,personer
2009,55,2,1,237,sysselsatte_kjonn_land,personer
2009,55,2,alle,687,sysselsatte_kjonn_land,personer
2009,55,alle,0,10489,sysselsatte_kjonn_land,personer
2009,55,alle,1,12779,sysselsatte_kjonn_land,personer
2009,55,alle,alle,23268,sysselsatte_kjonn_land,personer
2009,56,1,0,574,sysselsatte_kjonn_land,personer
2009,56,1,1,1229,sysselsatte_kjonn_land,personer
2009,56,1,alle,1803,sysselsatte_kjonn_land,personer
2009,56,2,0,724,sysselsatte_kjonn_land,personer
2009,56,2,1,486,sysselsatte_kjonn_land,personer
2009,56,2,alle,1210,sysselsatte_kjonn_land,personer
2009,56,alle,0,17902,sysselsatte_kjonn_land,personer
2009,56,alle,1,20505,sysselsatte_kjonn_land,personer
2009,56,alle,alle,38407,sysselsatte_kjonn_land,personer
2009,57,1,0,108,sysselsatte_kjonn_land,personer
2009,57,1,1,211,sysselsatte_kjonn_land,personer
2009,57,1,alle,319,sysselsatte_kjonn_land,personer
2009,57,2,0,103,sysselsatte_kjonn_land,personer
2009,57,2,1,34,sysselsatte_kjonn_land,personer
2009,57,2,alle,137,sysselsatte_kjonn_land,personer
2009,57,alle,0,5469,sysselsatte_kjonn_land,personer
2009,57,alle,1,6697,sysselsatte_kjonn_land,personer
2009,57,alle,alle,12166,sysselsatte_kjonn_land,personer
2009,58,1,0,212,sysselsatte_kjonn_land,personer
2009,58,1,1,392,sysselsatte_kjonn_land,personer
2009,58,1,alle,604,sysselsatte_kjonn_land,personer
2009,58,2,0,81,sysselsatte_kjonn_land,personer
2009,58,2,1,24,sysselsatte_kjonn_land,personer
2009,58,2,alle,105,sysselsatte_kjonn_land,personer
2009,58,alle,0,1930,sysselsatte_kjonn_land,personer
2009,58,alle,1,2446,sysselsatte_kjonn_land,personer
2009,58,alle,alle,4376,sysselsatte_kjonn_land,personer
2009,59,1,0,60,sysselsatte_kjonn_land,personer
2009,59,1,1,76,sysselsatte_kjonn_land,personer
2009,59,1,alle,136,sysselsatte_kjonn_land,personer
2009,59,2,0,37,sysselsatte_kjonn_land,personer
2009,59,2,1,40,sysselsatte_kjonn_land,personer
2009,59,2,alle,77,sysselsatte_kjonn_land,personer
2009,59,alle,0,2273,sysselsatte_kjonn_land,personer
2009,59,alle,1,2562,sysselsatte_kjonn_land,personer
2009,59,alle,alle,4835,sysselsatte_kjonn_land,personer
2009,60,1,0,86,sysselsatte_kjonn_land,personer
2009,60,1,1,144,sysselsatte_kjonn_land,personer
2009,60,1,alle,230,sysselsatte_kjonn_land,personer
2009,60,2,0,127,sysselsatte_kjonn_land,personer
2009,60,2,1,75,sysselsatte_kjonn_land,personer
2009,60,2,alle,202,sysselsatte_kjonn_land,personer
2009,60,alle,0,5098,sysselsatte_kjonn_land,personer
2009,60,alle,1,5899,sysselsatte_kjonn_land,personer
2009,60,alle,alle,10997,sysselsatte_kjonn_land,personer
2009,61,1,0,1718,sysselsatte_kjonn_land,personer
2009,61,1,1,2572,sysselsatte_kjonn_land,personer
2009,61,1,alle,4290,sysselsatte_kjonn_land,personer
2009,61,2,0,2249,sysselsatte_kjonn_land,personer
2009,61,2,1,2575,sysselsatte_kjonn_land,personer
2009,61,2,alle,4824,sysselsatte_kjonn_land,personer
2009,61,alle,0,54700,sysselsatte_kjonn_land,personer
2009,61,alle,1,61350,sysselsatte_kjonn_land,personer
2009,61,alle,alle,116050,sysselsatte_kjonn_land,personer
2009,62,1,0,74,sysselsatte_kjonn_land,personer
2009,62,1,1,75,sysselsatte_kjonn_land,personer
2009,62,1,alle,149,sysselsatte_kjonn_land,personer
2009,62,2,0,36,sysselsatte_kjonn_land,personer
2009,62,2,1,30,sysselsatte_kjonn_land,personer
2009,62,2,alle,66,sysselsatte_kjonn_land,personer
2009,62,alle,0,2157,sysselsatte_kjonn_land,personer
2009,62,alle,1,2322,sysselsatte_kjonn_land,personer
2009,62,alle,alle,4479,sysselsatte_kjonn_land,personer
2009,63,1,0,96,sysselsatte_kjonn_land,personer
2009,63,1,1,128,sysselsatte_kjonn_land,personer
2009,63,1,alle,224,sysselsatte_kjonn_land,personer
2009,63,2,0,171,sysselsatte_kjonn_land,personer
2009,63,2,1,120,sysselsatte_kjonn_land,personer
2009,63,2,alle,291,sysselsatte_kjonn_land,personer
2009,63,alle,0,6160,sysselsatte_kjonn_land,personer
2009,63,alle,1,6875,sysselsatte_kjonn_land,personer
2009,63,alle,alle,13035,sysselsatte_kjonn_land,personer
2009,64,1,0,238,sysselsatte_kjonn_land,personer
2009,64,1,1,605,sysselsatte_kjonn_land,personer
2009,64,1,alle,843,sysselsatte_kjonn_land,personer
2009,64,2,0,272,sysselsatte_kjonn_land,personer
2009,64,2,1,244,sysselsatte_kjonn_land,personer
2009,64,2,alle,516,sysselsatte_kjonn_land,personer
2009,64,alle,0,14624,sysselsatte_kjonn_land,personer
2009,64,alle,1,16600,sysselsatte_kjonn_land,personer
2009,64,alle,alle,31224,sysselsatte_kjonn_land,personer
2009,65,1,0,67,sysselsatte_kjonn_land,personer
2009,65,1,1,59,sysselsatte_kjonn_land,personer
2009,65,1,alle,126,sysselsatte_kjonn_land,personer
2009,65,2,0,24,sysselsatte_kjonn_land,personer
2009,65,2,1,17,sysselsatte_kjonn_land,personer
2009,65,2,alle,41,sysselsatte_kjonn_land,personer
2009,65,alle,0,2051,sysselsatte_kjonn_land,personer
2009,65,alle,1,2433,sysselsatte_kjonn_land,personer
2009,65,alle,alle,4484,sysselsatte_kjonn_land,personer
2009,66,1,0,65,sysselsatte_kjonn_land,personer
2009,66,1,1,82,sysselsatte_kjonn_land,personer
2009,66,1,alle,147,sysselsatte_kjonn_land,personer
2009,66,2,0,45,sysselsatte_kjonn_land,personer
2009,66,2,1,11,sysselsatte_kjonn_land,personer
2009,66,2,alle,56,sysselsatte_kjonn_land,personer
2009,66,alle,0,2232,sysselsatte_kjonn_land,personer
2009,66,alle,1,2643,sysselsatte_kjonn_land,personer
2009,66,alle,alle,4875,sysselsatte_kjonn_land,personer
2009,67,1,0,98,sysselsatte_kjonn_land,personer
2009,67,1,1,117,sysselsatte_kjonn_land,personer
2009,67,1,alle,215,sysselsatte_kjonn_land,personer
2009,67,2,0,102,sysselsatte_kjonn_land,personer
2009,67,2,1,83,sysselsatte_kjonn_land,personer
2009,67,2,alle,185,sysselsatte_kjonn_land,personer
2009,67,alle,0,4844,sysselsatte_kjonn_land,personer
2009,67,alle,1,5190,sysselsatte_kjonn_land,personer
2009,67,alle,alle,10034,sysselsatte_kjonn_land,personer
2009,68,1,0,56,sysselsatte_kjonn_land,personer
2009,68,1,1,71,sysselsatte_kjonn_land,personer
2009,68,1,alle,127,sysselsatte_kjonn_land,personer
2009,68,2,0,66,sysselsatte_kjonn_land,personer
2009,68,2,1,27,sysselsatte_kjonn_land,personer
2009,68,2,alle,93,sysselsatte_kjonn_land,personer
2009,68,alle,0,3039,sysselsatte_kjonn_land,personer
2009,68,alle,1,3344,sysselsatte_kjonn_land,personer
2009,68,alle,alle,6383,sysselsatte_kjonn_land,personer
2009,69,1,0,74,sysselsatte_kjonn_land,personer
2009,69,1,1,76,sysselsatte_kjonn_land,personer
2009,69,1,alle,150,sysselsatte_kjonn_land,personer
2009,69,2,0,84,sysselsatte_kjonn_land,personer
2009,69,2,1,70,sysselsatte_kjonn_land,personer
2009,69,2,alle,154,sysselsatte_kjonn_land,personer
2009,69,alle,0,2879,sysselsatte_kjonn_land,personer
2009,69,alle,1,3310,sysselsatte_kjonn_land,personer
2009,69,alle,alle,6189,sysselsatte_kjonn_land,personer
2009,70,1,0,44,sysselsatte_kjonn_land,personer
2009,70,1,1,51,sysselsatte_kjonn_land,personer
2009,70,1,alle,95,sysselsatte_kjonn_land,personer
2009,70,2,0,20,sysselsatte_kjonn_land,personer
2009,70,2,1,4,sysselsatte_kjonn_land,personer
2009,70,2,alle,24,sysselsatte_kjonn_land,personer
2009,70,alle,0,821,sysselsatte_kjonn_land,personer
2009,70,alle,1,1026,sysselsatte_kjonn_land,personer
2009,70,alle,alle,1847,sysselsatte_kjonn_land,personer
2009,71,1,0,55,sysselsatte_kjonn_land,personer
2009,71,1,1,76,sysselsatte_kjonn_land,personer
2009,71,1,alle,131,sysselsatte_kjonn_land,personer
2009,71,2,0,94,sysselsatte_kjonn_land,personer
2009,71,2,1,64,sysselsatte_kjonn_land,personer
2009,71,2,alle,158,sysselsatte_kjonn_land,personer
2009,71,alle,0,3798,sysselsatte_kjonn_land,personer
2009,71,alle,1,4403,sysselsatte_kjonn_land,personer
2009,71,alle,alle,8201,sysselsatte_kjonn_land,personer
2009,72,1,0,133,sysselsatte_kjonn_land,personer
2009,72,1,1,221,sysselsatte_kjonn_land,personer
2009,72,1,alle,354,sysselsatte_kjonn_land,personer
2009,72,2,0,164,sysselsatte_kjonn_land,personer
2009,72,2,1,137,sysselsatte_kjonn_land,personer
2009,72,2,alle,301,sysselsatte_kjonn_land,personer
2009,72,alle,0,7330,sysselsatte_kjonn_land,personer
2009,72,alle,1,8086,sysselsatte_kjonn_land,personer
2009,72,alle,alle,15416,sysselsatte_kjonn_land,personer
2009,73,1,0,419,sysselsatte_kjonn_land,personer
2009,73,1,1,566,sysselsatte_kjonn_land,personer
2009,73,1,alle,985,sysselsatte_kjonn_land,personer
2009,73,2,0,531,sysselsatte_kjonn_land,personer
2009,73,2,1,439,sysselsatte_kjonn_land,personer
2009,73,2,alle,970,sysselsatte_kjonn_land,personer
2009,73,alle,0,19060,sysselsatte_kjonn_land,personer
2009,73,alle,1,21040,sysselsatte_kjonn_land,personer
2009,73,alle,alle,40100,sysselsatte_kjonn_land,personer
2009,74,1,0,196,sysselsatte_kjonn_land,personer
2009,74,1,1,233,sysselsatte_kjonn_land,personer
2009,74,1,alle,429,sysselsatte_kjonn_land,personer
2009,74,2,0,230,sysselsatte_kjonn_land,personer
2009,74,2,1,180,sysselsatte_kjonn_land,personer
2009,74,2,alle,410,sysselsatte_kjonn_land,personer
2009,74,alle,0,5761,sysselsatte_kjonn_land,personer
2009,74,alle,1,6514,sysselsatte_kjonn_land,personer
2009,74,alle,alle,12275,sysselsatte_kjonn_land,personer
2009,75,1,0,210,sysselsatte_kjonn_land,personer
2009,75,1,1,214,sysselsatte_kjonn_land,personer
2009,75,1,alle,424,sysselsatte_kjonn_land,personer
2009,75,2,0,187,sysselsatte_kjonn_land,personer
2009,75,2,1,142,sysselsatte_kjonn_land,personer
2009,75,2,alle,329,sysselsatte_kjonn_land,personer
2009,75,alle,0,5402,sysselsatte_kjonn_land,personer
2009,75,alle,1,6192,sysselsatte_kjonn_land,personer
2009,75,alle,alle,11594,sysselsatte_kjonn_land,personer
2009,76,1,0,168,sysselsatte_kjonn_land,personer
2009,76,1,1,166,sysselsatte_kjonn_land,personer
2009,76,1,alle,334,sysselsatte_kjonn_land,personer
2009,76,2,0,240,sysselsatte_kjonn_land,personer
2009,76,2,1,202,sysselsatte_kjonn_land,personer
2009,76,2,alle,442,sysselsatte_kjonn_land,personer
2009,76,alle,0,7251,sysselsatte_kjonn_land,personer
2009,76,alle,1,8313,sysselsatte_kjonn_land,personer
2009,76,alle,alle,15564,sysselsatte_kjonn_land,personer
2009,77,1,0,192,sysselsatte_kjonn_land,personer
2009,77,1,1,232,sysselsatte_kjonn_land,personer
2009,77,1,alle,424,sysselsatte_kjonn_land,personer
2009,77,2,0,258,sysselsatte_kjonn_land,personer
2009,77,2,1,171,sysselsatte_kjonn_land,personer
2009,77,2,alle,429,sysselsatte_kjonn_land,personer
2009,77,alle,0,8327,sysselsatte_kjonn_land,personer
2009,77,alle,1,9118,sysselsatte_kjonn_land,personer
2009,77,alle,alle,17445,sysselsatte_kjonn_land,personer
2009,78,1,0,199,sysselsatte_kjonn_land,personer
2009,78,1,1,190,sysselsatte_kjonn_land,personer
2009,78,1,alle,389,sysselsatte_kjonn_land,personer
2009,78,2,0,184,sysselsatte_kjonn_land,personer
2009,78,2,1,107,sysselsatte_kjonn_land,personer
2009,78,2,alle,291,sysselsatte_kjonn_land,personer
2009,78,alle,0,6826,sysselsatte_kjonn_land,personer
2009,78,alle,1,8056,sysselsatte_kjonn_land,personer
2009,78,alle,alle,14882,sysselsatte_kjonn_land,personer
2009,79,1,0,886,sysselsatte_kjonn_land,personer
2009,79,1,1,1066,sysselsatte_kjonn_land,personer
2009,79,1,alle,1952,sysselsatte_kjonn_land,personer
2009,79,2,0,754,sysselsatte_kjonn_land,personer
2009,79,2,1,713,sysselsatte_kjonn_land,personer
2009,79,2,alle,1467,sysselsatte_kjonn_land,personer
2009,79,alle,0,19518,sysselsatte_kjonn_land,personer
2009,79,alle,1,20980,sysselsatte_kjonn_land,personer
2009,79,alle,alle,40498,sysselsatte_kjonn_land,personer
2009,80,1,0,103,sysselsatte_kjonn_land,personer
2009,80,1,1,96,sysselsatte_kjonn_land,personer
2009,80,1,alle,199,sysselsatte_kjonn_land,personer
2009,80,2,0,79,sysselsatte_kjonn_land,personer
2009,80,2,1,41,sysselsatte_kjonn_land,personer
2009,80,2,alle,120,sysselsatte_kjonn_land,personer
2009,80,alle,0,3658,sysselsatte_kjonn_land,personer
2009,80,alle,1,4275,sysselsatte_kjonn_land,personer
2009,80,alle,alle,7933,sysselsatte_kjonn_land,personer
2009,81,1,0,359,sysselsatte_kjonn_land,personer
2009,81,1,1,452,sysselsatte_kjonn_land,personer
2009,81,1,alle,811,sysselsatte_kjonn_land,personer
2009,81,2,0,414,sysselsatte_kjonn_land,personer
2009,81,2,1,357,sysselsatte_kjonn_land,personer
2009,81,2,alle,771,sysselsatte_kjonn_land,personer
2009,81,alle,0,8563,sysselsatte_kjonn_land,personer
2009,81,alle,1,9908,sysselsatte_kjonn_land,personer
2009,81,alle,alle,18471,sysselsatte_kjonn_land,personer
2009,82,1,0,179,sysselsatte_kjonn_land,personer
2009,82,1,1,126,sysselsatte_kjonn_land,personer
2009,82,1,alle,305,sysselsatte_kjonn_land,personer
2009,82,2,0,145,sysselsatte_kjonn_land,personer
2009,82,2,1,28,sysselsatte_kjonn_land,personer
2009,82,2,alle,173,sysselsatte_kjonn_land,personer
2009,82,alle,0,3394,sysselsatte_kjonn_land,personer
2009,82,alle,1,3675,sysselsatte_kjonn_land,personer
2009,82,alle,alle,7069,sysselsatte_kjonn_land,personer
2009,83,1,0,320,sysselsatte_kjonn_land,personer
2009,83,1,1,244,sysselsatte_kjonn_land,personer
2009,83,1,alle,564,sysselsatte_kjonn_land,personer
2009,83,2,0,423,sysselsatte_kjonn_land,personer
2009,83,2,1,267,sysselsatte_kjonn_land,personer
2009,83,2,alle,690,sysselsatte_kjonn_land,personer
2009,83,alle,0,5613,sysselsatte_kjonn_land,personer
2009,83,alle,1,6078,sysselsatte_kjonn_land,personer
2009,83,alle,alle,11691,sysselsatte_kjonn_land,personer
2010,01,1,0,234,sysselsatte_kjonn_land,personer
2010,01,1,1,321,sysselsatte_kjonn_land,personer
2010,01,1,alle,555,sysselsatte_kjonn_land,personer
2010,01,2,0,268,sysselsatte_kjonn_land,personer
2010,01,2,1,256,sysselsatte_kjonn_land,personer
2010,01,2,alle,524,sysselsatte_kjonn_land,personer
2010,01,alle,0,6371,sysselsatte_kjonn_land,personer
2010,01,alle,1,7154,sysselsatte_kjonn_land,personer
2010,01,alle,alle,13525,sysselsatte_kjonn_land,personer
2010,02,1,0,506,sysselsatte_kjonn_land,personer
2010,02,1,1,856,sysselsatte_kjonn_land,personer
2010,02,1,alle,1362,sysselsatte_kjonn_land,personer
2010,02,2,0,646,sysselsatte_kjonn_land,personer
2010,02,2,1,660,sysselsatte_kjonn_land,personer
2010,02,2,alle,1306,sysselsatte_kjonn_land,personer
2010,02,alle,0,13235,sysselsatte_kjonn_land,personer
2010,02,alle,1,15390,sysselsatte_kjonn_land,personer
2010,02,alle,alle,28625,sysselsatte_kjonn_land,personer
2010,03,1,0,605,sysselsatte_kjonn_land,personer
2010,03,1,1,938,sysselsatte_kjonn_land,personer
2010,03,1,alle,1543,sysselsatte_kjonn_land,personer
2010,03,2,0,645,sysselsatte_kjonn_land,personer
2010,03,2,1,650,sysselsatte_kjonn_land,personer
2010,03,2,alle,1295,sysselsatte_kjonn_land,personer
2010,03,alle,0,12982,sysselsatte_kjonn_land,personer
2010,03,alle,1,14238,sysselsatte_kjonn_land,personer
2010,03,alle,alle,27220,sysselsatte_kjonn_land,personer
2010,04,1,0,1114,sysselsatte_kjonn_land,personer
2010,04,1,1,1765,sysselsatte_kjonn_land,personer
2010,04,1,alle,2879,sysselsatte_kjonn_land,personer
2010,04,2,0,1669,sysselsatte_kjonn_land,personer
2010,04,2,1,1749,sysselsatte_kjonn_land,personer
2010,04,2,alle,3418,sysselsatte_kjonn_land,personer
2010,04,alle,0,29707,sysselsatte_kjonn_land,personer
2010,04,alle,1,32490,sysselsatte_kjonn_land,personer
2010,04,alle,alle,62197,sysselsatte_kjonn_land,personer
2010,05,1,0,3289,sysselsatte_kjonn_land,personer
2010,05,1,1,4187,sysselsatte_kjonn_land,personer
2010,05,1,alle,7476,sysselsatte_kjonn_land,personer
2010,05,2,0,2634,sysselsatte_kjonn_land,personer
2010,05,2,1,2616,sysselsatte_kjonn_land,personer
2010,05,2,alle,5250,sysselsatte_kjonn_land,personer
2010,05,alle,0,42031,sysselsatte_kjonn_land,personer
2010,05,alle,1,43730,sysselsatte_kjonn_land,personer
2010,05,alle,alle,85761,sysselsatte_kjonn_land,personer
2010,06,1,0,1796,sysselsatte_kjonn_land,personer
2010,06,1,1,2342,sysselsatte_kjonn_land,personer
2010,06,1,alle,4138,sysselsatte_kjonn_land,personer
2010,06,2,0,1679,sysselsatte_kjonn_land,personer
2010,06,2,1,1692,sysselsatte_kjonn_land,personer
2010,06,2,alle,3371,sysselsatte_kjonn_land,personer
2010,06,alle,0,31803,sysselsatte_kjonn_land,personer
2010,06,alle,1,34008,sysselsatte_kjonn_land,personer
2010,06,alle,alle,65811,sysselsatte_kjonn_land,personer
2010,07,1,0,1956,sysselsatte_kjonn_land,personer
