aar,naringsregion_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,11,2,1,263,sysselsatte_kjonn_land,personer
2006,11,2,alle,530,sysselsatte_kjonn_land,personer
2006,11,alle,0,11649,sysselsatte_kjonn_land,personer
2006,11,alle,1,13393,sysselsatte_kjonn_land,personer
2006,11,alle,alle,25042,sysselsatte_kjonn_land,personer
2006,12,1,0,448,sysselsatte_kjonn_land,personer
2006,12,1,1,511,sysselsatte_kjonn_land,personer
2006,12,1,alle,959,sysselsatte_kjonn_land,personer
2006,12,2,0,419,sysselsatte_kjonn_land,personer
2006,12,2,1,448,sysselsatte_kjonn_land,personer
2006,12,2,alle,867,sysselsatte_kjonn_land,personer
2006,12,alle,0,19992,sysselsatte_kjonn_land,personer
2006,12,alle,1,22226,sysselsatte_kjonn_land,personer
2006,12,alle,alle,42218,sysselsatte_kjonn_land,personer
2006,13,1,0,199,sysselsatte_kjonn_land,personer
2006,13,1,1,216,sysselsatte_kjonn_land,personer
2006,13,1,alle,415,sysselsatte_kjonn_land,personer
2006,13,2,0,145,sysselsatte_kjonn_land,personer
2006,13,2,1,146,sysselsatte_kjonn_land,personer
2006,13,2,alle,291,sysselsatte_kjonn_land,personer
2006,13,alle,0,7805,sysselsatte_kjonn_land,personer
2006,13,alle,1,8772,sysselsatte_kjonn_land,personer
2006,13,alle,alle,16577,sysselsatte_kjonn_land,personer
2006,14,1,0,337,sysselsatte_kjonn_land,personer
2006,14,1,1,331,sysselsatte_kjonn_land,personer
2006,14,1,alle,668,sysselsatte_kjonn_land,personer
2006,14,2,0,411,sysselsatte_kjonn_land,personer
2006,14,2,1,400,sysselsatte_kjonn_land,personer
2006,14,2,alle,811,sysselsatte_kjonn_land,personer
2006,14,alle,0,16270,sysselsatte_kjonn_land,personer
2006,14,alle,1,18688,sysselsatte_kjonn_land,personer
2006,14,alle,alle,34958,sysselsatte_kjonn_land,personer
2006,15,1,0,118,sysselsatte_kjonn_land,personer
2006,15,1,1,149,sysselsatte_kjonn_land,personer
2006,15,1,alle,267,sysselsatte_kjonn_land,personer
2006,15,2,0,152,sysselsatte_kjonn_land,personer
2006,15,2,1,141,sysselsatte_kjonn_land,personer
2006,15,2,alle,293,sysselsatte_kjonn_land,personer
2006,15,alle,0,6732,sysselsatte_kjonn_land,personer
2006,15,alle,1,7575,sysselsatte_kjonn_land,personer
2006,15,alle,alle,14307,sysselsatte_kjonn_land,personer
2006,16,1,0,253,sysselsatte_kjonn_land,personer
2006,16,1,1,265,sysselsatte_kjonn_land,personer
2006,16,1,alle,518,sysselsatte_kjonn_land,personer
2006,16,2,0,233,sysselsatte_kjonn_land,personer
2006,16,2,1,271,sysselsatte_kjonn_land,personer
2006,16,2,alle,504,sysselsatte_kjonn_land,personer
2006,16,alle,0,9161,sysselsatte_kjonn_land,personer
2006,16,alle,1,9727,sysselsatte_kjonn_land,personer
2006,16,alle,alle,18888,sysselsatte_kjonn_land,personer
2006,17,1,0,56,sysselsatte_kjonn_land,personer
2006,17,1,1,65,sysselsatte_kjonn_land,personer
2006,17,1,alle,121,sysselsatte_kjonn_land,personer
2006,17,2,0,47,sysselsatte_kjonn_land,personer
2006,17,2,1,35,sysselsatte_kjonn_land,personer
2006,17,2,alle,82,sysselsatte_kjonn_land,personer
2006,17,alle,0,3158,sysselsatte_kjonn_land,personer
2006,17,alle,1,3685,sysselsatte_kjonn_land,personer
2006,17,alle,alle,6843,sysselsatte_kjonn_land,personer
2006,18,1,0,63,sysselsatte_kjonn_land,personer
2006,18,1,1,77,sysselsatte_kjonn_land,personer
2006,18,1,alle,140,sysselsatte_kjonn_land,personer
2006,18,2,0,52,sysselsatte_kjonn_land,personer
2006,18,2,1,51,sysselsatte_kjonn_land,personer
2006,18,2,alle,103,sysselsatte_kjonn_land,personer
2006,18,alle,0,4680,sysselsatte_kjonn_land,personer
2006,18,alle,1,5440,sysselsatte_kjonn_land,personer
2006,18,alle,alle,10120,sysselsatte_kjonn_land,personer
2006,19,1,0,114,sysselsatte_kjonn_land,personer
2006,19,1,1,113,sysselsatte_kjonn_land,personer
2006,19,1,alle,227,sysselsatte_kjonn_land,personer
2006,19,2,0,78,sysselsatte_kjonn_land,personer
2006,19,2,1,77,sysselsatte_kjonn_land,personer
2006,19,2,alle,155,sysselsatte_kjonn_land,personer
2006,19,alle,0,4462,sysselsatte_kjonn_land,personer
2006,19,alle,1,5042,sysselsatte_kjonn_land,personer
2006,19,alle,alle,9504,sysselsatte_kjonn_land,personer
2006,20,1,0,1272,sysselsatte_kjonn_land,personer
2006,20,1,1,1740,sysselsatte_kjonn_land,personer
2006,20,1,alle,3012,sysselsatte_kjonn_land,personer
2006,20,2,0,2092,sysselsatte_kjonn_land,personer
2006,20,2,1,2505,sysselsatte_kjonn_land,personer
2006,20,2,alle,4597,sysselsatte_kjonn_land,personer
2006,20,alle,0,38623,sysselsatte_kjonn_land,personer
2006,20,alle,1,42621,sysselsatte_kjonn_land,personer
2006,20,alle,alle,81244,sysselsatte_kjonn_land,personer
2006,21,1,0,269,sysselsatte_kjonn_land,personer
2006,21,1,1,239,sysselsatte_kjonn_land,personer
2006,21,1,alle,508,sysselsatte_kjonn_land,personer
2006,21,2,0,154,sysselsatte_kjonn_land,personer
2006,21,2,1,166,sysselsatte_kjonn_land,personer
2006,21,2,alle,320,sysselsatte_kjonn_land,personer
2006,21,alle,0,5252,sysselsatte_kjonn_land,personer
2006,21,alle,1,5675,sysselsatte_kjonn_land,personer
2006,21,alle,alle,10927,sysselsatte_kjonn_land,personer
2006,22,1,0,260,sysselsatte_kjonn_land,personer
2006,22,1,1,274,sysselsatte_kjonn_land,personer
2006,22,1,alle,534,sysselsatte_kjonn_land,personer
2006,22,2,0,216,sysselsatte_kjonn_land,personer
2006,22,2,1,210,sysselsatte_kjonn_land,personer
2006,22,2,alle,426,sysselsatte_kjonn_land,personer
2006,22,alle,0,7531,sysselsatte_kjonn_land,personer
2006,22,alle,1,8584,sysselsatte_kjonn_land,personer
2006,22,alle,alle,16115,sysselsatte_kjonn_land,personer
2006,23,1,0,95,sysselsatte_kjonn_land,personer
2006,23,1,1,96,sysselsatte_kjonn_land,personer
2006,23,1,alle,191,sysselsatte_kjonn_land,personer
2006,23,2,0,71,sysselsatte_kjonn_land,personer
2006,23,2,1,84,sysselsatte_kjonn_land,personer
2006,23,2,alle,155,sysselsatte_kjonn_land,personer
2006,23,alle,0,4388,sysselsatte_kjonn_land,personer
2006,23,alle,1,5109,sysselsatte_kjonn_land,personer
2006,23,alle,alle,9497,sysselsatte_kjonn_land,personer
2006,24,1,0,237,sysselsatte_kjonn_land,personer
2006,24,1,1,277,sysselsatte_kjonn_land,personer
2006,24,1,alle,514,sysselsatte_kjonn_land,personer
2006,24,2,0,288,sysselsatte_kjonn_land,personer
2006,24,2,1,244,sysselsatte_kjonn_land,personer
2006,24,2,alle,532,sysselsatte_kjonn_land,personer
2006,24,alle,0,8200,sysselsatte_kjonn_land,personer
2006,24,alle,1,9046,sysselsatte_kjonn_land,personer
2006,24,alle,alle,17246,sysselsatte_kjonn_land,personer
2006,25,1,0,854,sysselsatte_kjonn_land,personer
2006,25,1,1,1070,sysselsatte_kjonn_land,personer
2006,25,1,alle,1924,sysselsatte_kjonn_land,personer
2006,25,2,0,984,sysselsatte_kjonn_land,personer
2006,25,2,1,949,sysselsatte_kjonn_land,personer
2006,25,2,alle,1933,sysselsatte_kjonn_land,personer
2006,25,alle,0,29296,sysselsatte_kjonn_land,personer
2006,25,alle,1,32256,sysselsatte_kjonn_land,personer
2006,25,alle,alle,61552,sysselsatte_kjonn_land,personer
2006,26,1,0,567,sysselsatte_kjonn_land,personer
2006,26,1,1,654,sysselsatte_kjonn_land,personer
2006,26,1,alle,1221,sysselsatte_kjonn_land,personer
