tabell_navn;aar;kommune_nr;botid_5;vreg_3;enhet;tabellvariabel
Befolkning_botid;2015;0231;5_9;alle;person;1858
Befolkning_botid;2015;0231;10+;alle;person;4911
Befolkning_botid;2015;0233;0_4;alle;person;809
Befolkning_botid;2015;0233;5_9;alle;person;574
Befolkning_botid;2015;0233;10+;alle;person;1306
Befolkning_botid;2015;0234;0_4;alle;person;337
Befolkning_botid;2015;0234;5_9;alle;person;203
Befolkning_botid;2015;0234;10+;alle;person;211
Befolkning_botid;2015;0235;0_4;alle;person;1942
Befolkning_botid;2015;0235;5_9;alle;person;1087
Befolkning_botid;2015;0235;10+;alle;person;2417
Befolkning_botid;2015;0236;0_4;alle;person;747
Befolkning_botid;2015;0236;5_9;alle;person;495
Befolkning_botid;2015;0236;10+;alle;person;724
Befolkning_botid;2015;0237;0_4;alle;person;873
Befolkning_botid;2015;0237;5_9;alle;person;653
Befolkning_botid;2015;0237;10+;alle;person;975
Befolkning_botid;2015;0238;0_4;alle;person;682
Befolkning_botid;2015;0238;5_9;alle;person;430
Befolkning_botid;2015;0238;10+;alle;person;586
Befolkning_botid;2015;0239;0_4;alle;person;99
Befolkning_botid;2015;0239;5_9;alle;person;53
Befolkning_botid;2015;0239;10+;alle;person;77
Befolkning_botid;2015;0301;0_4;alle;person;51414
Befolkning_botid;2015;0301;5_9;alle;person;29222
Befolkning_botid;2015;0301;10+;alle;person;78199
Befolkning_botid;2015;0402;0_4;alle;person;548
Befolkning_botid;2015;0402;5_9;alle;person;340
Befolkning_botid;2015;0402;10+;alle;person;888
Befolkning_botid;2015;0403;0_4;alle;person;1044
Befolkning_botid;2015;0403;5_9;alle;person;708
Befolkning_botid;2015;0403;10+;alle;person;1222
Befolkning_botid;2015;0412;0_4;alle;person;1104
Befolkning_botid;2015;0412;5_9;alle;person;627
Befolkning_botid;2015;0412;10+;alle;person;768
Befolkning_botid;2015;0415;0_4;alle;person;231
Befolkning_botid;2015;0415;5_9;alle;person;150
Befolkning_botid;2015;0415;10+;alle;person;153
Befolkning_botid;2015;0417;0_4;alle;person;683
Befolkning_botid;2015;0417;5_9;alle;person;349
Befolkning_botid;2015;0417;10+;alle;person;591
Befolkning_botid;2015;0418;0_4;alle;person;79
Befolkning_botid;2015;0418;5_9;alle;person;47
Befolkning_botid;2015;0418;10+;alle;person;71
Befolkning_botid;2015;0419;0_4;alle;person;165
Befolkning_botid;2015;0419;5_9;alle;person;118
Befolkning_botid;2015;0419;10+;alle;person;163
