tabell_navn;aar;fylke_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;01;264;alle;person;:;
befolkning_opprinnelsesland;2015;01;266;alle;person;:;
befolkning_opprinnelsesland;2015;01;270;alle;person;23;
befolkning_opprinnelsesland;2015;01;273;alle;person;17;
befolkning_opprinnelsesland;2015;01;276;alle;person;81;
befolkning_opprinnelsesland;2015;01;278;alle;person;10;
befolkning_opprinnelsesland;2015;01;279;alle;person;220;
befolkning_opprinnelsesland;2015;01;281;alle;person;.;
befolkning_opprinnelsesland;2015;01;283;alle;person;44;
befolkning_opprinnelsesland;2015;01;286;alle;person;24;
befolkning_opprinnelsesland;2015;01;289;alle;person;:;
befolkning_opprinnelsesland;2015;01;296;alle;person;:;
befolkning_opprinnelsesland;2015;01;299;alle;person;.;
befolkning_opprinnelsesland;2015;01;303;alle;person;203;
befolkning_opprinnelsesland;2015;01;304;alle;person;.;
befolkning_opprinnelsesland;2015;01;306;alle;person;:;
befolkning_opprinnelsesland;2015;01;307;alle;person;17;
befolkning_opprinnelsesland;2015;01;308;alle;person;6;
befolkning_opprinnelsesland;2015;01;309;alle;person;:;
befolkning_opprinnelsesland;2015;01;313;alle;person;78;
befolkning_opprinnelsesland;2015;01;319;alle;person;4;
befolkning_opprinnelsesland;2015;01;322;alle;person;.;
befolkning_opprinnelsesland;2015;01;323;alle;person;:;
befolkning_opprinnelsesland;2015;01;326;alle;person;10;
befolkning_opprinnelsesland;2015;01;329;alle;person;52;
befolkning_opprinnelsesland;2015;01;333;alle;person;.;
befolkning_opprinnelsesland;2015;01;336;alle;person;4;
befolkning_opprinnelsesland;2015;01;337;alle;person;.;
befolkning_opprinnelsesland;2015;01;338;alle;person;:;
befolkning_opprinnelsesland;2015;01;339;alle;person;15;
befolkning_opprinnelsesland;2015;01;346;alle;person;1925;
befolkning_opprinnelsesland;2015;01;355;alle;person;6;
befolkning_opprinnelsesland;2015;01;356;alle;person;64;
befolkning_opprinnelsesland;2015;01;357;alle;person;.;
befolkning_opprinnelsesland;2015;01;359;alle;person;39;
befolkning_opprinnelsesland;2015;01;369;alle;person;25;
befolkning_opprinnelsesland;2015;01;373;alle;person;.;
befolkning_opprinnelsesland;2015;01;376;alle;person;:;
befolkning_opprinnelsesland;2015;01;379;alle;person;51;
befolkning_opprinnelsesland;2015;01;386;alle;person;70;
befolkning_opprinnelsesland;2015;01;389;alle;person;11;
