tabell_navn;aar;bydel_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;01;389;alle;person;5;
befolkning_opprinnelsesland;2015;01;393;alle;person;.;
befolkning_opprinnelsesland;2015;01;404;alle;person;233;
befolkning_opprinnelsesland;2015;01;406;alle;person;10;
befolkning_opprinnelsesland;2015;01;407;alle;person;15;
befolkning_opprinnelsesland;2015;01;409;alle;person;.;
befolkning_opprinnelsesland;2015;01;410;alle;person;51;
befolkning_opprinnelsesland;2015;01;412;alle;person;:;
befolkning_opprinnelsesland;2015;01;416;alle;person;.;
befolkning_opprinnelsesland;2015;01;420;alle;person;11;
befolkning_opprinnelsesland;2015;01;424;alle;person;236;
befolkning_opprinnelsesland;2015;01;426;alle;person;4;
befolkning_opprinnelsesland;2015;01;428;alle;person;238;
befolkning_opprinnelsesland;2015;01;430;alle;person;11;
befolkning_opprinnelsesland;2015;01;432;alle;person;10;
befolkning_opprinnelsesland;2015;01;436;alle;person;26;
befolkning_opprinnelsesland;2015;01;444;alle;person;313;
befolkning_opprinnelsesland;2015;01;448;alle;person;23;
befolkning_opprinnelsesland;2015;01;452;alle;person;684;
befolkning_opprinnelsesland;2015;01;456;alle;person;393;
befolkning_opprinnelsesland;2015;01;460;alle;person;7;
befolkning_opprinnelsesland;2015;01;464;alle;person;11;
befolkning_opprinnelsesland;2015;01;476;alle;person;11;
befolkning_opprinnelsesland;2015;01;478;alle;person;9;
befolkning_opprinnelsesland;2015;01;480;alle;person;9;
befolkning_opprinnelsesland;2015;01;484;alle;person;234;
befolkning_opprinnelsesland;2015;01;488;alle;person;.;
befolkning_opprinnelsesland;2015;01;492;alle;person;20;
befolkning_opprinnelsesland;2015;01;496;alle;person;10;
befolkning_opprinnelsesland;2015;01;500;alle;person;:;
befolkning_opprinnelsesland;2015;01;502;alle;person;6;
befolkning_opprinnelsesland;2015;01;504;alle;person;:;
befolkning_opprinnelsesland;2015;01;508;alle;person;97;
befolkning_opprinnelsesland;2015;01;510;alle;person;.;
befolkning_opprinnelsesland;2015;01;512;alle;person;19;
befolkning_opprinnelsesland;2015;01;513;alle;person;.;
befolkning_opprinnelsesland;2015;01;516;alle;person;:;
befolkning_opprinnelsesland;2015;01;520;alle;person;:;
befolkning_opprinnelsesland;2015;01;524;alle;person;52;
befolkning_opprinnelsesland;2015;01;528;alle;person;111;
befolkning_opprinnelsesland;2015;01;534;alle;person;980;
befolkning_opprinnelsesland;2015;01;537;alle;person;.;
befolkning_opprinnelsesland;2015;01;540;alle;person;.;
befolkning_opprinnelsesland;2015;01;544;alle;person;12;
