kommune_nr,aar,enhet,tabell_navn,tilskudd_til_kommuner,tabellvariabel
0701,2015,kroner,tilskudd,barnehage_tilsk,97600
0702,2015,kroner,tilskudd,barnehage_tilsk,72200
0704,2015,kroner,tilskudd,barnehage_tilsk,218600
0706,2015,kroner,tilskudd,barnehage_tilsk,0
0709,2015,kroner,tilskudd,barnehage_tilsk,287800
0711,2015,kroner,tilskudd,barnehage_tilsk,0
0713,2015,kroner,tilskudd,barnehage_tilsk,122000
0714,2015,kroner,tilskudd,barnehage_tilsk,0
0716,2015,kroner,tilskudd,barnehage_tilsk,219600
0719,2015,kroner,tilskudd,barnehage_tilsk,0
0720,2015,kroner,tilskudd,barnehage_tilsk,73200
0722,2015,kroner,tilskudd,barnehage_tilsk,168800
0723,2015,kroner,tilskudd,barnehage_tilsk,24400
0728,2015,kroner,tilskudd,barnehage_tilsk,0
0805,2015,kroner,tilskudd,barnehage_tilsk,240000
0806,2015,kroner,tilskudd,barnehage_tilsk,366000
0807,2015,kroner,tilskudd,barnehage_tilsk,217600
0811,2015,kroner,tilskudd,barnehage_tilsk,24400
0814,2015,kroner,tilskudd,barnehage_tilsk,166800
0815,2015,kroner,tilskudd,barnehage_tilsk,122000
0817,2015,kroner,tilskudd,barnehage_tilsk,122000
0819,2015,kroner,tilskudd,barnehage_tilsk,23400
0821,2015,kroner,tilskudd,barnehage_tilsk,0
0822,2015,kroner,tilskudd,barnehage_tilsk,97600
0826,2015,kroner,tilskudd,barnehage_tilsk,122000
0827,2015,kroner,tilskudd,barnehage_tilsk,24400
0828,2015,kroner,tilskudd,barnehage_tilsk,73200
0829,2015,kroner,tilskudd,barnehage_tilsk,0
0830,2015,kroner,tilskudd,barnehage_tilsk,73200
0831,2015,kroner,tilskudd,barnehage_tilsk,73200
0833,2015,kroner,tilskudd,barnehage_tilsk,122000
0834,2015,kroner,tilskudd,barnehage_tilsk,0
0901,2015,kroner,tilskudd,barnehage_tilsk,24400
0904,2015,kroner,tilskudd,barnehage_tilsk,365000
0906,2015,kroner,tilskudd,barnehage_tilsk,244000
0911,2015,kroner,tilskudd,barnehage_tilsk,0
0912,2015,kroner,tilskudd,barnehage_tilsk,73200
0914,2015,kroner,tilskudd,barnehage_tilsk,0
0919,2015,kroner,tilskudd,barnehage_tilsk,0
0926,2015,kroner,tilskudd,barnehage_tilsk,72200
0928,2015,kroner,tilskudd,barnehage_tilsk,23400
0929,2015,kroner,tilskudd,barnehage_tilsk,48800
0935,2015,kroner,tilskudd,barnehage_tilsk,48800
0937,2015,kroner,tilskudd,barnehage_tilsk,118000
0938,2015,kroner,tilskudd,barnehage_tilsk,48800
0940,2015,kroner,tilskudd,barnehage_tilsk,48800
0941,2015,kroner,tilskudd,barnehage_tilsk,24400
1001,2015,kroner,tilskudd,barnehage_tilsk,432600
1002,2015,kroner,tilskudd,barnehage_tilsk,145400
1003,2015,kroner,tilskudd,barnehage_tilsk,24400
1004,2015,kroner,tilskudd,barnehage_tilsk,23400
1014,2015,kroner,tilskudd,barnehage_tilsk,145400
