tabell_navn;aar;naringsregion_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;01;101;alle;person;123;
befolkning_opprinnelsesland;2015;01;102;alle;person;:;
befolkning_opprinnelsesland;2015;01;103;alle;person;30;
befolkning_opprinnelsesland;2015;01;104;alle;person;:;
befolkning_opprinnelsesland;2015;01;105;alle;person;43;
befolkning_opprinnelsesland;2015;01;106;alle;person;358;
befolkning_opprinnelsesland;2015;01;111;alle;person;4;
befolkning_opprinnelsesland;2015;01;112;alle;person;11;
befolkning_opprinnelsesland;2015;01;113;alle;person;9;
befolkning_opprinnelsesland;2015;01;114;alle;person;.;
befolkning_opprinnelsesland;2015;01;115;alle;person;19;
befolkning_opprinnelsesland;2015;01;117;alle;person;30;
befolkning_opprinnelsesland;2015;01;118;alle;person;.;
befolkning_opprinnelsesland;2015;01;119;alle;person;6;
befolkning_opprinnelsesland;2015;01;120;alle;person;7;
befolkning_opprinnelsesland;2015;01;121;alle;person;6;
befolkning_opprinnelsesland;2015;01;122;alle;person;7;
befolkning_opprinnelsesland;2015;01;123;alle;person;6;
befolkning_opprinnelsesland;2015;01;124;alle;person;13;
befolkning_opprinnelsesland;2015;01;126;alle;person;.;
befolkning_opprinnelsesland;2015;01;127;alle;person;39;
befolkning_opprinnelsesland;2015;01;128;alle;person;.;
befolkning_opprinnelsesland;2015;01;129;alle;person;.;
befolkning_opprinnelsesland;2015;01;130;alle;person;.;
befolkning_opprinnelsesland;2015;01;131;alle;person;356;
befolkning_opprinnelsesland;2015;01;132;alle;person;:;
befolkning_opprinnelsesland;2015;01;133;alle;person;25;
befolkning_opprinnelsesland;2015;01;134;alle;person;.;
befolkning_opprinnelsesland;2015;01;136;alle;person;114;
befolkning_opprinnelsesland;2015;01;137;alle;person;23;
befolkning_opprinnelsesland;2015;01;138;alle;person;.;
befolkning_opprinnelsesland;2015;01;139;alle;person;43;
befolkning_opprinnelsesland;2015;01;140;alle;person;64;
befolkning_opprinnelsesland;2015;01;141;alle;person;10;
befolkning_opprinnelsesland;2015;01;143;alle;person;38;
befolkning_opprinnelsesland;2015;01;144;alle;person;100;
befolkning_opprinnelsesland;2015;01;146;alle;person;:;
befolkning_opprinnelsesland;2015;01;148;alle;person;15;
befolkning_opprinnelsesland;2015;01;152;alle;person;26;
befolkning_opprinnelsesland;2015;01;153;alle;person;8;
befolkning_opprinnelsesland;2015;01;154;alle;person;.;
befolkning_opprinnelsesland;2015;01;155;alle;person;73;
befolkning_opprinnelsesland;2015;01;156;alle;person;40;
befolkning_opprinnelsesland;2015;01;157;alle;person;11;
befolkning_opprinnelsesland;2015;01;158;alle;person;13;
befolkning_opprinnelsesland;2015;01;159;alle;person;13;
befolkning_opprinnelsesland;2015;01;160;alle;person;4;
befolkning_opprinnelsesland;2015;01;161;alle;person;342;
befolkning_opprinnelsesland;2015;01;162;alle;person;.;
befolkning_opprinnelsesland;2015;01;163;alle;person;.;
befolkning_opprinnelsesland;2015;01;164;alle;person;.;
befolkning_opprinnelsesland;2015;01;203;alle;person;:;
befolkning_opprinnelsesland;2015;01;204;alle;person;:;
befolkning_opprinnelsesland;2015;01;205;alle;person;.;
befolkning_opprinnelsesland;2015;01;209;alle;person;.;
befolkning_opprinnelsesland;2015;01;213;alle;person;.;
befolkning_opprinnelsesland;2015;01;216;alle;person;12;
befolkning_opprinnelsesland;2015;01;220;alle;person;.;
befolkning_opprinnelsesland;2015;01;229;alle;person;.;
befolkning_opprinnelsesland;2015;01;235;alle;person;.;
befolkning_opprinnelsesland;2015;01;239;alle;person;:;
befolkning_opprinnelsesland;2015;01;241;alle;person;19;
befolkning_opprinnelsesland;2015;01;246;alle;person;9;
befolkning_opprinnelsesland;2015;01;249;alle;person;:;
