tabell_navn;aar;fylke_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;19;1;1;person;4406;
befolkning_verdensregion;2015;19;2;1;person;3427;
befolkning_verdensregion;2015;19;1;0;person;3446;
befolkning_verdensregion;2015;19;2;0;person;3803;
befolkning_verdensregion;2015;20;1;alle;person;4797;
befolkning_verdensregion;2015;20;2;alle;person;4193;
befolkning_verdensregion;2015;20;1;1;person;2745;
befolkning_verdensregion;2015;20;2;1;person;1812;
befolkning_verdensregion;2015;20;1;0;person;2052;
befolkning_verdensregion;2015;20;2;0;person;2381;
