tabell_navn;aar;bydel_id;vreg_9;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;12;vest_europa;alle;person;554;
befolkning_verdensregion;2015;12;eu_ost_europa;alle;person;1860;
befolkning_verdensregion;2015;12;ost_europa_ellers;alle;person;1628;
befolkning_verdensregion;2015;12;nord_amerika_oseania;alle;person;68;
befolkning_verdensregion;2015;12;asia;alle;person;8762;
befolkning_verdensregion;2015;12;afrika;alle;person;2787;
befolkning_verdensregion;2015;12;sor_og_mellom_amerika;alle;person;484;
befolkning_verdensregion;2015;12;alle;alle;person;16698;
befolkning_verdensregion;2015;13;norden;alle;person;769;
befolkning_verdensregion;2015;13;vest_europa;alle;person;527;
befolkning_verdensregion;2015;13;eu_ost_europa;alle;person;1445;
befolkning_verdensregion;2015;13;ost_europa_ellers;alle;person;1009;
befolkning_verdensregion;2015;13;nord_amerika_oseania;alle;person;111;
befolkning_verdensregion;2015;13;asia;alle;person;3172;
befolkning_verdensregion;2015;13;afrika;alle;person;1312;
befolkning_verdensregion;2015;13;sor_og_mellom_amerika;alle;person;278;
befolkning_verdensregion;2015;13;alle;alle;person;8623;
befolkning_verdensregion;2015;14;norden;alle;person;1078;
befolkning_verdensregion;2015;14;vest_europa;alle;person;784;
befolkning_verdensregion;2015;14;eu_ost_europa;alle;person;1515;
befolkning_verdensregion;2015;14;ost_europa_ellers;alle;person;500;
befolkning_verdensregion;2015;14;nord_amerika_oseania;alle;person;165;
befolkning_verdensregion;2015;14;asia;alle;person;1637;
befolkning_verdensregion;2015;14;afrika;alle;person;741;
befolkning_verdensregion;2015;14;sor_og_mellom_amerika;alle;person;265;
befolkning_verdensregion;2015;14;alle;alle;person;6685;
befolkning_verdensregion;2015;15;norden;alle;person;510;
befolkning_verdensregion;2015;15;vest_europa;alle;person;592;
befolkning_verdensregion;2015;15;eu_ost_europa;alle;person;1759;
befolkning_verdensregion;2015;15;ost_europa_ellers;alle;person;882;
befolkning_verdensregion;2015;15;nord_amerika_oseania;alle;person;111;
befolkning_verdensregion;2015;15;asia;alle;person;6725;
befolkning_verdensregion;2015;15;afrika;alle;person;2104;
befolkning_verdensregion;2015;15;sor_og_mellom_amerika;alle;person;293;
befolkning_verdensregion;2015;15;alle;alle;person;12976;
befolkning_verdensregion;2015;16;norden;alle;person;172;
befolkning_verdensregion;2015;16;vest_europa;alle;person;71;
befolkning_verdensregion;2015;16;eu_ost_europa;alle;person;90;
befolkning_verdensregion;2015;16;ost_europa_ellers;alle;person;38;
befolkning_verdensregion;2015;16;nord_amerika_oseania;alle;person;7;
befolkning_verdensregion;2015;16;asia;alle;person;128;
befolkning_verdensregion;2015;16;afrika;alle;person;53;
befolkning_verdensregion;2015;16;sor_og_mellom_amerika;alle;person;19;
befolkning_verdensregion;2015;16;alle;alle;person;578;
befolkning_verdensregion;2015;17;norden;alle;person;47;
befolkning_verdensregion;2015;17;vest_europa;alle;person;28;
befolkning_verdensregion;2015;17;eu_ost_europa;alle;person;47;
befolkning_verdensregion;2015;17;ost_europa_ellers;alle;person;7;
befolkning_verdensregion;2015;17;nord_amerika_oseania;alle;person;7;
befolkning_verdensregion;2015;17;asia;alle;person;23;
befolkning_verdensregion;2015;17;afrika;alle;person;0;
befolkning_verdensregion;2015;17;sor_og_mellom_amerika;alle;person;3;
befolkning_verdensregion;2015;17;alle;alle;person;162;
befolkning_verdensregion;2015;99;norden;alle;person;294;
befolkning_verdensregion;2015;99;vest_europa;alle;person;345;
befolkning_verdensregion;2015;99;eu_ost_europa;alle;person;931;
befolkning_verdensregion;2015;99;ost_europa_ellers;alle;person;91;
befolkning_verdensregion;2015;99;nord_amerika_oseania;alle;person;31;
befolkning_verdensregion;2015;99;asia;alle;person;602;
befolkning_verdensregion;2015;99;afrika;alle;person;600;
befolkning_verdensregion;2015;99;sor_og_mellom_amerika;alle;person;86;
befolkning_verdensregion;2015;99;alle;alle;person;2980;
