tabell_navn;aar;naringsregion_nr;vreg_3;botid_5;enhet;tabellvariabel
Befolkning_botid;2015;06; ;10+;person;8118
Befolkning_botid;2015;07; ;0_4;person;7799
Befolkning_botid;2015;07; ;5_9;person;5571
Befolkning_botid;2015;07; ;10+;person;13028
Befolkning_botid;2015;08; ;0_4;person;4680
Befolkning_botid;2015;08; ;5_9;person;2921
Befolkning_botid;2015;08; ;10+;person;4990
Befolkning_botid;2015;09; ;0_4;person;51414
Befolkning_botid;2015;09; ;5_9;person;29222
Befolkning_botid;2015;09; ;10+;person;78199
Befolkning_botid;2015;10; ;0_4;person;556
Befolkning_botid;2015;10; ;5_9;person;298
Befolkning_botid;2015;10; ;10+;person;314
Befolkning_botid;2015;11; ;0_4;person;1396
Befolkning_botid;2015;11; ;5_9;person;798
Befolkning_botid;2015;11; ;10+;person;1716
Befolkning_botid;2015;12; ;0_4;person;3062
Befolkning_botid;2015;12; ;5_9;person;1834
Befolkning_botid;2015;12; ;10+;person;2734
Befolkning_botid;2015;13; ;0_4;person;1357
Befolkning_botid;2015;13; ;5_9;person;639
Befolkning_botid;2015;13; ;10+;person;1076
Befolkning_botid;2015;14; ;0_4;person;2552
Befolkning_botid;2015;14; ;5_9;person;1333
Befolkning_botid;2015;14; ;10+;person;2143
Befolkning_botid;2015;15; ;0_4;person;1083
Befolkning_botid;2015;15; ;5_9;person;564
Befolkning_botid;2015;15; ;10+;person;746
Befolkning_botid;2015;16; ;0_4;person;1298
Befolkning_botid;2015;16; ;5_9;person;902
Befolkning_botid;2015;16; ;10+;person;1310
Befolkning_botid;2015;17; ;0_4;person;448
Befolkning_botid;2015;17; ;5_9;person;293
Befolkning_botid;2015;17; ;10+;person;215
Befolkning_botid;2015;18; ;0_4;person;664
Befolkning_botid;2015;18; ;5_9;person;276
Befolkning_botid;2015;18; ;10+;person;212
Befolkning_botid;2015;19; ;0_4;person;819
Befolkning_botid;2015;19; ;5_9;person;411
Befolkning_botid;2015;19; ;10+;person;363
Befolkning_botid;2015;20; ;0_4;person;9203
Befolkning_botid;2015;20; ;5_9;person;6292
Befolkning_botid;2015;20; ;10+;person;12850
Befolkning_botid;2015;21; ;0_4;person;1246
Befolkning_botid;2015;21; ;5_9;person;694
Befolkning_botid;2015;21; ;10+;person;673
Befolkning_botid;2015;22; ;0_4;person;1886
Befolkning_botid;2015;22; ;5_9;person;942
Befolkning_botid;2015;22; ;10+;person;1298
Befolkning_botid;2015;23; ;0_4;person;647
Befolkning_botid;2015;23; ;5_9;person;524
Befolkning_botid;2015;23; ;10+;person;462
Befolkning_botid;2015;24; ;0_4;person;1419
Befolkning_botid;2015;24; ;5_9;person;1051
Befolkning_botid;2015;24; ;10+;person;1539
Befolkning_botid;2015;25; ;0_4;person;5156
Befolkning_botid;2015;25; ;5_9;person;3351
Befolkning_botid;2015;25; ;10+;person;5778
Befolkning_botid;2015;26; ;0_4;person;3278
Befolkning_botid;2015;26; ;5_9;person;2493
Befolkning_botid;2015;26; ;10+;person;4633
Befolkning_botid;2015;27; ;0_4;person;3924
Befolkning_botid;2015;27; ;5_9;person;2864
Befolkning_botid;2015;27; ;10+;person;5457
Befolkning_botid;2015;28; ;0_4;person;834
Befolkning_botid;2015;28; ;5_9;person;376
Befolkning_botid;2015;28; ;10+;person;505
Befolkning_botid;2015;29; ;0_4;person;805
Befolkning_botid;2015;29; ;5_9;person;383
Befolkning_botid;2015;29; ;10+;person;631
Befolkning_botid;2015;30; ;0_4;person;432
Befolkning_botid;2015;30; ;5_9;person;303
Befolkning_botid;2015;30; ;10+;person;346
Befolkning_botid;2015;31; ;0_4;person;239
Befolkning_botid;2015;31; ;5_9;person;248
Befolkning_botid;2015;31; ;10+;person;235
Befolkning_botid;2015;32; ;0_4;person;3598
Befolkning_botid;2015;32; ;5_9;person;2478
Befolkning_botid;2015;32; ;10+;person;3428
Befolkning_botid;2015;33; ;0_4;person;1382
Befolkning_botid;2015;33; ;5_9;person;867
Befolkning_botid;2015;33; ;10+;person;1217
Befolkning_botid;2015;34; ;0_4;person;925
Befolkning_botid;2015;34; ;5_9;person;708
Befolkning_botid;2015;34; ;10+;person;773
Befolkning_botid;2015;35; ;0_4;person;5210
Befolkning_botid;2015;35; ;5_9;person;3726
Befolkning_botid;2015;35; ;10+;person;7448
Befolkning_botid;2015;36; ;0_4;person;1031
Befolkning_botid;2015;36; ;5_9;person;690
Befolkning_botid;2015;36; ;10+;person;619
Befolkning_botid;2015;37; ;0_4;person;4884
Befolkning_botid;2015;37; ;5_9;person;3133
Befolkning_botid;2015;37; ;10+;person;3100
Befolkning_botid;2015;38; ;0_4;person;1182
Befolkning_botid;2015;38; ;5_9;person;675
Befolkning_botid;2015;38; ;10+;person;598
Befolkning_botid;2015;39; ;0_4;person;22239
Befolkning_botid;2015;39; ;5_9;person;12518
Befolkning_botid;2015;39; ;10+;person;15720
Befolkning_botid;2015;40; ;0_4;person;16685
Befolkning_botid;2015;40; ;5_9;person;8671
Befolkning_botid;2015;40; ;10+;person;12885
Befolkning_botid;2015;41; ;0_4;person;1040
Befolkning_botid;2015;41; ;5_9;person;689
Befolkning_botid;2015;41; ;10+;person;583
Befolkning_botid;2015;42; ;0_4;person;1109
Befolkning_botid;2015;42; ;5_9;person;620
Befolkning_botid;2015;42; ;10+;person;472
Befolkning_botid;2015;43; ;0_4;person;522
Befolkning_botid;2015;43; ;5_9;person;239
Befolkning_botid;2015;43; ;10+;person;254
Befolkning_botid;2015;44; ;0_4;person;1268
Befolkning_botid;2015;44; ;5_9;person;947
Befolkning_botid;2015;44; ;10+;person;511
Befolkning_botid;2015;45; ;0_4;person;384
Befolkning_botid;2015;45; ;5_9;person;370
Befolkning_botid;2015;45; ;10+;person;188
Befolkning_botid;2015;46; ;0_4;person;2809
Befolkning_botid;2015;46; ;5_9;person;1638
Befolkning_botid;2015;46; ;10+;person;1336
Befolkning_botid;2015;47; ;0_4;person;2319
Befolkning_botid;2015;47; ;5_9;person;1582
Befolkning_botid;2015;47; ;10+;person;1522
Befolkning_botid;2015;48; ;0_4;person;530
Befolkning_botid;2015;48; ;5_9;person;206
Befolkning_botid;2015;48; ;10+;person;180
Befolkning_botid;2015;49; ;0_4;person;1668
Befolkning_botid;2015;49; ;5_9;person;844
Befolkning_botid;2015;49; ;10+;person;809
Befolkning_botid;2015;50; ;0_4;person;1429
Befolkning_botid;2015;50; ;5_9;person;627
Befolkning_botid;2015;50; ;10+;person;691
Befolkning_botid;2015;51; ;0_4;person;1554
Befolkning_botid;2015;51; ;5_9;person;718
Befolkning_botid;2015;51; ;10+;person;738
Befolkning_botid;2015;52; ;0_4;person;2673
Befolkning_botid;2015;52; ;5_9;person;1421
Befolkning_botid;2015;52; ;10+;person;1177
Befolkning_botid;2015;53; ;0_4;person;2798
Befolkning_botid;2015;53; ;5_9;person;1459
Befolkning_botid;2015;53; ;10+;person;1266
Befolkning_botid;2015;54; ;0_4;person;934
Befolkning_botid;2015;54; ;5_9;person;656
Befolkning_botid;2015;54; ;10+;person;516
Befolkning_botid;2015;55; ;0_4;person;2738
Befolkning_botid;2015;55; ;5_9;person;1236
Befolkning_botid;2015;55; ;10+;person;1057
Befolkning_botid;2015;56; ;0_4;person;4571
Befolkning_botid;2015;56; ;5_9;person;2141
Befolkning_botid;2015;56; ;10+;person;2121
Befolkning_botid;2015;57; ;0_4;person;783
Befolkning_botid;2015;57; ;5_9;person;373
Befolkning_botid;2015;57; ;10+;person;290
Befolkning_botid;2015;58; ;0_4;person;896
Befolkning_botid;2015;58; ;5_9;person;568
Befolkning_botid;2015;58; ;10+;person;163
Befolkning_botid;2015;59; ;0_4;person;312
Befolkning_botid;2015;59; ;5_9;person;162
Befolkning_botid;2015;59; ;10+;person;131
Befolkning_botid;2015;60; ;0_4;person;589
Befolkning_botid;2015;60; ;5_9;person;395
Befolkning_botid;2015;60; ;10+;person;403
Befolkning_botid;2015;61; ;0_4;person;10736
Befolkning_botid;2015;61; ;5_9;person;5616
Befolkning_botid;2015;61; ;10+;person;8344
Befolkning_botid;2015;62; ;0_4;person;196
Befolkning_botid;2015;62; ;5_9;person;103
Befolkning_botid;2015;62; ;10+;person;184
Befolkning_botid;2015;63; ;0_4;person;900
Befolkning_botid;2015;63; ;5_9;person;435
Befolkning_botid;2015;63; ;10+;person;587
