"naringsregion_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"52","bosatt","prosent","68.4210526315789","bosatt_anmodede","2014"
"53","bosatt","prosent","83.8709677419355","bosatt_anmodede","2014"
"54","bosatt","prosent","15","bosatt_anmodede","2014"
"55","bosatt","prosent","58","bosatt_anmodede","2014"
"56","bosatt","prosent","52.7777777777778","bosatt_anmodede","2014"
"57","bosatt","prosent","51.1111111111111","bosatt_anmodede","2014"
"58","bosatt","prosent","33.3333333333333","bosatt_anmodede","2014"
"59","bosatt","prosent","70","bosatt_anmodede","2014"
"60","bosatt","prosent","54.2857142857143","bosatt_anmodede","2014"
"61","bosatt","prosent","85.1764705882353","bosatt_anmodede","2014"
"62","bosatt","prosent","71.4285714285714","bosatt_anmodede","2014"
"63","bosatt","prosent","104.285714285714","bosatt_anmodede","2014"
"64","bosatt","prosent","90.3225806451613","bosatt_anmodede","2014"
"65","bosatt","prosent","61.5384615384615","bosatt_anmodede","2014"
"66","bosatt","prosent","75.5555555555556","bosatt_anmodede","2014"
"67","bosatt","prosent","62.5","bosatt_anmodede","2014"
"68","bosatt","prosent","53.75","bosatt_anmodede","2014"
"69","bosatt","prosent","65.3333333333333","bosatt_anmodede","2014"
"70","bosatt","prosent","0","bosatt_anmodede","2014"
"71","bosatt","prosent","56.6666666666667","bosatt_anmodede","2014"
"72","bosatt","prosent","66.25","bosatt_anmodede","2014"
"73","bosatt","prosent","81.3953488372093","bosatt_anmodede","2014"
"74","bosatt","prosent","64","bosatt_anmodede","2014"
"75","bosatt","prosent","65.3846153846154","bosatt_anmodede","2014"
"76","bosatt","prosent","70.3703703703704","bosatt_anmodede","2014"
"77","bosatt","prosent","72.6666666666667","bosatt_anmodede","2014"
"78","bosatt","prosent","71.0344827586207","bosatt_anmodede","2014"
"79","bosatt","prosent","74.6666666666667","bosatt_anmodede","2014"
"80","bosatt","prosent","21.25","bosatt_anmodede","2014"
"81","bosatt","prosent","63.7037037037037","bosatt_anmodede","2014"
"82","bosatt","prosent","30","bosatt_anmodede","2014"
"83","bosatt","prosent","69","bosatt_anmodede","2014"
"99","bosatt","prosent","Inf","bosatt_anmodede","2014"
