"naringsregion_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"34","anmodning","personer","100","bosatt_anmodede","2014"
"35","anmodning","personer","380","bosatt_anmodede","2014"
"36","anmodning","personer","80","bosatt_anmodede","2014"
"37","anmodning","personer","216","bosatt_anmodede","2014"
"38","anmodning","personer","98","bosatt_anmodede","2014"
"39","anmodning","personer","428","bosatt_anmodede","2014"
"40","anmodning","personer","350","bosatt_anmodede","2014"
"41","anmodning","personer","50","bosatt_anmodede","2014"
"42","anmodning","personer","100","bosatt_anmodede","2014"
"43","anmodning","personer","30","bosatt_anmodede","2014"
"44","anmodning","personer","103","bosatt_anmodede","2014"
"45","anmodning","personer","38","bosatt_anmodede","2014"
"46","anmodning","personer","150","bosatt_anmodede","2014"
"47","anmodning","personer","115","bosatt_anmodede","2014"
"48","anmodning","personer","48","bosatt_anmodede","2014"
"49","anmodning","personer","118","bosatt_anmodede","2014"
"50","anmodning","personer","135","bosatt_anmodede","2014"
"51","anmodning","personer","105","bosatt_anmodede","2014"
"52","anmodning","personer","190","bosatt_anmodede","2014"
"53","anmodning","personer","155","bosatt_anmodede","2014"
"54","anmodning","personer","60","bosatt_anmodede","2014"
"55","anmodning","personer","150","bosatt_anmodede","2014"
"56","anmodning","personer","180","bosatt_anmodede","2014"
"57","anmodning","personer","90","bosatt_anmodede","2014"
"58","anmodning","personer","30","bosatt_anmodede","2014"
"59","anmodning","personer","30","bosatt_anmodede","2014"
"60","anmodning","personer","70","bosatt_anmodede","2014"
"61","anmodning","personer","425","bosatt_anmodede","2014"
"62","anmodning","personer","35","bosatt_anmodede","2014"
"63","anmodning","personer","70","bosatt_anmodede","2014"
"64","anmodning","personer","155","bosatt_anmodede","2014"
"65","anmodning","personer","65","bosatt_anmodede","2014"
"66","anmodning","personer","45","bosatt_anmodede","2014"
"67","anmodning","personer","80","bosatt_anmodede","2014"
"68","anmodning","personer","80","bosatt_anmodede","2014"
"69","anmodning","personer","75","bosatt_anmodede","2014"
"70","anmodning","personer","40","bosatt_anmodede","2014"
"71","anmodning","personer","60","bosatt_anmodede","2014"
"72","anmodning","personer","80","bosatt_anmodede","2014"
"73","anmodning","personer","215","bosatt_anmodede","2014"
"74","anmodning","personer","100","bosatt_anmodede","2014"
"75","anmodning","personer","130","bosatt_anmodede","2014"
"76","anmodning","personer","135","bosatt_anmodede","2014"
"77","anmodning","personer","150","bosatt_anmodede","2014"
"78","anmodning","personer","145","bosatt_anmodede","2014"
"79","anmodning","personer","150","bosatt_anmodede","2014"
"80","anmodning","personer","80","bosatt_anmodede","2014"
"81","anmodning","personer","135","bosatt_anmodede","2014"
"82","anmodning","personer","90","bosatt_anmodede","2014"
"83","anmodning","personer","200","bosatt_anmodede","2014"
"99","anmodning","personer","0","bosatt_anmodede","2014"
"01","vedtak","personer","21","bosatt_anmodede","2014"
"02","vedtak","personer","50","bosatt_anmodede","2014"
"03","vedtak","personer","45","bosatt_anmodede","2014"
"04","vedtak","personer","149","bosatt_anmodede","2014"
"05","vedtak","personer","205","bosatt_anmodede","2014"
"06","vedtak","personer","159","bosatt_anmodede","2014"
"07","vedtak","personer","180","bosatt_anmodede","2014"
"08","vedtak","personer","92","bosatt_anmodede","2014"
"09","vedtak","personer","500","bosatt_anmodede","2014"
"10","vedtak","personer","54","bosatt_anmodede","2014"
"11","vedtak","personer","52","bosatt_anmodede","2014"
"12","vedtak","personer","113","bosatt_anmodede","2014"
"13","vedtak","personer","68","bosatt_anmodede","2014"
"14","vedtak","personer","120","bosatt_anmodede","2014"
"15","vedtak","personer","90","bosatt_anmodede","2014"
"16","vedtak","personer","75","bosatt_anmodede","2014"
"17","vedtak","personer","30","bosatt_anmodede","2014"
"18","vedtak","personer","47","bosatt_anmodede","2014"
"19","vedtak","personer","38","bosatt_anmodede","2014"
"20","vedtak","personer","248","bosatt_anmodede","2014"
"21","vedtak","personer","52","bosatt_anmodede","2014"
"22","vedtak","personer","51","bosatt_anmodede","2014"
"23","vedtak","personer","26","bosatt_anmodede","2014"
"24","vedtak","personer","60","bosatt_anmodede","2014"
"25","vedtak","personer","163","bosatt_anmodede","2014"
"26","vedtak","personer","115","bosatt_anmodede","2014"
"27","vedtak","personer","213","bosatt_anmodede","2014"
"28","vedtak","personer","48","bosatt_anmodede","2014"
"29","vedtak","personer","69","bosatt_anmodede","2014"
