"aar","bydel_nr","vreg_2","kjonn","enhet","tabellvariabel","tabell_navn","vreg_5","vreg_9","fylke_nr","naringsregion_nr","kommune_nr"
"2014","030102","NULL","alle","personer","2579","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030102","NULL","alle","personer","1101","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030102","NULL","alle","personer","303","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030102","NULL","alle","personer","4010","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030102","NULL","alle","personer","2278","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030102","NULL","alle","personer","658","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030103","1","0","personer","1491","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030103","1","1","personer","1842","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030103","1","alle","personer","3333","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030103","2","0","personer","2203","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030103","2","1","personer","2357","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030103","2","alle","personer","4560","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","3799","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","1808","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","1759","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","144","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","382","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","1283","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","781","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","1127","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","608","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","144","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","1808","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","1759","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030103","NULL","alle","personer","382","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030104","1","0","personer","2053","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030104","1","1","personer","2652","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030104","1","alle","personer","4705","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030104","2","0","personer","1660","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030104","2","1","personer","2020","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030104","2","alle","personer","3680","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","5025","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","1708","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","1022","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","233","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","397","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","2017","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","1095","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","1355","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","558","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
