tabell_navn;aar;fylke_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;00;386;alle;person;1052;
befolkning_opprinnelsesland;2015;00;389;alle;person;353;
befolkning_opprinnelsesland;2015;00;393;alle;person;32;
befolkning_opprinnelsesland;2015;00;404;alle;person;13440;
befolkning_opprinnelsesland;2015;00;406;alle;person;316;
befolkning_opprinnelsesland;2015;00;407;alle;person;507;
befolkning_opprinnelsesland;2015;00;409;alle;person;14;
befolkning_opprinnelsesland;2015;00;410;alle;person;860;
befolkning_opprinnelsesland;2015;00;412;alle;person;360;
befolkning_opprinnelsesland;2015;00;416;alle;person;14;
befolkning_opprinnelsesland;2015;00;420;alle;person;3402;
befolkning_opprinnelsesland;2015;00;424;alle;person;9111;
befolkning_opprinnelsesland;2015;00;426;alle;person;255;
befolkning_opprinnelsesland;2015;00;428;alle;person;19076;
befolkning_opprinnelsesland;2015;00;430;alle;person;317;
befolkning_opprinnelsesland;2015;00;432;alle;person;238;
befolkning_opprinnelsesland;2015;00;436;alle;person;680;
befolkning_opprinnelsesland;2015;00;444;alle;person;10506;
befolkning_opprinnelsesland;2015;00;448;alle;person;1278;
befolkning_opprinnelsesland;2015;00;452;alle;person;21965;
befolkning_opprinnelsesland;2015;00;456;alle;person;16608;
befolkning_opprinnelsesland;2015;00;460;alle;person;642;
befolkning_opprinnelsesland;2015;00;464;alle;person;912;
befolkning_opprinnelsesland;2015;00;476;alle;person;391;
befolkning_opprinnelsesland;2015;00;478;alle;person;423;
befolkning_opprinnelsesland;2015;00;480;alle;person;899;
befolkning_opprinnelsesland;2015;00;484;alle;person;8252;
befolkning_opprinnelsesland;2015;00;488;alle;person;28;
befolkning_opprinnelsesland;2015;00;492;alle;person;1037;
befolkning_opprinnelsesland;2015;00;496;alle;person;355;
befolkning_opprinnelsesland;2015;00;500;alle;person;163;
befolkning_opprinnelsesland;2015;00;502;alle;person;185;
befolkning_opprinnelsesland;2015;00;504;alle;person;99;
befolkning_opprinnelsesland;2015;00;508;alle;person;1805;
befolkning_opprinnelsesland;2015;00;510;alle;person;80;
befolkning_opprinnelsesland;2015;00;512;alle;person;652;
befolkning_opprinnelsesland;2015;00;513;alle;person;5;
befolkning_opprinnelsesland;2015;00;516;alle;person;129;
befolkning_opprinnelsesland;2015;00;520;alle;person;29;
befolkning_opprinnelsesland;2015;00;524;alle;person;3337;
