tabell_navn;aar;naringsregion_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;01;1;alle;person;1467;
befolkning_verdensregion;2015;01;2;alle;person;1629;
befolkning_verdensregion;2015;01;1;1;person;783;
befolkning_verdensregion;2015;01;2;1;person;758;
befolkning_verdensregion;2015;01;1;0;person;684;
befolkning_verdensregion;2015;01;2;0;person;871;
befolkning_verdensregion;2015;02;1;alle;person;3789;
befolkning_verdensregion;2015;02;2;alle;person;3476;
befolkning_verdensregion;2015;02;1;1;person;2188;
befolkning_verdensregion;2015;02;2;1;person;1629;
befolkning_verdensregion;2015;02;1;0;person;1601;
befolkning_verdensregion;2015;02;2;0;person;1847;
befolkning_verdensregion;2015;03;1;alle;person;3752;
befolkning_verdensregion;2015;03;2;alle;person;3879;
befolkning_verdensregion;2015;03;1;1;person;2189;
befolkning_verdensregion;2015;03;2;1;person;1807;
befolkning_verdensregion;2015;03;1;0;person;1563;
befolkning_verdensregion;2015;03;2;0;person;2072;
befolkning_verdensregion;2015;04;1;alle;person;6707;
befolkning_verdensregion;2015;04;2;alle;person;10328;
befolkning_verdensregion;2015;04;1;1;person;3843;
befolkning_verdensregion;2015;04;2;1;person;4976;
befolkning_verdensregion;2015;04;1;0;person;2864;
befolkning_verdensregion;2015;04;2;0;person;5352;
befolkning_verdensregion;2015;05;1;alle;person;15759;
befolkning_verdensregion;2015;05;2;alle;person;13617;
befolkning_verdensregion;2015;05;1;1;person;8684;
befolkning_verdensregion;2015;05;2;1;person;6129;
befolkning_verdensregion;2015;05;1;0;person;7075;
befolkning_verdensregion;2015;05;2;0;person;7488;
befolkning_verdensregion;2015;06;1;alle;person;9176;
befolkning_verdensregion;2015;06;2;alle;person;7970;
befolkning_verdensregion;2015;06;1;1;person;5116;
befolkning_verdensregion;2015;06;2;1;person;3741;
befolkning_verdensregion;2015;06;1;0;person;4060;
befolkning_verdensregion;2015;06;2;0;person;4229;
befolkning_verdensregion;2015;07;1;alle;person;11829;
befolkning_verdensregion;2015;07;2;alle;person;14569;
befolkning_verdensregion;2015;07;1;1;person;7160;
befolkning_verdensregion;2015;07;2;1;person;6878;
befolkning_verdensregion;2015;07;1;0;person;4669;
befolkning_verdensregion;2015;07;2;0;person;7691;
befolkning_verdensregion;2015;08;1;alle;person;7045;
befolkning_verdensregion;2015;08;2;alle;person;5546;
befolkning_verdensregion;2015;08;1;1;person;4182;
