tabell_navn;aar;kommune_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;0138;1;1;person;279;
befolkning_verdensregion;2015;0138;2;1;person;113;
befolkning_verdensregion;2015;0138;1;0;person;198;
befolkning_verdensregion;2015;0138;2;0;person;139;
befolkning_verdensregion;2015;0211;1;alle;person;1052;
befolkning_verdensregion;2015;0211;2;alle;person;931;
befolkning_verdensregion;2015;0211;1;1;person;625;
befolkning_verdensregion;2015;0211;2;1;person;422;
befolkning_verdensregion;2015;0211;1;0;person;427;
befolkning_verdensregion;2015;0211;2;0;person;509;
befolkning_verdensregion;2015;0213;1;alle;person;1758;
befolkning_verdensregion;2015;0213;2;alle;person;2069;
befolkning_verdensregion;2015;0213;1;1;person;996;
befolkning_verdensregion;2015;0213;2;1;person;992;
befolkning_verdensregion;2015;0213;1;0;person;762;
befolkning_verdensregion;2015;0213;2;0;person;1077;
befolkning_verdensregion;2015;0214;1;alle;person;1623;
befolkning_verdensregion;2015;0214;2;alle;person;1595;
befolkning_verdensregion;2015;0214;1;1;person;937;
befolkning_verdensregion;2015;0214;2;1;person;821;
befolkning_verdensregion;2015;0214;1;0;person;686;
befolkning_verdensregion;2015;0214;2;0;person;774;
befolkning_verdensregion;2015;0215;1;alle;person;974;
befolkning_verdensregion;2015;0215;2;alle;person;549;
befolkning_verdensregion;2015;0215;1;1;person;510;
befolkning_verdensregion;2015;0215;2;1;person;233;
befolkning_verdensregion;2015;0215;1;0;person;464;
befolkning_verdensregion;2015;0215;2;0;person;316;
befolkning_verdensregion;2015;0216;1;alle;person;1410;
befolkning_verdensregion;2015;0216;2;alle;person;770;
befolkning_verdensregion;2015;0216;1;1;person;729;
befolkning_verdensregion;2015;0216;2;1;person;346;
befolkning_verdensregion;2015;0216;1;0;person;681;
befolkning_verdensregion;2015;0216;2;0;person;424;
befolkning_verdensregion;2015;0217;1;alle;person;1626;
befolkning_verdensregion;2015;0217;2;alle;person;1543;
befolkning_verdensregion;2015;0217;1;1;person;887;
befolkning_verdensregion;2015;0217;2;1;person;695;
befolkning_verdensregion;2015;0217;1;0;person;739;
befolkning_verdensregion;2015;0217;2;0;person;848;
befolkning_verdensregion;2015;0219;1;alle;person;10504;
befolkning_verdensregion;2015;0219;2;alle;person;9390;
befolkning_verdensregion;2015;0219;1;1;person;5761;
befolkning_verdensregion;2015;0219;2;1;person;4188;
befolkning_verdensregion;2015;0219;1;0;person;4743;
befolkning_verdensregion;2015;0219;2;0;person;5202;
befolkning_verdensregion;2015;0220;1;alle;person;5255;
befolkning_verdensregion;2015;0220;2;alle;person;4227;
befolkning_verdensregion;2015;0220;1;1;person;2923;
befolkning_verdensregion;2015;0220;2;1;person;1941;
befolkning_verdensregion;2015;0220;1;0;person;2332;
befolkning_verdensregion;2015;0220;2;0;person;2286;
befolkning_verdensregion;2015;0221;1;alle;person;1149;
befolkning_verdensregion;2015;0221;2;alle;person;430;
befolkning_verdensregion;2015;0221;1;1;person;687;
befolkning_verdensregion;2015;0221;2;1;person;174;
befolkning_verdensregion;2015;0221;1;0;person;462;
befolkning_verdensregion;2015;0221;2;0;person;256;
befolkning_verdensregion;2015;0226;1;alle;person;1427;
befolkning_verdensregion;2015;0226;2;alle;person;855;
befolkning_verdensregion;2015;0226;1;1;person;874;
befolkning_verdensregion;2015;0226;2;1;person;386;
befolkning_verdensregion;2015;0226;1;0;person;553;
befolkning_verdensregion;2015;0226;2;0;person;469;
befolkning_verdensregion;2015;0227;1;alle;person;872;
befolkning_verdensregion;2015;0227;2;alle;person;499;
befolkning_verdensregion;2015;0227;1;1;person;532;
befolkning_verdensregion;2015;0227;2;1;person;225;
befolkning_verdensregion;2015;0227;1;0;person;340;
befolkning_verdensregion;2015;0227;2;0;person;274;
befolkning_verdensregion;2015;0228;1;alle;person;1179;
befolkning_verdensregion;2015;0228;2;alle;person;1627;
befolkning_verdensregion;2015;0228;1;1;person;698;
befolkning_verdensregion;2015;0228;2;1;person;754;
befolkning_verdensregion;2015;0228;1;0;person;481;
befolkning_verdensregion;2015;0228;2;0;person;873;
befolkning_verdensregion;2015;0229;1;alle;person;733;
befolkning_verdensregion;2015;0229;2;alle;person;513;
befolkning_verdensregion;2015;0229;1;1;person;432;
befolkning_verdensregion;2015;0229;2;1;person;232;
befolkning_verdensregion;2015;0229;1;0;person;301;
befolkning_verdensregion;2015;0229;2;0;person;281;
befolkning_verdensregion;2015;0230;1;alle;person;2412;
befolkning_verdensregion;2015;0230;2;alle;person;4001;
befolkning_verdensregion;2015;0230;1;1;person;1464;
befolkning_verdensregion;2015;0230;2;1;person;1961;
befolkning_verdensregion;2015;0230;1;0;person;948;
befolkning_verdensregion;2015;0230;2;0;person;2040;
befolkning_verdensregion;2015;0231;1;alle;person;3281;
befolkning_verdensregion;2015;0231;2;alle;person;5977;
befolkning_verdensregion;2015;0231;1;1;person;1984;
befolkning_verdensregion;2015;0231;2;1;person;2862;
befolkning_verdensregion;2015;0231;1;0;person;1297;
befolkning_verdensregion;2015;0231;2;0;person;3115;
befolkning_verdensregion;2015;0233;1;alle;person;1509;
befolkning_verdensregion;2015;0233;2;alle;person;1180;
befolkning_verdensregion;2015;0233;1;1;person;921;
befolkning_verdensregion;2015;0233;2;1;person;516;
befolkning_verdensregion;2015;0233;1;0;person;588;
befolkning_verdensregion;2015;0233;2;0;person;664;
befolkning_verdensregion;2015;0234;1;alle;person;562;
befolkning_verdensregion;2015;0234;2;alle;person;189;
befolkning_verdensregion;2015;0234;1;1;person;370;
befolkning_verdensregion;2015;0234;2;1;person;79;
befolkning_verdensregion;2015;0234;1;0;person;192;
befolkning_verdensregion;2015;0234;2;0;person;110;
befolkning_verdensregion;2015;0235;1;alle;person;2722;
befolkning_verdensregion;2015;0235;2;alle;person;2724;
befolkning_verdensregion;2015;0235;1;1;person;1604;
befolkning_verdensregion;2015;0235;2;1;person;1270;
befolkning_verdensregion;2015;0235;1;0;person;1118;
befolkning_verdensregion;2015;0235;2;0;person;1454;
befolkning_verdensregion;2015;0236;1;alle;person;1169;
befolkning_verdensregion;2015;0236;2;alle;person;797;
befolkning_verdensregion;2015;0236;1;1;person;682;
befolkning_verdensregion;2015;0236;2;1;person;331;
befolkning_verdensregion;2015;0236;1;0;person;487;
befolkning_verdensregion;2015;0236;2;0;person;466;
befolkning_verdensregion;2015;0237;1;alle;person;1399;
befolkning_verdensregion;2015;0237;2;alle;person;1102;
befolkning_verdensregion;2015;0237;1;1;person;785;
befolkning_verdensregion;2015;0237;2;1;person;471;
befolkning_verdensregion;2015;0237;1;0;person;614;
befolkning_verdensregion;2015;0237;2;0;person;631;
befolkning_verdensregion;2015;0238;1;alle;person;1044;
befolkning_verdensregion;2015;0238;2;alle;person;654;
befolkning_verdensregion;2015;0238;1;1;person;658;
befolkning_verdensregion;2015;0238;2;1;person;274;
befolkning_verdensregion;2015;0238;1;0;person;386;
befolkning_verdensregion;2015;0238;2;0;person;380;
befolkning_verdensregion;2015;0239;1;alle;person;149;
befolkning_verdensregion;2015;0239;2;alle;person;80;
befolkning_verdensregion;2015;0239;1;1;person;83;
befolkning_verdensregion;2015;0239;2;1;person;33;
befolkning_verdensregion;2015;0239;1;0;person;66;
befolkning_verdensregion;2015;0239;2;0;person;47;
