tabell_navn;aar;naringsregion_id;vreg_9;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;10;afrika;alle;person;175;
befolkning_verdensregion;2015;10;sor_og_mellom_amerika;alle;person;21;
befolkning_verdensregion;2015;10;alle;alle;person;1168;
befolkning_verdensregion;2015;11;norden;alle;person;726;
befolkning_verdensregion;2015;11;vest_europa;alle;person;307;
befolkning_verdensregion;2015;11;eu_ost_europa;alle;person;863;
befolkning_verdensregion;2015;11;ost_europa_ellers;alle;person;334;
befolkning_verdensregion;2015;11;nord_amerika_oseania;alle;person;40;
befolkning_verdensregion;2015;11;asia;alle;person;1048;
befolkning_verdensregion;2015;11;afrika;alle;person;489;
befolkning_verdensregion;2015;11;sor_og_mellom_amerika;alle;person;103;
befolkning_verdensregion;2015;11;alle;alle;person;3910;
befolkning_verdensregion;2015;12;norden;alle;person;859;
befolkning_verdensregion;2015;12;vest_europa;alle;person;738;
befolkning_verdensregion;2015;12;eu_ost_europa;alle;person;2180;
befolkning_verdensregion;2015;12;ost_europa_ellers;alle;person;661;
befolkning_verdensregion;2015;12;nord_amerika_oseania;alle;person;114;
befolkning_verdensregion;2015;12;asia;alle;person;1854;
befolkning_verdensregion;2015;12;afrika;alle;person;1103;
befolkning_verdensregion;2015;12;sor_og_mellom_amerika;alle;person;121;
befolkning_verdensregion;2015;12;alle;alle;person;7630;
befolkning_verdensregion;2015;13;norden;alle;person;491;
befolkning_verdensregion;2015;13;vest_europa;alle;person;353;
befolkning_verdensregion;2015;13;eu_ost_europa;alle;person;675;
befolkning_verdensregion;2015;13;ost_europa_ellers;alle;person;279;
befolkning_verdensregion;2015;13;nord_amerika_oseania;alle;person;47;
befolkning_verdensregion;2015;13;asia;alle;person;625;
befolkning_verdensregion;2015;13;afrika;alle;person;547;
befolkning_verdensregion;2015;13;sor_og_mellom_amerika;alle;person;54;
befolkning_verdensregion;2015;13;alle;alle;person;3071;
befolkning_verdensregion;2015;14;norden;alle;person;505;
befolkning_verdensregion;2015;14;vest_europa;alle;person;476;
befolkning_verdensregion;2015;14;eu_ost_europa;alle;person;1715;
befolkning_verdensregion;2015;14;ost_europa_ellers;alle;person;608;
befolkning_verdensregion;2015;14;nord_amerika_oseania;alle;person;69;
befolkning_verdensregion;2015;14;asia;alle;person;1651;
befolkning_verdensregion;2015;14;afrika;alle;person;916;
befolkning_verdensregion;2015;14;sor_og_mellom_amerika;alle;person;84;
befolkning_verdensregion;2015;14;alle;alle;person;6024;
befolkning_verdensregion;2015;15;norden;alle;person;277;
befolkning_verdensregion;2015;15;vest_europa;alle;person;204;
befolkning_verdensregion;2015;15;eu_ost_europa;alle;person;665;
befolkning_verdensregion;2015;15;ost_europa_ellers;alle;person;186;
befolkning_verdensregion;2015;15;nord_amerika_oseania;alle;person;23;
befolkning_verdensregion;2015;15;asia;alle;person;520;
befolkning_verdensregion;2015;15;afrika;alle;person;449;
befolkning_verdensregion;2015;15;sor_og_mellom_amerika;alle;person;69;
befolkning_verdensregion;2015;15;alle;alle;person;2393;
befolkning_verdensregion;2015;16;norden;alle;person;517;
befolkning_verdensregion;2015;16;vest_europa;alle;person;372;
befolkning_verdensregion;2015;16;eu_ost_europa;alle;person;782;
befolkning_verdensregion;2015;16;ost_europa_ellers;alle;person;404;
befolkning_verdensregion;2015;16;nord_amerika_oseania;alle;person;55;
befolkning_verdensregion;2015;16;asia;alle;person;860;
befolkning_verdensregion;2015;16;afrika;alle;person;492;
befolkning_verdensregion;2015;16;sor_og_mellom_amerika;alle;person;28;
befolkning_verdensregion;2015;16;alle;alle;person;3510;
befolkning_verdensregion;2015;17;norden;alle;person;83;
befolkning_verdensregion;2015;17;vest_europa;alle;person;147;
befolkning_verdensregion;2015;17;eu_ost_europa;alle;person;401;
befolkning_verdensregion;2015;17;ost_europa_ellers;alle;person;59;
befolkning_verdensregion;2015;17;nord_amerika_oseania;alle;person;10;
befolkning_verdensregion;2015;17;asia;alle;person;154;
befolkning_verdensregion;2015;17;afrika;alle;person;99;
befolkning_verdensregion;2015;17;sor_og_mellom_amerika;alle;person;3;
befolkning_verdensregion;2015;17;alle;alle;person;956;
befolkning_verdensregion;2015;18;norden;alle;person;77;
befolkning_verdensregion;2015;18;vest_europa;alle;person;140;
befolkning_verdensregion;2015;18;eu_ost_europa;alle;person;341;
befolkning_verdensregion;2015;18;ost_europa_ellers;alle;person;58;
befolkning_verdensregion;2015;18;nord_amerika_oseania;alle;person;12;
befolkning_verdensregion;2015;18;asia;alle;person;215;
befolkning_verdensregion;2015;18;afrika;alle;person;281;
befolkning_verdensregion;2015;18;sor_og_mellom_amerika;alle;person;28;
befolkning_verdensregion;2015;18;alle;alle;person;1152;
befolkning_verdensregion;2015;19;norden;alle;person;145;
befolkning_verdensregion;2015;19;vest_europa;alle;person;257;
befolkning_verdensregion;2015;19;eu_ost_europa;alle;person;563;
befolkning_verdensregion;2015;19;ost_europa_ellers;alle;person;89;
befolkning_verdensregion;2015;19;nord_amerika_oseania;alle;person;20;
befolkning_verdensregion;2015;19;asia;alle;person;226;
befolkning_verdensregion;2015;19;afrika;alle;person;250;
befolkning_verdensregion;2015;19;sor_og_mellom_amerika;alle;person;43;
befolkning_verdensregion;2015;19;alle;alle;person;1593;
befolkning_verdensregion;2015;20;norden;alle;person;2629;
befolkning_verdensregion;2015;20;vest_europa;alle;person;2205;
befolkning_verdensregion;2015;20;eu_ost_europa;alle;person;8323;
befolkning_verdensregion;2015;20;ost_europa_ellers;alle;person;2344;
befolkning_verdensregion;2015;20;nord_amerika_oseania;alle;person;323;
befolkning_verdensregion;2015;20;asia;alle;person;9335;
befolkning_verdensregion;2015;20;afrika;alle;person;2587;
befolkning_verdensregion;2015;20;sor_og_mellom_amerika;alle;person;588;
befolkning_verdensregion;2015;20;alle;alle;person;28334;
befolkning_verdensregion;2015;21;norden;alle;person;466;
befolkning_verdensregion;2015;21;vest_europa;alle;person;279;
befolkning_verdensregion;2015;21;eu_ost_europa;alle;person;994;
befolkning_verdensregion;2015;21;ost_europa_ellers;alle;person;152;
befolkning_verdensregion;2015;21;nord_amerika_oseania;alle;person;41;
befolkning_verdensregion;2015;21;asia;alle;person;385;
befolkning_verdensregion;2015;21;afrika;alle;person;256;
befolkning_verdensregion;2015;21;sor_og_mellom_amerika;alle;person;39;
