tabell_navn;aar;fylke_id;vreg_9;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;01;norden;alle;person;4232;
befolkning_verdensregion;2015;01;vest_europa;alle;person;2316;
befolkning_verdensregion;2015;01;eu_ost_europa;alle;person;8780;
befolkning_verdensregion;2015;01;ost_europa_ellers;alle;person;4933;
befolkning_verdensregion;2015;01;nord_amerika_oseania;alle;person;377;
befolkning_verdensregion;2015;01;asia;alle;person;10042;
befolkning_verdensregion;2015;01;afrika;alle;person;3693;
befolkning_verdensregion;2015;01;sor_og_mellom_amerika;alle;person;653;
befolkning_verdensregion;2015;01;alle;alle;person;35026;
befolkning_verdensregion;2015;02;norden;alle;person;11350;
befolkning_verdensregion;2015;02;vest_europa;alle;person;8540;
befolkning_verdensregion;2015;02;eu_ost_europa;alle;person;22238;
befolkning_verdensregion;2015;02;ost_europa_ellers;alle;person;6255;
befolkning_verdensregion;2015;02;nord_amerika_oseania;alle;person;1675;
befolkning_verdensregion;2015;02;asia;alle;person;26387;
befolkning_verdensregion;2015;02;afrika;alle;person;6795;
befolkning_verdensregion;2015;02;sor_og_mellom_amerika;alle;person;2264;
befolkning_verdensregion;2015;02;alle;alle;person;85504;
befolkning_verdensregion;2015;03;norden;alle;person;18771;
befolkning_verdensregion;2015;03;vest_europa;alle;person;14418;
befolkning_verdensregion;2015;03;eu_ost_europa;alle;person;25091;
befolkning_verdensregion;2015;03;ost_europa_ellers;alle;person;11710;
befolkning_verdensregion;2015;03;nord_amerika_oseania;alle;person;2849;
befolkning_verdensregion;2015;03;asia;alle;person;56538;
befolkning_verdensregion;2015;03;afrika;alle;person;23664;
befolkning_verdensregion;2015;03;sor_og_mellom_amerika;alle;person;5755;
befolkning_verdensregion;2015;03;alle;alle;person;158796;
befolkning_verdensregion;2015;04;norden;alle;person;2182;
befolkning_verdensregion;2015;04;vest_europa;alle;person;1591;
befolkning_verdensregion;2015;04;eu_ost_europa;alle;person;4114;
befolkning_verdensregion;2015;04;ost_europa_ellers;alle;person;1343;
befolkning_verdensregion;2015;04;nord_amerika_oseania;alle;person;212;
befolkning_verdensregion;2015;04;asia;alle;person;3724;
befolkning_verdensregion;2015;04;afrika;alle;person;2314;
befolkning_verdensregion;2015;04;sor_og_mellom_amerika;alle;person;299;
befolkning_verdensregion;2015;04;alle;alle;person;15779;
befolkning_verdensregion;2015;05;norden;alle;person;1604;
befolkning_verdensregion;2015;05;vest_europa;alle;person;1596;
befolkning_verdensregion;2015;05;eu_ost_europa;alle;person;4467;
befolkning_verdensregion;2015;05;ost_europa_ellers;alle;person;1404;
befolkning_verdensregion;2015;05;nord_amerika_oseania;alle;person;189;
befolkning_verdensregion;2015;05;asia;alle;person;3626;
befolkning_verdensregion;2015;05;afrika;alle;person;2487;
