tabell_navn;aar;fylke_id;vreg_9;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;00;norden;alle;person;72078;
befolkning_verdensregion;2015;00;vest_europa;alle;person;70297;
befolkning_verdensregion;2015;00;eu_ost_europa;alle;person;172391;
befolkning_verdensregion;2015;00;ost_europa_ellers;alle;person;54057;
befolkning_verdensregion;2015;00;nord_amerika_oseania;alle;person;12201;
befolkning_verdensregion;2015;00;asia;alle;person;187649;
befolkning_verdensregion;2015;00;afrika;alle;person;79817;
befolkning_verdensregion;2015;00;sor_og_mellom_amerika;alle;person;20776;
befolkning_verdensregion;2015;00;alle;alle;person;669266;
