tabell_navn;aar;bydel_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;01;1;alle;person;5146;
befolkning_verdensregion;2015;01;2;alle;person;9779;
befolkning_verdensregion;2015;01;1;1;person;2989;
befolkning_verdensregion;2015;01;2;1;person;5208;
befolkning_verdensregion;2015;01;1;0;person;2157;
befolkning_verdensregion;2015;01;2;0;person;4571;
befolkning_verdensregion;2015;02;1;alle;person;7131;
befolkning_verdensregion;2015;02;2;alle;person;8614;
befolkning_verdensregion;2015;02;1;1;person;4157;
befolkning_verdensregion;2015;02;2;1;person;4655;
befolkning_verdensregion;2015;02;1;0;person;2974;
befolkning_verdensregion;2015;02;2;0;person;3959;
befolkning_verdensregion;2015;03;1;alle;person;3559;
befolkning_verdensregion;2015;03;2;alle;person;4600;
befolkning_verdensregion;2015;03;1;1;person;1973;
befolkning_verdensregion;2015;03;2;1;person;2353;
befolkning_verdensregion;2015;03;1;0;person;1586;
befolkning_verdensregion;2015;03;2;0;person;2247;
befolkning_verdensregion;2015;04;1;alle;person;4852;
befolkning_verdensregion;2015;04;2;alle;person;3743;
befolkning_verdensregion;2015;04;1;1;person;2691;
befolkning_verdensregion;2015;04;2;1;person;2048;
befolkning_verdensregion;2015;04;1;0;person;2161;
befolkning_verdensregion;2015;04;2;0;person;1695;
befolkning_verdensregion;2015;05;1;alle;person;8572;
befolkning_verdensregion;2015;05;2;alle;person;5439;
befolkning_verdensregion;2015;05;1;1;person;4578;
befolkning_verdensregion;2015;05;2;1;person;2564;
befolkning_verdensregion;2015;05;1;0;person;3994;
befolkning_verdensregion;2015;05;2;0;person;2875;
befolkning_verdensregion;2015;06;1;alle;person;2929;
befolkning_verdensregion;2015;06;2;alle;person;2061;
befolkning_verdensregion;2015;06;1;1;person;1491;
befolkning_verdensregion;2015;06;2;1;person;849;
befolkning_verdensregion;2015;06;1;0;person;1438;
befolkning_verdensregion;2015;06;2;0;person;1212;
befolkning_verdensregion;2015;07;1;alle;person;4167;
befolkning_verdensregion;2015;07;2;alle;person;2822;
befolkning_verdensregion;2015;07;1;1;person;2157;
befolkning_verdensregion;2015;07;2;1;person;978;
befolkning_verdensregion;2015;07;1;0;person;2010;
befolkning_verdensregion;2015;07;2;0;person;1844;
