"naringsregion_nr","tabell_navn","aar","enhet","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
46,"tilskudd",2015,"kroner",508400,100000,157500,3914275,612096,28925000,73791800,44866800,19906670.82,0,98990741.82,98990741.82,0
47,"tilskudd",2015,"kroner",471700,50000,157500,2245808,0,19439000,59706200,40267200,14207908.32,0,76839116.32,76839116.32,0
48,"tilskudd",2015,"kroner",24400,50000,0,0,0,3776000,8620000,4844000,3699112.5,0,12393512.5,12393512.5,0
49,"tilskudd",2015,"kroner",313700,1775000,157500,3586874,7758200,28664000,61100200,32436200,11646300,0,86337774,86337774,0
50,"tilskudd",2015,"kroner",365000,1450000,157500,446367,0,29666000,68195000,38529000,27125133.31,0,97739000.31,97739000.31,0
51,"tilskudd",2015,"kroner",243000,550000,315000,1402867,539440,16771000,58154800,41383800,20685060.82,0,81890167.82,81890167.82,0
52,"tilskudd",2015,"kroner",314200,1800000,309700,3789050,1273095,42937000,117829200,74892200,36897523.33,0,162212768.33,162212768.33,0.0000000298023223876953
53,"tilskudd",2015,"kroner",854500,1100000,157500,5541710,7110582,41644000,25885600,61753800,20998479.16,0,40379590.66,61648371.16,-21268780.5
54,"tilskudd",2015,"kroner",0,0,0,0,0,4672000,14625800,9953800,5371550,0,19997350,19997350,0
55,"tilskudd",2015,"kroner",244000,1000000,315000,7412874,8420143,25945000,72825400,46880400,26044114.99,0,116261531.99,116261531.99,0
56,"tilskudd",2015,"kroner",507400,50000,157500,6296466,1321438,29034400,32358500,46897300,20854729.16,0,41854612.5,61546033.16,-19691420.66
57,"tilskudd",2015,"kroner",243000,250000,0,0,0,19126800,36435800,17309000,8342687.5,0,45271487.5,45271487.5,0
58,"tilskudd",2015,"kroner",0,50000,0,0,0,3480000,6703000,3223000,2955150,0,9708150,9708150,0
59,"tilskudd",2015,"kroner",167800,250000,0,0,0,7124400,20050700,12926300,3345237.5,0,23813737.5,23813737.5,0
60,"tilskudd",2015,"kroner",169800,350000,157500,510133,0,12663000,29488000,16825000,11628000,0,42303433,42303433,0
61,"tilskudd",2015,"kroner",1672100,2450000,1426000,17453668,41560934,122628500,317001800,194373300,62114687.49,128800,443807989.5,443807989.49,0.00999999046325684
62,"tilskudd",2015,"kroner",23400,0,0,191300,0,7351000,13970000,6619000,2918775,0,17103475,17103475,0
63,"tilskudd",2015,"kroner",400800,25000,0,3376892,892823,16853000,54211000,37358000,11908145,0,70814660,70814660,0
64,"tilskudd",2015,"kroner",194200,1500000,0,4319209,6180197,30728400,103876100,73147700,23270606.66,0,139340312.66,139340312.66,0
65,"tilskudd",2015,"kroner",95600,250000,0,4463669,0,6652000,22465350,15813350,11513749.99,0,38788368.99,38788368.99,0
66,"tilskudd",2015,"kroner",97600,350000,157500,0,688405,9158000,32405000,23247000,5500912.5,0,39199417.5,39199417.5,0
67,"tilskudd",2015,"kroner",121000,0,0,2981091,1159300,12140000,41860500,29720500,12433175,0,58555066,58555066,0
68,"tilskudd",2015,"kroner",166800,0,152200,0,170500,7650000,28926000,21276000,6148962.5,0,35564462.5,35564462.5,0
69,"tilskudd",2015,"kroner",291800,1050000,157500,4781024,0,18038000,54692700,36654700,12595112.49,0,73568136.49,73568136.49,0
70,"tilskudd",2015,"kroner",0,0,0,0,0,0,82200,82200,1814400,0,1896600,1896600,0
71,"tilskudd",2015,"kroner",73200,200000,0,2502841,541935,8870000,27078000,18208000,14815783.32,0,45211759.32,45211759.32,0
72,"tilskudd",2015,"kroner",93600,0,0,6200325,764000,9058160,45407460,36349300,15174645.83,0,67640030.83,67640030.83,0
73,"tilskudd",2015,"kroner",1044200,575000,315000,7077609,7736391,54635800,159812400,105176600,39907985.82,0,216468585.79,216468585.82,-0.0300000011920929
74,"tilskudd",2015,"kroner",214900,0,0,955517,390196,16686000,54973700,38287700,12031537.5,0,68565850.5,68565850.5,0
75,"tilskudd",2015,"kroner",408800,700000,157500,8256801,5379050,28706000,76403200,47697200,18194500,0,109499851,109499851,0
76,"tilskudd",2015,"kroner",628400,1650000,0,4109509,1705800,37531000,100380300,62849300,19871591.66,0,128345600.66,128345600.66,0
77,"tilskudd",2015,"kroner",511400,2000000,157500,13002844,4766179,33934000,94463900,60529900,28430954.99,0,143332777.99,143332777.99,0
78,"tilskudd",2015,"kroner",608000,1350000,309700,781141,2974080,32551000,87085400,54534400,31132731.64,0,124241052.64,124241052.64,0
79,"tilskudd",2015,"kroner",460600,1400000,315000,5254359,3354203,45850500,117463500,71613000,25466237.51,0,153713899.5,153713899.51,-0.00999999046325684
80,"tilskudd",2015,"kroner",217600,150000,0,0,0,6029000,17426400,11397400,11199125,0,28993125,28993125,0
81,"tilskudd",2015,"kroner",336600,1700000,472500,11175107,1936230,21620500,64306200,42685700,18413912.49,67100,98407649.49,98407649.49,0
82,"tilskudd",2015,"kroner",97600,0,0,0,0,5090000,16278400,11188400,6821750,0,23197750,23197750,0
83,"tilskudd",2015,"kroner",482000,250000,157500,16015472,3264665,30806000,96942200,66136200,24393016.66,0,141504853.66,141504853.66,0
99,"tilskudd",2015,"kroner",0,0,0,0,0,0,0,0,72800,0,72800,72800,0
