kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;fylkenr;naregnr
0101 Halden;0101;Halden;20984316,00;8195800,00;1495000,00;6700800,00;0,00;3756500,00;676316,00;68700,00;0,00;91200,00;1;1
0104 Moss;0104;Moss;67800118,00;25694200,00;6368000,00;19326200,00;1169935,00;12030300,00;2334383,00;114500,00;295200,00;467400,00;1;3
0105 Sarpsborg;0105;Sarpsborg;90016462,00;38218000,00;12615000,00;25603000,00;605000,00;10627500,00;1468762,00;198400,00;0,00;680800,00;1;4
0106 Fredrikstad;0106;Fredrikstad;98471191,00;38240700,00;9031500,00;29209200,00;614600,00;17436300,00;2737991,00;136300,00;585800,00;478800,00;1;4
0111 Hvaler;0111;Hvaler;17926299,00;6515300,00;2989500,00;3525800,00;0,00;1249600,00;3555099,00;45800,00;0,00;45200,00;1;4
0118 Aremark;0118;Aremark;2029400,00;653600,00;0,00;653600,00;0,00;710800,00;0,00;0,00;0,00;11400,00;1;2
0119 Marker;0119;Marker;4338500,00;1534000,00;210000,00;1324000,00;0,00;1236300,00;0,00;0,00;0,00;34200,00;1;2
0121 Rømskog;0121;Rømskog;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;2
0122 Trøgstad;0122;Trøgstad;11682200,00;4324000,00;1505000,00;2819000,00;800100,00;1249400,00;916300,00;0,00;0,00;68400,00;1;2
0123 Spydeberg;0123;Spydeberg;11663200,00;4914800,00;1440000,00;3474800,00;0,00;1822200,00;0,00;0,00;0,00;11400,00;1;2
0124 Askim;0124;Askim;20635000,00;7386200,00;1720000,00;5666200,00;0,00;4588800,00;785400,00;0,00;442800,00;45600,00;1;2
0125 Eidsberg;0125;Eidsberg;17889200,00;7063000,00;2130000,00;4933000,00;0,00;3484000,00;130900,00;22900,00;0,00;125400,00;1;2
0127 Skiptvet;0127;Skiptvet;8991245,00;3403900,00;739500,00;2664400,00;147605,00;1259000,00;675640,00;21800,00;0,00;79400,00;1;2
