Kommunenr;Kommune;Anmodning 2012;Vedtak 2012
1264;Austrheim;10;
1265;Fedje;5;
1266;Masfjorden;5;
1401;Flora;35;25
1411;Gulen;10;
1412;Solund;5;
1413;Hyllestad;5;
1416;Høyanger;10;9
1417;Vik;10;
1418;Balestrand;15;
1419;Leikanger;15;
1420;Sogndal;20;20
1421;Aurland;5;
1422;Lærdal;10;
1424;Årdal;15;
1426;Luster;15;5
1428;Askvoll;10;
1429;Fjaler;10;
1430;Gaular;10;
1431;Jølster;15;5
1432;Førde;30;20
1433;Naustdal;10;
1438;Bremanger;20;
1439;Vågsøy;10;
1441;Selje;10;
1443;Eid;30;8
1444;Hornindal;5;
1445;Gloppen;30;10
1449;Stryn;30;15
1502;Molde;55;55
1504;Ålesund;60;40
1505;Kristiansund;50;40
1515;Herøy (Møre og Romsdal);20;10
1516;Ulstein;20;20
1517;Hareid;15;15
1519;Volda;30;25
1520;Ørsta;30;25
1528;Sykkylven;20;14
1531;Sula;10;
1532;Giske;10;6
1534;Haram;20;20
1535;Vestnes;5;3
1539;Rauma;5;
1547;Aukra;10;8
1548;Fræna;10;3
1551;Eide;10;2
1557;Gjemnes;10;
1560;Tingvoll;10;5
1563;Sunndal;25;25
1576;Aure;10;5
1601;Trondheim;270;240
1612;Hemne;5;5
1617;Hitra;10;10
1624;Rissa;11;11
1634;Oppdal;20;15
1638;Orkdal;25;20
1640;Røros;15;10
1648;Midtre Gauldal;15;16
1653;Melhus;25;15
1657;Skaun;15;6
1662;Klæbu;5;
1663;Malvik;20;10
1702;Steinkjer;40;35
1703;Namsos;40;40
1711;Meråker;20;10
1714;Stjørdal;45;40
1718;Leksvik;8;8
1719;Levanger;40;40
1721;Verdal;35;25
1724;Verran;10;10
1729;Inderøy;15;10
1742;Grong;15;15
1744;Overhalla;3;3
1750;Vikna;15;10
1751;Nærøy;15;15
1804;Bodø;90;70
1805;Narvik;50;40
1812;Sømna;20;15
1813;Brønnøy;30;25
1818;Herøy (Nordland);10;
1820;Alstahaug;30;30
1822;Leirfjord;15;10
1824;Vefsn;25;25
1826;Hattfjelldal;15;11
1828;Nesna;10;10
1832;Hemnes;10;10
1833;Rana;60;50
1837;Meløy;10;10
1838;Gildeskål;15;15
1840;Saltdal;15;10
1841;Fauske;20;18
1848;Steigen;10;10
1849;Hamarøy;10;10
1850;Tysfjord;10;10
1851;Lødingen;15;10
1853;Evenes;10;
1854;Ballangen;10;10
1860;Vestvågøy;40;40
1865;Vågan;40;30
1866;Hadsel;40;15
1867;Bø (Nordland);10;
1868;Øksnes;;10
1870;Sortland;35;25
1871;Andøy;30;30
1901;Harstad;70;60
1902;Tromsø;100;100
1911;Kvæfjord;10;10
1913;Skånland;10;10
1917;Ibestad;5;5
1919;Gratangen;10;5
1922;Bardu;10;10
1923;Salangen;20;15
1924;Målselv;20;10
1927;Tranøy;15;15
1929;Berg;15;
1931;Lenvik;40;30
1933;Balsfjord;10;
1939;Storfjord;5;10
1941;Skjervøy;5;
1942;Nordreisa;30;13
2003;Vadsø;75;75
2004;Hammerfest;25;25
2012;Alta;40;20
2019;Nordkapp;10;
2020;Porsanger;15;15
2028;Båtsfjord;10;6
2030;Sør-Varanger;35;25
