kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;fylkenr;naregnr
0403 Hamar;0403;Hamar;78705982,00;31002000,00;6885000,00;24117000,00;4269274,00;8196000,00;4213308,00;23400,00;0,00;0,00;4;12
0412 Ringsaker;0412;Ringsaker;49642708,00;19930600,00;6180000,00;13750600,00;355100,00;7161700,00;2019408,00;93100,00;152200,00;0,00;4;12
0415 Løten;0415;Løten;18583462,00;8052400,00;1689000,00;6363400,00;278062,00;1945000,00;185400,00;70200,00;0,00;0,00;4;12
0417 Stange;0417;Stange;71687426,00;28907900,00;9006000,00;19901900,00;3979276,00;8227000,00;1467750,00;186200,00;0,00;11400,00;4;12
0418 Nord-Odal;0418;Nord-Odal;4992800,00;2005600,00;1593000,00;412600,00;0,00;888000,00;0,00;93600,00;0,00;0,00;4;11
0419 Sør-Odal;0419;Sør-Odal;13215700,00;5773600,00;2058000,00;3715600,00;0,00;1492900,00;0,00;23400,00;152200,00;0,00;4;11
0420 Eidskog;0420;Eidskog;7316500,00;3184600,00;1062000,00;2122600,00;0,00;900500,00;0,00;46800,00;0,00;0,00;4;11
0423 Grue;0423;Grue;9286425,00;3563200,00;615000,00;2948200,00;0,00;818100,00;1330525,00;0,00;0,00;11400,00;4;11
0425 Åsnes;0425;Åsnes;25572500,00;7444200,00;1285000,00;6159200,00;0,00;10290500,00;370800,00;0,00;0,00;22800,00;4;11
0426 Våler (Hedm.);0426;Våler (Hedm.);1925800,00;0,00;0,00;0,00;0,00;1925800,00;0,00;0,00;0,00;0,00;4;11
0427 Elverum;0427;Elverum;63663900,00;27813450,00;7172000,00;20641450,00;160000,00;3820100,00;3800700,00;92600,00;152200,00;11400,00;4;13
0428 Trysil;0428;Trysil;20810300,00;9050000,00;2144000,00;6906000,00;0,00;1725600,00;927000,00;46300,00;0,00;11400,00;4;13
0429 Åmot;0429;Åmot;5765150,00;1588000,00;708000,00;880000,00;0,00;1059600,00;1529550,00;0,00;0,00;0,00;4;13
0430 Stor-Elvdal;0430;Stor-Elvdal;19139400,00;3432600,00;627000,00;2805600,00;0,00;12274200,00;0,00;0,00;0,00;0,00;4;13
0432 Rendalen;0432;Rendalen;7749000,00;3347000,00;1947000,00;1400000,00;0,00;1031600,00;0,00;23400,00;0,00;0,00;4;10
0434 Engerdal;0434;Engerdal;13424000,00;4712000,00;1239000,00;3473000,00;483000,00;3517000,00;0,00;0,00;0,00;0,00;4;13
0436 Tolga;0436;Tolga;13431500,00;6102400,00;1679000,00;4423400,00;0,00;878400,00;278100,00;70200,00;0,00;0,00;4;10
0437 Tynset;0437;Tynset;27337234,00;11348200,00;3354000,00;7994200,00;0,00;1800300,00;2793734,00;46800,00;0,00;0,00;4;10
0438 Alvdal;0438;Alvdal;11162100,00;4954800,00;762000,00;4192800,00;0,00;1045300,00;185400,00;21800,00;0,00;0,00;4;10
0439 Folldal;0439;Folldal;5442500,00;2456000,00;1206000,00;1250000,00;0,00;354900,00;0,00;23400,00;152200,00;0,00;4;10
0441 Os (Hedm.);0441;Os (Hedm.);7759550,00;3008400,00;708000,00;2300400,00;0,00;398600,00;1344150,00;0,00;0,00;0,00;4;10
0501 Lillehammer;0501;Lillehammer;106815736,00;45340300,00;17466000,00;27874300,00;8116886,00;4836900,00;2846450,00;323500,00;0,00;11400,00;5;16
0502 Gjøvik;0502;Gjøvik;94457133,00;38781000,00;10868000,00;27913000,00;7125475,00;4621300,00;4568658,00;279300,00;152200,00;148200,00;5;14
0511 Dovre;0511;Dovre;11433600,00;4223800,00;1383000,00;2840800,00;0,00;2962600,00;0,00;23400,00;0,00;0,00;5;18
0512 Lesja;0512;Lesja;1944700,00;933000,00;933000,00;0,00;0,00;31900,00;0,00;46800,00;0,00;0,00;5;18
0513 Skjåk;0513;Skjåk;11923100,00;5453800,00;1886000,00;3567800,00;0,00;980700,00;0,00;23400,00;0,00;11400,00;5;18
0514 Lom;0514;Lom;12785500,00;5847600,00;2460000,00;3387600,00;0,00;1043500,00;0,00;46800,00;0,00;0,00;5;18
0515 Vågå;0515;Vågå;19268100,00;8769400,00;2433400,00;6336000,00;0,00;1705900,00;0,00;23400,00;0,00;0,00;5;18
0516 Nord-Fron;0516;Nord-Fron;26609625,00;12435200,00;5549000,00;6886200,00;0,00;1303300,00;218125,00;183600,00;0,00;34200,00;5;17
0517 Sel;0517;Sel;29344717,00;10290400,00;2271000,00;8019400,00;0,00;7444300,00;1319617,00;0,00;0,00;0,00;5;18
0519 Sør-Fron;0519;Sør-Fron;1156300,00;352600,00;0,00;352600,00;0,00;451100,00;0,00;0,00;0,00;0,00;5;17
0520 Ringebu;0520;Ringebu;9010400,00;2776000,00;1110000,00;1666000,00;0,00;3435000,00;0,00;23400,00;0,00;0,00;5;17
0521 Øyer;0521;Øyer;27187396,00;11046600,00;2895000,00;8151600,00;3100596,00;1447200,00;370800,00;23400,00;152200,00;0,00;5;16
0522 Gausdal;0522;Gausdal;8918200,00;4023000,00;1650000,00;2373000,00;0,00;803100,00;0,00;46300,00;0,00;22800,00;5;16
0528 Østre Toten;0528;Østre Toten;27722500,00;11307350,00;3024000,00;8283350,00;0,00;5061000,00;0,00;46800,00;0,00;0,00;5;14
0529 Vestre Toten;0529;Vestre Toten;32967200,00;13334000,00;3735000,00;9599000,00;0,00;5729400,00;370800,00;46800,00;152200,00;0,00;5;14
0532 Jevnaker;0532;Jevnaker;14160400,00;6379000,00;3186000,00;3193000,00;0,00;1156600,00;0,00;93600,00;152200,00;0,00;5;15
0533 Lunner;0533;Lunner;54974000,00;24683800,00;7605000,00;17078800,00;0,00;4470600,00;1112400,00;23400,00;0,00;0,00;5;15
0534 Gran;0534;Gran;66124301,52;30304200,00;10065000,00;20239200,00;754901,52;3473000,00;1112400,00;23400,00;152200,00;0,00;5;15
0536 Søndre Land;0536;Søndre Land;14501500,00;4213200,00;1335000,00;2878200,00;0,00;5657500,00;370800,00;46800,00;0,00;0,00;5;14
0538 Nordre Land;0538;Nordre Land;30898114,00;13353600,00;5502000,00;7851600,00;682714,00;1908000,00;1483200,00;117000,00;0,00;0,00;5;14
0540 Sør-Aurdal;0540;Sør-Aurdal;7642700,00;3380800,00;0,00;3380800,00;0,00;881100,00;0,00;0,00;0,00;0,00;5;19
0541 Etnedal;0541;Etnedal;14527100,00;3709200,00;1384000,00;2325200,00;0,00;6949700,00;0,00;0,00;147600,00;11400,00;5;19
0542 Nord-Aurdal;0542;Nord-Aurdal;16440200,00;7548000,00;2129000,00;5419000,00;0,00;1297400,00;0,00;46800,00;0,00;0,00;5;19
0543 Vestre Slidre;0543;Vestre Slidre;7258600,00;2661000,00;1431000,00;1230000,00;0,00;1751200,00;185400,00;0,00;0,00;0,00;5;19
0544 Øystre Slidre;0544;Øystre Slidre;5680100,00;2454200,00;1479000,00;975200,00;0,00;771700,00;0,00;0,00;0,00;0,00;5;19
0545 Vang;0545;Vang;9123300,00;2574800,00;1447000,00;1127800,00;0,00;3927400,00;0,00;46300,00;0,00;0,00;5;19
0602 Drammen;0602;Drammen;231344418,00;96237400,00;28067000,00;68170400,00;7234802,00;22386100,00;8410716,00;628800,00;152200,00;57000,00;6;20
0604 Kongsberg;0604;Kongsberg;66307770,00;26740400,00;6979000,00;19761400,00;561695,00;10137300,00;1884075,00;209100,00;0,00;34800,00;6;22
0605 Ringerike;0605;Ringerike;48012400,00;20653100,00;6185000,00;14468100,00;0,00;5986200,00;556200,00;163800,00;0,00;0,00;6;24
0612 Hole;0612;Hole;8442900,00;3580400,00;390000,00;3190400,00;0,00;1282100,00;0,00;0,00;0,00;0,00;6;24
0615 Flå;0615;Flå;3993500,00;1770000,00;1770000,00;0,00;0,00;277900,00;0,00;23400,00;152200,00;0,00;6;21
0616 Nes (Busk.);0616;Nes (Busk.);15629700,00;4955100,00;603500,00;4351600,00;0,00;5663900,00;0,00;21800,00;0,00;33800,00;6;21
0617 Gol;0617;Gol;16989594,00;6963600,00;1905000,00;5058600,00;1457969,00;1158600,00;218125,00;68700,00;147600,00;11400,00;6;21
0618 Hemsedal;0618;Hemsedal;12479600,00;4033800,00;933000,00;3100800,00;0,00;4179800,00;185400,00;46800,00;0,00;0,00;6;21
0619 Ål;0619;Ål;17645600,00;7094200,00;2943000,00;4151200,00;0,00;3457200,00;0,00;0,00;0,00;0,00;6;21
0620 Hol;0620;Hol;7908400,00;3340600,00;885000,00;2455600,00;0,00;1180400,00;0,00;46800,00;0,00;0,00;6;21
0621 Sigdal;0621;Sigdal;10265300,00;4010400,00;1360000,00;2650400,00;588200,00;1599200,00;0,00;22900,00;0,00;34200,00;6;23
0622 Krødsherad;0622;Krødsherad;2705300,00;800000,00;0,00;800000,00;0,00;1105300,00;0,00;0,00;0,00;0,00;6;23
0623 Modum;0623;Modum;36071117,00;15309800,00;5220000,00;10089800,00;0,00;2776400,00;2617417,00;46300,00;0,00;11400,00;6;23
0624 Øvre Eiker;0624;Øvre Eiker;35799000,00;15953600,00;4766000,00;11187600,00;330200,00;2461400,00;927000,00;161800,00;0,00;11400,00;6;20
0625 Nedre Eiker;0625;Nedre Eiker;37212200,00;15895200,00;5864000,00;10031200,00;0,00;4665700,00;463500,00;140400,00;152200,00;0,00;6;20
0626 Lier;0626;Lier;44989900,00;19487900,00;5602500,00;13885400,00;0,00;4063100,00;1823100,00;116500,00;0,00;11400,00;6;20
0627 Røyken;0627;Røyken;28954300,00;12504400,00;2832000,00;9672400,00;160000,00;3586500,00;0,00;46800,00;152200,00;0,00;6;20
0628 Hurum;0628;Hurum;30942000,00;13831750,00;3474000,00;10357750,00;744000,00;1931500,00;556200,00;46800,00;0,00;0,00;6;20
0631 Flesberg;0631;Flesberg;20070500,00;9324800,00;2028000,00;7296800,00;0,00;1397500,00;0,00;23400,00;0,00;0,00;6;22
0632 Rollag;0632;Rollag;12586000,00;5639800,00;1732000,00;3907800,00;0,00;1158800,00;0,00;0,00;147600,00;0,00;6;22
0633 Nore og Uvdal;0633;Nore og Uvdal;16847000,00;6853800,00;1560000,00;5293800,00;2006300,00;947700,00;185400,00;0,00;0,00;0,00;6;22
0701 Horten;0701;Horten;66533178,80;26815800,00;8976000,00;17839800,00;2245269,80;5014700,00;5271209,00;138400,00;152200,00;79800,00;7;25
0702 Holmestrand;0702;Holmestrand;16096861,00;5416400,00;1373000,00;4043400,00;1402361,00;1984300,00;1854000,00;23400,00;0,00;0,00;7;25
0704 Tønsberg;0704;Tønsberg;63021550,00;24399700,00;9920000,00;14479700,00;0,00;10630900,00;3229050,00;187200,00;152200,00;22800,00;7;25
0706 Sandefjord;0706;Sandefjord;55111850,00;22676800,00;6678000,00;15998800,00;650000,00;6815100,00;2023950,00;117000,00;152200,00;0,00;7;26
0709 Larvik;0709;Larvik;80578320,00;29463000,00;7196000,00;22267000,00;6254070,00;9013600,00;6010050,00;70200,00;304400,00;0,00;7;26
0711 Svelvik;0711;Svelvik;8206000,00;3448000,00;2655000,00;793000,00;0,00;1263200,00;0,00;46800,00;0,00;0,00;7;20
0713 Sande (Vestf.);0713;Sande (Vestf.);22376700,00;10170600,00;2582000,00;7588600,00;0,00;1942900,00;0,00;92600,00;0,00;0,00;7;20
0714 Hof;0714;Hof;3158000,00;1075000,00;475000,00;600000,00;0,00;985100,00;0,00;22900,00;0,00;0,00;7;25
0716 Re;0716;Re (f.o.m. 2002);16648900,00;7564400,00;2081000,00;5483400,00;0,00;1496700,00;0,00;23400,00;0,00;0,00;7;25
0719 Andebu;0719;Andebu;12371658,00;4852400,00;2199800,00;2652600,00;0,00;1085200,00;1478658,00;46800,00;0,00;56200,00;7;25
0720 Stokke;0720;Stokke;34634750,00;13083800,00;1581000,00;11502800,00;0,00;7076200,00;1344150,00;46800,00;0,00;0,00;7;25
0722 Nøtterøy;0722;Nøtterøy;36982648,00;15480150,00;4716000,00;10764150,00;367540,00;2603400,00;2946408,00;105000,00;0,00;0,00;7;25
0723 Tjøme;0723;Tjøme;10841900,00;4883000,00;1350000,00;3533000,00;0,00;1075900,00;0,00;0,00;0,00;0,00;7;25
0728 Lardal;0728;Lardal;7016167,00;2974000,00;1581000,00;1393000,00;0,00;905100,00;10867,00;0,00;152200,00;0,00;7;26
0805 Porsgrunn;0805;Porsgrunn;86165910,00;36550800,00;12150000,00;24400800,00;1456760,00;8595500,00;2641950,00;301700,00;0,00;68400,00;8;27
0806 Skien;0806;Skien;187353932,00;75906850,00;20064000,00;55842850,00;8574332,00;19183000,00;7385100,00;397800,00;0,00;0,00;8;27
0807 Notodden;0807;Notodden;64474300,00;27766200,00;9977000,00;17789200,00;825700,00;3930200,00;3893400,00;140400,00;152200,00;0,00;8;29
0811 Siljan;0811;Siljan;14986000,00;7056000,00;1947000,00;5109000,00;0,00;874000,00;0,00;0,00;0,00;0,00;8;27
0814 Bamble;0814;Bamble;68150267,00;30174600,00;7086000,00;23088600,00;495300,00;3574500,00;3208167,00;138900,00;304400,00;79800,00;8;27
0815 Kragerø;0815;Kragerø;65587133,00;28141600,00;7952000,00;20189600,00;2364033,00;4011300,00;2719200,00;163800,00;0,00;45600,00;8;27
0817 Drangedal;0817;Drangedal;17482926,00;7662000,00;2789000,00;4873000,00;704826,00;1278500,00;0,00;23400,00;152200,00;0,00;8;27
0819 Nome;0819;Nome;20988518,00;7549400,00;1383000,00;6166400,00;1195618,00;4485300,00;185400,00;23400,00;0,00;0,00;8;28
0821 Bø (Telemark);0821;Bø (Telem.);26344690,00;10075200,00;3314000,00;6761200,00;3249490,00;1901800,00;927000,00;116000,00;0,00;0,00;8;28
0822 Sauherad;0822;Sauherad;31222724,00;13325600,00;4731000,00;8594600,00;1944224,00;1815500,00;741600,00;70200,00;0,00;0,00;8;28
0826 Tinn;0826;Tinn;40239717,00;15302400,00;5723000,00;9579400,00;1651400,00;5550500,00;2246617,00;0,00;152200,00;34200,00;8;29
0827 Hjartdal;0827;Hjartdal;5147800,00;1802000,00;402000,00;1400000,00;0,00;778800,00;741600,00;23400,00;0,00;0,00;8;29
0828 Seljord;0828;Seljord;15838292,00;6897600,00;3110000,00;3787600,00;856792,00;1116100,00;0,00;70200,00;0,00;0,00;8;30
0829 Kviteseid;0829;Kviteseid;268800,00;0,00;0,00;0,00;0,00;268800,00;0,00;0,00;0,00;0,00;8;30
0830 Nissedal;0830;Nissedal;737600,00;0,00;0,00;0,00;0,00;737600,00;0,00;0,00;0,00;0,00;8;30
0831 Fyresdal;0831;Fyresdal;8314200,00;3517000,00;1597000,00;1920000,00;0,00;1233900,00;0,00;46300,00;0,00;0,00;8;30
