"";"fylkenr";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10"
"1";"01";254435777;169858000;51256000;118602000;4798478;59529400;19095399;605400;447400;101700
"2";"02";610405384;426501400;135203000;291298400;22800801;116581900;41167683;1859500;1065400;428700
"3";"03";649739586;443818600;125984000;317834600;9458095;159893300;32726791;1807400;1651200;384200
"4";"04";314281471;199344550;55995000;143349550;10964196;81941700;20445825;908000;608800;68400
"5";"05";386698672,52;276175850;93226400;182949450;19780572,52;74101400;13958650;1534200;908600;239400
"6";"06";410216449;294980050;85099000;209881050;13083166;81402600;17827133;1814100;904000;205400
"7";"07";261275432,8;172303050;53363800;118939250;10919240,8;51892300;24168342;920500;913200;158800
"8";"08";386195559;275070850;84493000;190577850;23318475;60389300;24690034;1585700;913200;228000
"9";"09";232246918;163190000;56921700;106268300;19025502;35599800;13358816;722800;304400;45600
"10";"10";410519709;292179500;104626000;187553500;29848074;69868000;15533435;1625400;1213000;252300
"11";"11";541408480;381326550;119444500;261882050;17255066;119109200;20532064;1938200;1065400;182000
"12";"12";638763347;481051663;166424300;314627363;2754534;123223650;28196250;2227000;908600;401650
"13";"13";0;0;0;0;0;0;0;0;0;0
"14";"14";213584119;150861000;51742000;99119000;489869;55784900;4897650;1166500;304400;79800
"15";"15";440302658;306951341;111988191;194963150;9900918;98117900;21741799;1999900;1351400;239400
"16";"16";415990738;304859462;98011612;206847850;24690185;67663200;15952591;1438200;913200;473900
"17";"17";333541018;242292850;78503000;163789850;11201950;62973500;14937518;1232700;595000;307500
"18";"18";651189444;464905650;152646000;312259650;13559164;137949100;31217230;2491300;599600;467400
"19";"19";373394809;267515600;84683000;182832600;9455517;78258000;16523392;1026100;456600;159600
"20";"20";209829899;140063150;47684500;92378650;4215278;44958100;19370971;792600;304400;125400
