kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
0511 Dovre;0511;Dovre;6216800;3086500;1316000;1770500;0;0;0;21800;0;22000
0512 Lesja;0512;Lesja;0;0;0;0;0;0;0;0;0;0
0513 Skjåk;0513;Skjåk;7382700;3643500;1041500;2602000;0;0;0;63200;0;32500
0514 Lom;0514;Lom;8069000;3996000;156500;3839500;0;0;0;0;0;77000
0515 Vågå;0515;Vågå;10686700;5294500;863000;4431500;0;0;0;20700;0;77000
0516 Nord-Fron;0516;Nord-Fron;13856080;6391000;3009500;3381500;0;0;887880;87200;0;99000
0517 Sel;0517;Sel;11923488;5167000;2471000;2696000;0;0;1436288;87200;0;66000
0519 Sør-Fron;0519;Sør-Fron;2137000;1063000;210000;853000;0;0;0;0;0;11000
0520 Ringebu;0520;Ringebu;7167000;3528500;1457500;2071000;0;0;0;0;0;110000
0521 Øyer;0521;Øyer;21388390;10076500;2865500;7211000;800100;0;73990;21800;143000;196500
0522 Gausdal;0522;Gausdal;4547000;2262500;360000;1902500;0;0;0;0;0;22000
0528 Østre Toten;0528;Østre Toten;19575400;9545000;2250500;7294500;155400;0;0;0;143000;187000
0529 Vestre Toten;0529;Vestre Toten;26637340;13052500;2576000;10476500;0;0;126840;42500;143000;220000
0532 Jevnaker;0532;Jevnaker;5431840;2636000;630000;2006000;0;0;126840;0;0;33000
0533 Lunner;0533;Lunner;36157520;17402000;6138000;11264000;0;0;1014720;64300;0;274500
0534 Gran;0534;Gran;52983773;24959900;7021000;17938900;1057343;0;1469230;174400;0;363000
0536 Søndre Land;0536;Søndre Land;6063800;3010000;1320000;1690000;0;0;0;21800;0;22000
0538 Nordre Land;0538;Nordre Land;23426552;10224000;3998500;6225500;996706;0;1806546;21800;0;153500
0540 Sør-Aurdal;0540;Sør-Aurdal;7921000;3702000;1409000;2293000;0;0;0;0;429000;88000
0541 Etnedal;0541;Etnedal;5362840;2612500;1020000;1592500;0;0;126840;0;0;11000
0542 Nord-Aurdal;0542;Nord-Aurdal;14126600;7019500;2668000;4351500;0;0;0;43600;0;44000
0543 Vestre Slidre;0543;Vestre Slidre;8903360;4159500;0;4159500;0;0;507360;0;0;77000
0544 Øystre Slidre;0544;Øystre Slidre;3383840;1623000;555000;1068000;0;0;126840;0;0;11000
0545 Vang;0545;Vang;4667600;2279000;426500;1852500;0;0;0;43600;0;66000
0602 Drammen;0602;Drammen;148741014;66895700;22583500;44312200;5859900;0;6773214;558000;572000;1186500
0604 Kongsberg;0604;Kongsberg;44638144;20955000;5849000;15106000;597694;0;1638350;152600;0;339500
0605 Ringerike;0605;Ringerike;37945690;18240500;3924000;14316500;352250;0;761040;65400;0;286000
0612 Hole;0612;Hole;4183640;1984500;583000;1401500;0;0;126840;21800;0;66000
0615 Flå;0615;Flå;813680;280000;0;280000;0;0;253680;0;0;0
0616 Nes (Busk.);0616;Nes (Busk.);8018000;3992500;1836500;2156000;0;0;0;0;0;33000
0617 Gol;0617;Gol;9369640;4550000;1824500;2725500;0;0;126840;21800;0;121000
0618 Hemsedal;0618;Hemsedal;7116000;3519500;1213000;2306500;0;0;0;0;0;77000
0619 Ål;0619;Ål;8015600;3630500;1824000;1806500;0;0;634200;65400;0;55000
0620 Hol;0620;Hol;9356080;4529200;1139500;3389700;0;0;253680;0;0;44000
0621 Sigdal;0621;Sigdal;4708541;2079000;820000;1259000;485541;0;0;0;0;65000
0622 Krødsherad;0622;Krødsherad;1142000;560000;0;560000;0;0;0;0;0;22000
0623 Modum;0623;Modum;26172250;11935500;3718000;8217500;0;0;2061150;86100;0;154000
0624 Øvre Eiker;0624;Øvre Eiker;29053786;13899500;4577000;9322500;0;0;664986;151500;143000;295300
0625 Nedre Eiker;0625;Nedre Eiker;26290362;12563250;2582000;9981250;0;0;855862;0;143000;165000
0626 Lier;0626;Lier;41133830;19520500;4887000;14633500;0;0;1786330;109000;0;197500
0627 Røyken;0627;Røyken;21167920;10399000;891500;9507500;0;0;63420;0;0;306500
0628 Hurum;0628;Hurum;27157042;12883000;2642500;10240500;0;0;1109542;85000;0;196500
0631 Flesberg;0631;Flesberg;11712100;5781000;1536500;4244500;0;0;0;62100;0;88000
0632 Rollag;0632;Rollag;5458000;2718000;840000;1878000;0;0;0;0;0;22000
0633 Nore og Uvdal;0633;Nore og Uvdal;12329020;5192500;1381500;3811000;820000;0;1014720;21800;0;87500
0701 Horten;0701;Horten;35887239;15656500;3857000;11799500;952423;0;3097416;150400;143000;231000
0702 Holmestrand;0702;Holmestrand;17137060;6786000;2397500;4388500;2294200;0;1141560;64300;0;65000
0704 Tønsberg;0704;Tønsberg;39154702;18318400;5443500;12874900;0;0;2145402;109000;0;263500
0706 Sandefjord;0706;Sandefjord;37803171;17633000;4641500;12991500;499523;0;1520848;21800;0;495000
0709 Larvik;0709;Larvik;68846446;30515500;7317000;23198500;2497234;0;4627812;107900;0;582500
0711 Svelvik;0711;Svelvik;1863000;931500;0;931500;0;0;0;0;0;0
