"";"naregnr";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10"
"23";"23";28921517;20120200;6580000;13540200;588200;5480900;2617417;69200;0;45600
"24";"24";32221800;24233500;6575000;17658500;0;7268300;556200;163800;0;0
"25";"25";156718795,8;103570650;32671800;70898850;4015170,8;31952400;16123475;593900;304400;158800
"26";"26";87592537;55113800;15455000;39658800;6904070;16733800;8044867;187200;608800;0
"27";"27";254234318;185491850;51988000;133503850;13595251;37516800;15954417;1025600;456600;193800
"28";"28";47605732;30950200;9428000;21522200;6389332;8202600;1854000;209600;0;0
"29";"29";64991217;44870600;16102000;28768600;2477100;10259500;6881617;163800;304400;34200
"30";"30";19364292;13758200;6975000;6783200;856792;4410400;0;186700;152200;0
"31";"31";17223400;13829400;6696000;7133400;0;2883300;370800;139900;0;0
"32";"32";181297468;126119000;40756700;85362300;18225402;24460600;11767466;397800;304400;22800
"33";"33";81046158;55322000;18868000;36454000;960000;23188600;1003358;256400;304400;11400
"34";"34";71219714;45515500;14489000;31026500;7873724;14626900;2818790;301000;0;83800
"35";"35";291979887;214583600;80738000;133845600;21814450;40308400;12931837;1253100;908600;179900
"36";"36";45353950;34025600;13642000;20383600;165100;8858500;2023950;280800;0;0
"37";"37";128459605;95193900;25540000;69653900;6697805;24951200;927000;373900;304400;11400
"38";"38";49530131;35455800;12347000;23108800;2696481;10508700;602550;209600;0;57000
"39";"39";318064794;216651250;67915500;148735750;7695680;74790800;16978564;1073900;761000;113600
"40";"40";355655913;272433463;85230500;187202963;0;60443700;20981100;997300;604200;196150
"41";"41";13092300;9032600;3604000;5428600;0;3966600;0;93100;0;0
"42";"42";52875052;37271900;15724800;21547100;1530452;12734000;927000;190800;152200;68700
"43";"43";31521650;23600400;11878000;11722400;0;7032900;726150;139400;0;22800
"44";"44";32867500;24917400;11570000;13347400;262400;6264950;1282350;140400;0;0
"45";"45";10831150;7682000;1973000;5709000;0;3079400;46350;23400;0;0
"46";"46";73677832;52865200;18348000;34517200;708682;17277700;2302050;315000;152200;57000
"47";"47";68241950;53248700;18096000;35152700;253000;12424400;1931250;327600;0;57000
"48";"48";7884400;4776600;3234000;1542600;0;2967400;0;140400;0;0
"49";"49";59359550;43377600;15558000;27819600;0;12227200;3229050;514300;0;11400
"50";"50";73058800;50263600;17920000;32343600;0;22180600;370800;209600;0;34200
"51";"51";73281369;52443200;15030000;37413200;489869;18409700;1297800;302200;304400;34200
"52";"52";132431234;96819100;37054000;59765100;1882634;29814300;2410200;812000;590400;102600
"53";"53";101687565;70899700;29297000;41602700;3553190;21166800;5053975;488900;456600;68400
"54";"54";21924400;16472700;7159500;9313200;0;5172600;0;115500;152200;11400
"55";"55";101909155;66156291;21124691;45031600;3815040;23424700;8035824;443100;0;34200
"56";"56";82350304;56603550;17353000;39250550;650054;18539500;6241800;140400;152200;22800
"57";"57";27174500;20368000;10539000;9829000;0;6391000;185400;138900;0;91200
"58";"58";9380300;4533000;2250000;2283000;0;4847300;0;0;0;0
"59";"59";20207500;17328400;7759000;9569400;0;2682000;0;185700;0;11400
"60";"60";30880758;22576350;8481000;14095350;0;7944300;196308;117000;0;46800
"61";"61";328426980;240258712;68907612;171351100;24690185;45627100;15570883;1042400;913200;324500
"62";"62";7429700;5850200;2412000;3438200;0;1532700;0;46800;0;0
"63";"63";60200679;44848800;13542000;31306800;1181061;9636800;3825318;231000;295200;182500
"64";"64";135328760;97200300;29413500;67786800;9230010;24218400;4032450;302200;299800;45600
"65";"65";35259450;21162250;10702000;10460250;0;9616500;4295100;162800;0;22800
"66";"66";38733500;33233600;11771000;21462600;160000;5072200;0;233500;0;34200
"67";"67";56509629;39792700;10737500;29055200;630879;13068400;2784650;210600;0;22400
"68";"68";30503900;25466200;10227000;15239200;0;4804300;0;210600;0;22800
"69";"69";62667300;48918350;16182000;32736350;0;10316300;3074550;278300;0;79800
"70";"70";710300;0;0;0;0;710300;0;0;0;0
