Nr;Navn;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24
1445;Gloppen;10;10;10;10;70;80;70;30;30;20;10;50;0;0;20;20;0;0;0;0;0;0;0;0
617;Gol;47;51;52;52;53;61;73;27;43;35;13;58;2;4;12;15;0;0;2;0;2;0;0;0
904;Grimstad;39;45;45;45;36;64;60;27;46;22;16;38;18;13;20;31;0;0;4;0;0;0;0;0
1411;Gulen;14;13;13;13;14;69;85;8;86;31;15;69;0;0;0;23;0;0;0;0;0;0;0;0
2011;Guovdageaidnu Kautokeino;0;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1866;Hadsel;2;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
101;Halden;27;36;36;36;30;50;50;14;63;36;36;56;7;14;14;31;0;0;0;0;0;0;0;0
403;Hamar;21;37;37;37;38;70;68;11;52;24;27;73;10;5;3;16;0;0;3;0;0;0;0;0
1849;Hamarøy;18;17;17;16;17;29;35;0;83;59;35;44;0;12;29;44;0;0;0;6;0;0;0;6
2004;Hammerfest;78;79;78;78;15;41;50;8;62;47;28;46;15;13;18;44;1;0;4;3;6;0;0;2
1534;Haram;9;16;16;16;:;56;50;12;:;44;44;56;:;0;6;31;:;0;0;0;:;0;0;0
1517;Hareid;13;13;13;13;46;46;62;15;31;38;31;46;23;15;8;38;0;0;0;0;0;0;0;0
1903;Harstad;74;93;93;92;18;47;42;11;70;42;38;47;12;10;16;34;0;1;4;4;0;0;0;3
1826;Hattfjelldal;4;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1106;Haugesund;117;135;135;135;34;52;63;24;61;39;22;59;4;9;14;16;1;0;1;1;0;0;0;1
1612;Hemne;2;7;7;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
9999;Herøy;11;10;10;10;36;60;90;30;64;40;10;70;0;0;0;0;0;0;0;0;0;0;0;0
9999;Herøy;8;7;7;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1617;Hitra;10;16;16;16;10;50;69;12;80;44;31;44;10;6;0;44;0;0;0;0;0;0;0;0
701;Horten;36;35;35;35;19;63;74;14;69;31;20;66;8;6;6;20;0;0;0;0;3;0;0;0
628;Hurum;21;23;23;23;19;39;35;13;38;48;48;43;43;13;17;43;0;0;0;0;0;0;0;0
1413;Hyllestad;0;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1416;Høyanger;7;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1119;Hå;0;16;16;16;:;62;75;38;:;38;25;56;:;0;0;6;:;0;0;0;:;0;0;0
1917;Inderøy;10;10;10;10;90;40;50;0;10;60;30;40;0;0;20;60;0;0;0;0;0;0;0;0
