"Kommune nr & navn";"kommune_nr";"Kommune
navn";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf"
"Nedbrytninger";"";"";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0"
"";"";"";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent"
"0101 Halden";"101";"Halden";"28776";"2294";"26482";"562";"25920";"100";"7,971921045";"92,02807895";"1,953016403";"90,07506255";"14285";"1102";"13183";"298";"12885";"49,64206283";"3,829580206";"45,81248262";"1,03558521";"44,77689741";"14491";"1192";"13299";"264";"13035";"50,35793717";"4,14234084";"46,21559633";"0,917431193";"45,29816514"
"0102 Sarpsborg (-1991)";"102";"Sarpsborg (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0103 Fredrikstad (-1993)";"103";"Fredrikstad (-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0104 Moss";"104";"Moss";"30030";"3579";"26451";"991";"25460";"100";"11,91808192";"88,08191808";"3,3000333";"84,78188478";"14748";"1818";"12930";"553";"12377";"49,11088911";"6,053946054";"43,05694306";"1,841491841";"41,21545122";"15282";"1761";"13521";"438";"13083";"50,88911089";"5,864135864";"45,02497502";"1,458541459";"43,56643357"
"0105 Sarpsborg";"105";"Sarpsborg";"52159";"5336";"46823";"1180";"45643";"100";"10,23025748";"89,76974252";"2,262313311";"87,50742921";"25919";"2781";"23138";"616";"22522";"49,69228705";"5,331773999";"44,36051305";"1,181004237";"43,17950881";"26240";"2555";"23685";"564";"23121";"50,30771295";"4,898483483";"45,40922947";"1,081309074";"44,3279204"
"0106 Fredrikstad";"106";"Fredrikstad";"73638";"7042";"66596";"1512";"65084";"100";"9,562997365";"90,43700263";"2,053287705";"88,38371493";"36193";"3541";"32652";"783";"31869";"49,14989543";"4,808658573";"44,34123686";"1,063309704";"43,27792716";"37445";"3501";"33944";"729";"33215";"50,85010457";"4,754338792";"46,09576577";"0,989978";"45,10578777"
"0111 Hvaler";"111";"Hvaler";"4085";"147";"3938";"14";"3924";"100";"3,598531212";"96,40146879";"0,342717258";"96,05875153";"2078";"68";"2010";"8";"2002";"50,86903305";"1,664626683";"49,20440636";"0,195838433";"49,00856793";"2007";"79";"1928";"6";"1922";"49,13096695";"1,933904529";"47,19706242";"0,146878825";"47,0501836"
"0113 Borge (-1993)";"113";"Borge (-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0114 Varteig (-1991)";"114";"Varteig (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0115 Skjeberg (-1991)";"115";"Skjeberg (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0116 Berg  (-1966)";"116";"Berg  (-1966)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0117 Idd (-1966)";"117";"Idd (-1966)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0118 Aremark";"118";"Aremark";"1424";"44";"1380";"9";"1371";"100";"3,08988764";"96,91011236";"0,632022472";"96,27808989";"715";"15";"700";"5";"695";"50,21067416";"1,053370787";"49,15730337";"0,351123596";"48,80617978";"709";"29";"680";"4";"676";"49,78932584";"2,036516854";"47,75280899";"0,280898876";"47,47191011"
"0119 Marker";"119";"Marker";"3471";"240";"3231";"21";"3210";"100";"6,914433881";"93,08556612";"0,605012965";"92,48055315";"1747";"101";"1646";"14";"1632";"50,33131662";"2,909824258";"47,42149237";"0,403341976";"47,01815039";"1724";"139";"1585";"7";"1578";"49,66868338";"4,004609623";"45,66407375";"0,201670988";"45,46240277"
"0121 Rømskog";"121";"Rømskog";"688";"43";"645";"1";"644";"100";"6,25";"93,75";"0,145348837";"93,60465116";"359";"24";"335";"0";"335";"52,18023256";"3,488372093";"48,69186047";"0";"48,69186047";"329";"19";"310";"1";"309";"47,81976744";"2,761627907";"45,05813953";"0,145348837";"44,9127907"
"0122 Trøgstad";"122";"Trøgstad";"5092";"279";"4813";"32";"4781";"100";"5,479183032";"94,52081697";"0,628436764";"93,8923802";"2562";"141";"2421";"18";"2403";"50,31421838";"2,769049489";"47,54516889";"0,353495679";"47,19167321";"2530";"138";"2392";"14";"2378";"49,68578162";"2,710133543";"46,97564808";"0,274941084";"46,70070699"
"0123 Spydeberg";"123";"Spydeberg";"5167";"312";"4855";"43";"4812";"100";"6,038320108";"93,96167989";"0,832204374";"93,12947552";"2560";"151";"2409";"24";"2385";"49,54519063";"2,922392104";"46,62279853";"0,464486162";"46,15831237";"2607";"161";"2446";"19";"2427";"50,45480937";"3,115928005";"47,33888136";"0,367718212";"46,97116315"
"0124 Askim";"124";"Askim";"14864";"1878";"12986";"536";"12450";"100";"12,63455328";"87,36544672";"3,606027987";"83,75941873";"7368";"970";"6398";"301";"6097";"49,56942949";"6,52583423";"43,04359526";"2,025026911";"41,01856835";"7496";"908";"6588";"235";"6353";"50,43057051";"6,108719053";"44,32185145";"1,581001076";"42,74085038"
"0125 Eidsberg";"125";"Eidsberg";"10821";"992";"9829";"167";"9662";"100";"9,167359763";"90,83264024";"1,543295444";"89,28934479";"5372";"507";"4865";"82";"4783";"49,64421033";"4,685334073";"44,95887626";"0,757785787";"44,20109047";"5449";"485";"4964";"85";"4879";"50,35578967";"4,482025691";"45,87376398";"0,785509657";"45,08825432"
"0127 Skiptvet";"127";"Skiptvet";"3541";"235";"3306";"22";"3284";"100";"6,636543349";"93,36345665";"0,62129342";"92,74216323";"1788";"134";"1654";"9";"1645";"50,49421067";"3,78424174";"46,70996894";"0,25416549";"46,45580345";"1753";"101";"1652";"13";"1639";"49,50578933";"2,85230161";"46,65348772";"0,36712793";"46,28635979"
"0128 Rakkestad";"128";"Rakkestad";"7517";"578";"6939";"136";"6803";"100";"7,689237728";"92,31076227";"1,809232407";"90,50152987";"3747";"301";"3446";"57";"3389";"49,84701344";"4,004257017";"45,84275642";"0,758281229";"45,08447519";"3770";"277";"3493";"79";"3414";"50,15298656";"3,68498071";"46,46800585";"1,050951177";"45,41705468"
"0130 Tune (-1991)";"130";"Tune (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0131 Rolvsøy (1911-1993)";"131";"Rolvsøy (1911-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0133 Kråkerøy (1908-1993)";"133";"Kråkerøy (1908-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0134 Onsøy (-1993)";"134";"Onsøy (-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0135 Råde";"135";"Råde";"6882";"389";"6493";"38";"6455";"100";"5,65242662";"94,34757338";"0,552165068";"93,79540831";"3462";"215";"3247";"16";"3231";"50,30514385";"3,124091834";"47,18105202";"0,232490555";"46,94856146";"3420";"174";"3246";"22";"3224";"49,69485615";"2,528334786";"47,16652136";"0,319674513";"46,84684685"
"0136 Rygge";"136";"Rygge";"14293";"1101";"13192";"301";"12891";"100";"7,703071434";"92,29692857";"2,105925978";"90,19100259";"7110";"552";"6558";"157";"6401";"49,74463024";"3,862030365";"45,88259987";"1,098439796";"44,78416008";"7183";"549";"6634";"144";"6490";"50,25536976";"3,841041069";"46,41432869";"1,007486182";"45,40684251"
"0137 Våler (Østf.)";"137";"Våler (Østf.)";"4472";"310";"4162";"47";"4115";"100";"6,932021467";"93,06797853";"1,0509839";"92,01699463";"2286";"168";"2118";"25";"2093";"51,11806798";"3,756708408";"47,36135957";"0,559033989";"46,80232558";"2186";"142";"2044";"22";"2022";"48,88193202";"3,175313059";"45,70661896";"0,491949911";"45,21466905"
"0138 Hobøl";"138";"Hobøl";"4742";"402";"4340";"58";"4282";"100";"8,477435681";"91,52256432";"1,223112611";"90,29945171";"2393";"198";"2195";"24";"2171";"50,46393927";"4,175453395";"46,28848587";"0,506115563";"45,78237031";"2349";"204";"2145";"34";"2111";"49,53606073";"4,301982286";"45,23407845";"0,716997048";"44,5170814"
"0199 Uoppgitt kommune Østfold";"199";"Uoppgitt kommune Østfold";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0211 Vestby";"211";"Vestby";"14373";"1294";"13079";"229";"12850";"100";"9,002991721";"90,99700828";"1,59326515";"89,40374313";"7155";"644";"6511";"118";"6393";"49,78083907";"4,480623391";"45,30021568";"0,820983789";"44,47923189";"7218";"650";"6568";"111";"6457";"50,21916093";"4,52236833";"45,6967926";"0,772281361";"44,92451124"
"0213 Ski";"213";"Ski";"28023";"2781";"25242";"665";"24577";"100";"9,923991007";"90,07600899";"2,373050708";"87,70295828";"13945";"1401";"12544";"349";"12195";"49,76269493";"4,999464725";"44,7632302";"1,24540556";"43,51782464";"14078";"1380";"12698";"316";"12382";"50,23730507";"4,924526282";"45,31277879";"1,127645149";"44,18513364"
"0214 Ås";"214";"Ås";"16386";"2206";"14180";"355";"13825";"100";"13,46271207";"86,53728793";"2,166483584";"84,37080435";"8311";"1202";"7109";"195";"6914";"50,72012694";"7,335530331";"43,38459661";"1,190040278";"42,19455633";"8075";"1004";"7071";"160";"6911";"49,27987306";"6,127181741";"43,15269132";"0,976443305";"42,17624802"
"0215 Frogn";"215";"Frogn";"14622";"1080";"13542";"158";"13384";"100";"7,386130488";"92,61386951";"1,080563534";"91,53330598";"7169";"494";"6675";"73";"6602";"49,02886062";"3,378470797";"45,65038982";"0,499247709";"45,15114211";"7453";"586";"6867";"85";"6782";"50,97113938";"4,007659691";"46,96347969";"0,581315825";"46,38216386"
"0216 Nesodden";"216";"Nesodden";"17348";"1634";"15714";"184";"15530";"100";"9,418953193";"90,58104681";"1,060640996";"89,52040581";"8477";"775";"7702";"104";"7598";"48,86442241";"4,467373761";"44,39704865";"0,599492737";"43,79755591";"8871";"859";"8012";"80";"7932";"51,13557759";"4,951579433";"46,18399816";"0,461148259";"45,7228499"
"0217 Oppegård";"217";"Oppegård";"24882";"2285";"22597";"476";"22121";"100";"9,18334539";"90,81665461";"1,913029499";"88,90362511";"12231";"1069";"11162";"265";"10897";"49,1560164";"4,296278434";"44,85973796";"1,065026927";"43,79471104";"12651";"1216";"11435";"211";"11224";"50,8439836";"4,887066956";"45,95691665";"0,848002572";"45,10891407"
"0219 Bærum";"219";"Bærum";"111213";"14193";"97020";"2457";"94563";"100";"12,76199725";"87,23800275";"2,209274096";"85,02872866";"54582";"6890";"47692";"1248";"46444";"49,07879475";"6,195318893";"42,88347585";"1,122170969";"41,76130488";"56631";"7303";"49328";"1209";"48119";"50,92120525";"6,566678356";"44,3545269";"1,087103126";"43,26742377"
"0220 Asker";"220";"Asker";"54623";"6630";"47993";"1153";"46840";"100";"12,13774417";"87,86225583";"2,110832433";"85,75142339";"26960";"3286";"23674";"578";"23096";"49,35649818";"6,015780898";"43,34071728";"1,058162313";"42,28255497";"27663";"3344";"24319";"575";"23744";"50,64350182";"6,121963276";"44,52153855";"1,052670121";"43,46886843"
