Kommunenr;Kommune;Anmodning 2013;Vedtak 2013
101;Halden;30;10
104;Moss;40;20
105;Sarpsborg;50;50
106;Fredrikstad;85;50
111;Hvaler;10;10
118;Aremark;15;0
119;Marker;15;0
121;Rømskog;;
122;Trøgstad;15;5
123;Spydeberg;15;10
124;Askim;20;10
125;Eidsberg;25;12
127;Skiptvet;10;5
128;Rakkestad;15;6
135;Råde;15;0
136;Rygge;15;
137;Våler (Østfold);15;2
138;Hobøl;15;3
211;Vestby;30;15
213;Ski;50;20
214;Ås;15;15
215;Frogn;15;10
216;Nesodden;20;20
217;Oppegård;35;35
219;Bærum;135;135
220;Asker;70;50
221;Aurskog Høland;20;10
226;Sørum;15;15
227;Fet;15;10
228;Rælingen;26;10
229;Enebakk;15;5
230;Lørenskog;50;22
231;Skedsmo;70;60
233;Nittedal;15;15
234;Gjerdrum;15;10
235;Ullensaker;20;15
236;Nes (Akershus);20;20
237;Eidsvoll;20;15
238;Nannestad;15;10
239;Hurdal;10;4
301;Oslo;490;450
402;Kongsvinger;28;25
403;Hamar;70;40
412;Ringsaker;28;30
415;Løten;15;10
417;Stange;30;35
418;Nord-Odal;11;0
419;Sør-Odal;11;10
420;Eidskog;12;
423;Grue;12;3
425;Åsnes;12;5
426;Våler (Hedmark);;
427;Elverum;38;35
428;Trysil;12;10
429;Åmot;5;2
430;Stor-Elvdal;12;5
432;Rendalen;;7
434;Engerdal;10;5
436;Tolga;12;7
437;Tynset;18;15
438;Alvdal;12;10
439;Folldal;10;
441;Os (Østerdalen);10;3
501;Lillehammer;60;45
502;Gjøvik;50;50
511;Dovre;10;5
512;Lesja;;
513;Skjåk;10;7
514;Lom;10;11
515;Vågå;15;10
516;Nord-Fron;20;15
517;Sel;10;5
519;Sør-Fron;;
520;Ringebu;10;5
521;Øyer;20;15
522;Gausdal;10;5
528;Østre Toten;20;15
529;Vestre Toten;20;15
532;Jevnaker;10;10
533;Lunner;35;30
534;Gran;33;33
536;Søndre Land;10;10
538;Nordre Land;20;15
540;Sør-Aurdal;10;8
541;Etnedal;10;5
542;Nord-Aurdal;15;10
543;Vestre Slidre;10;0
544;Øystre Slidre;10;5
545;Vang;2;2
602;Drammen;130;130
604;Kongsberg;43;35
605;Ringerike;40;30
612;Hole;14;9
615;Flå;;
616;Nes (Buskerud);14;5
617;Gol;14;10
618;Hemsedal;14;7
619;Ål;14;10
620;Hol;14;5
621;Sigdal;10;5
622;Krødsherad;10;5
623;Modum;20;20
624;Øvre Eiker;26;20
625;Nedre Eiker;26;15
626;Lier;26;20
627;Røyken;26;20
628;Hurum;26;20
631;Flesberg;14;10
632;Rollag;20;8
633;Nore og Uvdal;14;6
701;Horten;35;45
702;Holmestrand;15;8
704;Tønsberg;45;30
706;Sandefjord;45;30
709;Larvik;45;40
711;Svelvik;15;5
713;Sande (Vestfold);15;
714;Hof;15;5
716;Re;20;10
719;Andebu;15;0
720;Stokke;20;20
722;Nøtterøy;25;20
723;Tjøme;15;8
728;Lardal;15;5
805;Porsgrunn;75;55
806;Skien;110;85
807;Notodden;40;32
811;Siljan;15;10
814;Bamble;45;38
815;Kragerø;45;35
817;Drangedal;10;5
819;Nome;15;10
821;Bø (Telemark);20;14
822;Sauherad;20;15
826;Tinn;20;10
827;Hjartdal;10;8
828;Seljord;10;10
829;Kviteseid;;
830;Nissedal;;
831;Fyresdal;10;10
833;Tokke;;
834;Vinje;10;10
901;Risør;25;25
904;Grimstad;40;30
906;Arendal;95;51
911;Gjerstad;15;10
912;Vegårshei;15;0
914;Tvedestrand;25;6
919;Froland;15;3
926;Lillesand;30;20
928;Birkenes;20;8
929;Åmli;15;10
935;Iveland;10;10
937;Evje og Hornnes;15;10
938;Bygland;;
940;Valle;15;9
941;Bykle;10;4
1001;Kristiansand;180;160
1002;Mandal;45;28
1003;Farsund;30;20
1004;Flekkefjord;30;15
1014;Vennesla;35;25
1017;Songdalen;30;20
1018;Søgne;35;9
1021;Marnardal;15;5
1026;Åseral;10;5
1027;Audnedal;10;10
1029;Lindesnes;20;10
1032;Lyngdal;35;20
1034;Hægebostad;10;0
1037;Kvinesdal;25;25
1046;Sirdal;15;5
1101;Eigersund;35;35
1102;Sandnes;80;60
1103;Stavanger;150;115
1106;Haugesund;75;44
1111;Sokndal;10;
1112;Lund;25;10
1114;Bjerkreim;10;
1119;Hå;40;10
1120;Klepp;40;20
1121;Time;40;20
1122;Gjesdal;35;15
1124;Sola;45;20
1127;Randaberg;35;20
1129;Forsand;5;
1130;Strand;35;15
1133;Hjelmeland;25;10
1134;Suldal;30;10
1135;Sauda;30;10
1141;Finnøy;10;
1142;Rennesøy;25;7
1144;Kvitsøy;5;
1145;Bokn;5;
1146;Tysvær;40;20
1149;Karmøy;75;30
1151;Utsira;5;
1160;Vindafjord;35;12
1201;Bergen;340;300
1211;Etne;15;5
1216;Sveio;30;13
1219;Bømlo;40;15
1221;Stord;40;
1222;Fitjar;10;
1223;Tysnes;10;5
1224;Kvinnherad;30;
1227;Jondal;5;
1228;Odda;30;20
1231;Ullensvang;25;15
1232;Eidfjord;5;5
1233;Ulvik;5;
1234;Granvin;5;0
1235;Voss;40;25
1238;Kvam;25;15
1241;Fusa;10;
1242;Samnanger;25;0
1243;Os (Hordaland);25;10
1244;Austevoll;20;
1245;Sund;25;0
1246;Fjell;45;20
1247;Askøy;45;25
1251;Vaksdal;25;6
1252;Modalen;5;0
1253;Osterøy;20;
1256;Meland;35;10
1259;Øygarden;35;15
1260;Radøy;25;6
1263;Lindås;25;17
1264;Austrheim;10;15
1265;Fedje;5;0
1266;Masfjorden;5;0
1401;Flora;40;40
1411;Gulen;10;
1412;Solund;5;
1413;Hyllestad;5;8
1416;Høyanger;15;9
1417;Vik;10;10
1418;Balestrand;15;0
1419;Leikanger;10;10
1420;Sogndal;35;35
1421;Aurland;5;
1422;Lærdal;15;
1424;Årdal;20;
1426;Luster;15;10
1428;Askvoll;10;
1429;Fjaler;10;0
1430;Gaular;10;
1431;Jølster;15;5
1432;Førde;40;20
1433;Naustdal;10;
1438;Bremanger;25;
1439;Vågsøy;10;
1441;Selje;10;
1443;Eid;30;10
1444;Hornindal;5;
1445;Gloppen;30;15
1449;Stryn;35;20
1502;Molde;55;55
1504;Ålesund;60;40
1505;Kristiansund;50;40
1511;Vanylven;;
1514;Sande (Møre og Romsdal);10;
1515;Herøy (Møre og Romsdal);25;10
1516;Ulstein;25;20
1517;Hareid;15;10
1519;Volda;30;25
1520;Ørsta;35;25
1523;Ørskog;10;10
1524;Norddal;;
1525;Stranda;10;0
1526;Stordal;;
1528;Sykkylven;20;5
1529;Skodje;15;0
1531;Sula;20;6
1532;Giske;15;6
1534;Haram;25;10
1535;Vestnes;15;15
1539;Rauma;15;
1543;Nesset;10;
1545;Midsund;;
1546;Sandøy;;
1547;Aukra;10;0
1548;Fræna;25;15
1551;Eide;15;5
1554;Averøy;15;15
1557;Gjemnes;;
1560;Tingvoll;10;5
1563;Sunndal;25;25
1566;Surnadal;15;15
1567;Rindal;;
1571;Halsa;;
1573;Smøla;;
1576;Aure;10;5
1601;Trondheim;290;250
1612;Hemne;10;3
1613;Snillfjord;;
1617;Hitra;10;
1620;Frøya;10;
1621;Ørland;15;
1622;Agdenes;;
1624;Rissa;15;15
1627;Bjugn;10;0
1630;Åfjord;10;
1632;Roan;;
1633;Osen;;
1634;Oppdal;20;15
1635;Rennebu;10;10
1636;Meldal;10;
1638;Orkdal;25;20
1640;Røros;15;10
1644;Holtålen;;
1648;Midtre Gauldal;15;8
1653;Melhus;30;15
1657;Skaun;20;8
1662;Klæbu;15;
1663;Malvik;25;15
1664;Selbu;10;
1702;Steinkjer;45;30
1703;Namsos;40;40
1711;Meråker;20;10
1714;Stjørdal;45;35
1717;Frosta;10;
1718;Leksvik;10;10
1719;Levanger;45;45
1721;Verdal;35;25
1724;Verran;15;15
1725;Namdalseid;10;
1729;Inderøy;15;
1736;Snåsa;10;10
1738;Lierne;;
1739;Røyrvik;;
1740;Namsskogan;;
1742;Grong;15;10
1743;Høylandet;10;
1744;Overhalla;10;10
1748;Fosnes;;
1749;Flatanger;;
1750;Vikna;15;10
1751;Nærøy;15;15
1755;Leka;;
1804;Bodø;90;70
1805;Narvik;55;40
1811;Bindal;;
1812;Sømna;20;10
1813;Brønnøy;30;25
1815;Vega;;
1816;Vevelstad;;
1818;Herøy (Nordland);10;0
1820;Alstahaug;30;30
1822;Leirfjord;15;20
1824;Vefsn;30;25
1825;Grane;;
1826;Hattfjelldal;15;10
1827;Dønna;15;0
