Kommunenr;Kommune;Anmodning 2013;Vedtak 2013
1828;Nesna;15;11
1832;Hemnes;10;
1833;Rana;60;50
1834;Lurøy;;
1835;Træna;;
1836;Rødøy;;
1837;Meløy;15;15
1838;Gildeskål;15;15
1839;Beiarn;10;10
1840;Saltdal;10;10
1841;Fauske;20;18
1845;Sørfold;;
1848;Steigen;10;10
1849;Hamarøy;15;15
1850;Tysfjord;10;10
1851;Lødingen;15;10
1852;Tjeldsund;;
1853;Evenes;10;
1854;Ballangen;10;10
1856;Røst;10;
1857;Værøy;;
1859;Flakstad;;
1860;Vestvågøy;40;40
1865;Vågan;40;40
1866;Hadsel;30;15
1867;Bø (Nordland);10;15
1868;Øksnes;20;10
1870;Sortland;30;25
1871;Andøy;30;30
1874;Moskenes;;
1901;Harstad;70;60
1902;Tromsø;100;100
1911;Kvæfjord;10;0
1913;Skånland;10;10
1917;Ibestad;15;5
1919;Gratangen;10;5
1920;Lavangen;10;
1922;Bardu;10;10
1923;Salangen;20;20
1924;Målselv;20;10
1925;Sørreisa;15;14
1926;Dyrøy;;
1927;Tranøy;15;15
1928;Torsken;;
1929;Berg;15;10
1931;Lenvik;40;40
1933;Balsfjord;20;
1936;Karlsøy;;
1938;Lyngen;;
1939;Storfjord;10;5
1940;Kåfjord;;
1941;Skjervøy;10;
1942;Nordreisa;20;10
1943;Kvænangen;;
2002;Vardø;20;
2003;Vadsø;90;80
2004;Hammerfest;25;30
2011;Kautokeino;;
2012;Alta;30;35
2014;Loppa;;
2015;Hasvik;;
2017;Kvalsund;;
2018;Måsøy;;
2019;Nordkapp;10;0
2020;Porsanger;15;15
2021;Karasjok;;
2022;Lebesby;;
2023;Gamvik;;
2024;Berlevåg;;
2025;Deatnu-Tana;;
2027;Unjargga-Nesseby;;10
2028;Båtsfjord;10;0
2030;Sør-Varanger;35;35
