"Fylke nr & navn";"fylke_nr";"Fylke
navn";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf"
"Nedbrytninger";"";"";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0"
"";"";"";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent"
"00 Hele landet";"0";"Hele landet";"4606363";"301045";"4305318";"63936";"4241382";"100";"6,535416336";"93,46458366";"1,387993087";"92,07659058";"2284070";"147032";"2137038";"32738";"2104300";"49,58510651";"3,191932551";"46,39317396";"0,710712551";"45,68246141";"2322293";"154013";"2168280";"31198";"2137082";"50,41489349";"3,343483785";"47,0714097";"0,677280536";"46,39412916"
"01 Østfold";"1";"Østfold";"258542";"16821";"241721";"3586";"238135";"100";"6,506099589";"93,49390041";"1,387008687";"92,10689172";"127298";"8174";"119124";"1895";"117229";"49,23687447";"3,161575295";"46,07529918";"0,732956348";"45,34234283";"131244";"8647";"122597";"1691";"120906";"50,76312553";"3,344524294";"47,41860123";"0,65405234";"46,76454889"
"02 Akershus";"2";"Akershus";"494218";"37143";"457075";"7856";"449219";"100";"7,51550935";"92,48449065";"1,589581925";"90,89490872";"244268";"17394";"226874";"4004";"222870";"49,42515246";"3,519499492";"45,90565297";"0,810168792";"45,09548418";"249950";"19749";"230201";"3852";"226349";"50,57484754";"3,996009858";"46,57883768";"0,779413133";"45,79942455"
"03 Oslo";"3";"Oslo";"529846";"89523";"440323";"28814";"411509";"100";"16,89604149";"83,10395851";"5,438183925";"77,66577458";"258398";"45316";"213082";"14788";"198294";"48,7685101";"8,552673796";"40,2158363";"2,790999649";"37,42483665";"271448";"44207";"227241";"14026";"213215";"51,2314899";"8,343367696";"42,88812221";"2,647184276";"40,24093793"
"04 Hedmark";"4";"Hedmark";"188376";"7232";"181144";"958";"180186";"100";"3,83913025";"96,16086975";"0,508557353";"95,6523124";"93100";"3423";"89677";"429";"89248";"49,42243173";"1,81711046";"47,60532127";"0,227736017";"47,37758526";"95276";"3809";"91467";"529";"90938";"50,57756827";"2,02201979";"48,55554848";"0,280821336";"48,27472714"
"05 Oppland";"5";"Oppland";"183174";"6832";"176342";"850";"175492";"100";"3,729786979";"96,27021302";"0,464039656";"95,80617337";"90697";"3297";"87400";"420";"86980";"49,51412318";"1,799927937";"47,71419525";"0,229290183";"47,48490506";"92477";"3535";"88942";"430";"88512";"50,48587682";"1,929859041";"48,55601778";"0,234749473";"48,3212683"
"06 Buskerud";"6";"Buskerud";"243491";"17103";"226388";"4266";"222122";"100";"7,024078919";"92,97592108";"1,752015475";"91,22390561";"120129";"8211";"111918";"2147";"109771";"49,33611509";"3,372198562";"45,96391653";"0,881757437";"45,08215909";"123362";"8892";"114470";"2119";"112351";"50,66388491";"3,651880357";"47,01200455";"0,870258038";"46,14174651"
"07 Vestfold";"7";"Vestfold";"220736";"12174";"208562";"2056";"206506";"100";"5,515185561";"94,48481444";"0,9314294";"93,55338504";"108332";"5668";"102664";"1038";"101626";"49,0776312";"2,567773268";"46,50985793";"0,470244999";"46,03961293";"112404";"6506";"105898";"1018";"104880";"50,9223688";"2,947412293";"47,97495651";"0,461184401";"47,51377211"
"08 Telemark";"8";"Telemark";"166289";"8771";"157518";"1404";"156114";"100";"5,274552135";"94,72544786";"0,844313214";"93,88113465";"81914";"4225";"77689";"713";"76976";"49,26002321";"2,540757356";"46,71926586";"0,428771596";"46,29049426";"84375";"4546";"79829";"691";"79138";"50,73997679";"2,733794779";"48,00618201";"0,415541617";"47,59064039"
"09 Aust-Agder";"9";"Aust-Agder";"103596";"5035";"98561";"636";"97925";"100";"4,860226264";"95,13977374";"0,613923318";"94,52585042";"51524";"2391";"49133";"340";"48793";"49,73551102";"2,30800417";"47,42750685";"0,328198";"47,09930885";"52072";"2644";"49428";"296";"49132";"50,26448898";"2,552222094";"47,71226688";"0,285725318";"47,42654157"
"10 Vest-Agder";"10";"Vest-Agder";"161276";"10481";"150795";"1741";"149054";"100";"6,498797093";"93,50120291";"1,079515861";"92,42168705";"80092";"5124";"74968";"924";"74044";"49,66144994";"3,177162132";"46,4842878";"0,572930876";"45,91135693";"81184";"5357";"75827";"817";"75010";"50,33855006";"3,321634961";"47,0169151";"0,506584985";"46,51033012"
"11 Rogaland";"11";"Rogaland";"393104";"23150";"369954";"4140";"365814";"100";"5,889026822";"94,11097318";"1,053156417";"93,05781676";"196551";"11812";"184739";"2114";"182625";"49,99974561";"3,0048028";"46,99494281";"0,537771175";"46,45717164";"196553";"11338";"185215";"2026";"183189";"50,00025439";"2,884224022";"47,11603036";"0,515385242";"46,60064512"
"12 Hordaland";"12";"Hordaland";"448343";"21520";"426823";"3361";"423462";"100";"4,799896508";"95,20010349";"0,749649264";"94,45045423";"223037";"10627";"212410";"1705";"210705";"49,74695713";"2,370283466";"47,37667366";"0,380289198";"46,99638446";"225306";"10893";"214413";"1656";"212757";"50,25304287";"2,429613042";"47,82342983";"0,369360066";"47,45406976"
"14 Sogn og Fjordane";"14";"Sogn og Fjordane";"107032";"4050";"102982";"383";"102599";"100";"3,783915091";"96,21608491";"0,357836909";"95,858248";"54030";"1982";"52048";"189";"51859";"50,48023021";"1,851782644";"48,62844757";"0,176582704";"48,45186486";"53002";"2068";"50934";"194";"50740";"49,51976979";"1,932132446";"47,58763734";"0,181254204";"47,40638314"
"15 Møre og Romsdal";"15";"Møte og Romsdal";"244689";"8283";"236406";"903";"235503";"100";"3,385113348";"96,61488665";"0,369039883";"96,24584677";"122585";"3740";"118845";"464";"118381";"50,09828803";"1,528470834";"48,5698172";"0,189628467";"48,38018873";"122104";"4543";"117561";"439";"117122";"49,90171197";"1,856642514";"48,04506946";"0,179411416";"47,86565804"
"16 Sør-Trøndelag";"16";"Sør-Trøndelag";"272567";"12137";"260430";"1655";"258775";"100";"4,452850125";"95,54714988";"0,607190159";"94,93995972";"135464";"5997";"129467";"868";"128599";"49,69933998";"2,20019298";"47,499147";"0,318453811";"47,18069319";"137103";"6140";"130963";"787";"130176";"50,30066002";"2,252657145";"48,04800288";"0,288736347";"47,75926653"
"17 Nord-Trøndelag";"17";"Nord-Trøndelag";"128444";"3426";"125018";"259";"124759";"100";"2,667310268";"97,33268973";"0,201644296";"97,13104544";"64143";"1576";"62567";"141";"62426";"49,9384946";"1,226993865";"48,71150073";"0,109775466";"48,60172527";"64301";"1850";"62451";"118";"62333";"50,0615054";"1,440316402";"48,621189";"0,09186883";"48,52932017"
"18 Nordland";"18";"Nordland";"236825";"7440";"229385";"464";"228921";"100";"3,141560224";"96,85843978";"0,195925261";"96,66251451";"118469";"3604";"114865";"244";"114621";"50,02385728";"1,521798797";"48,50205848";"0,103029663";"48,39902882";"118356";"3836";"114520";"220";"114300";"49,97614272";"1,619761427";"48,35638129";"0,092895598";"48,2634857"
"19 Troms Romsa";"19";"Troms Romsa";"152741";"6084";"146657";"408";"146249";"100";"3,983213414";"96,01678659";"0,267118848";"95,74966774";"76907";"2891";"74016";"218";"73798";"50,35124819";"1,892746545";"48,45850165";"0,142725267";"48,31577638";"75834";"3193";"72641";"190";"72451";"49,64875181";"2,090466869";"47,55828494";"0,124393581";"47,43389136"
"20 Finnmark Finnmárku";"20";"Finnmark Finnmárku";"73074";"3840";"69234";"196";"69038";"100";"5,25494704";"94,74505296";"0,268221255";"94,4768317";"37132";"1580";"35552";"97";"35455";"50,8142431";"2,162191751";"48,65205135";"0,132742152";"48,51930919";"35942";"2260";"33682";"99";"33583";"49,1857569";"3,092755289";"46,09300161";"0,135479103";"45,95752251"
