Nr;Navn;2010;2011;2012;2013;2014
829;Kviteseid;2522;2501;2498;2507;2468
830;Nissedal;1404;1405;1430;1430;1451
831;Fyresdal;1381;1351;1335;1350;1303
833;Tokke;2337;2316;2287;2284;2257
834;Vinje;3641;3661;3700;3721;3723
901;Risør;6894;6871;6899;6848;6899
904;Grimstad;20497;20823;21301;21594;21783
906;Arendal;41655;42229;42801;43336;43841
911;Gjerstad;2478;2497;2478;2484;2489
912;Vegårshei;1886;1922;1933;1986;2000
914;Tvedestrand;5939;5969;6019;6064;6059
919;Froland;5002;5127;5257;5425;5486
926;Lillesand;9465;9713;9878;10032;10106
928;Birkenes;4689;4776;4828;4936;4993
929;Åmli;1861;1829;1825;1815;1810
935;Iveland;1254;1305;1298;1283;1314
937;Evje og Hornnes;3397;3475;3496;3556;3549
938;Bygland;1223;1239;1219;1207;1200
940;Valle;1289;1284;1293;1277;1270
941;Bykle;970;989;970;929;948
1001;Kristiansand;81295;82394;83243;84476;85983
1002;Mandal;14696;14960;15149;15237;15349
1003;Farsund;9410;9415;9433;9441;9516
1004;Flekkefjord;9003;9013;9046;9060;9013
1014;Vennesla;13116;13334;13583;13756;13986
1017;Songdalen;5940;5999;6165;6285;6303
1018;Søgne;10509;10709;10855;10960;11005
1021;Marnardal;2231;2227;2286;2292;2290
1026;Åseral;917;912;912;912;923
1027;Audnedal;1670;1660;1689;1728;1743
1029;Lindesnes;4661;4724;4753;4796;4853
1032;Lyngdal;7739;7815;7895;8011;8102
1034;Hægebostad;1624;1639;1665;1669;1690
1037;Kvinesdal;5776;5816;5834;5899;5891
1046;Sirdal;1790;1791;1816;1831;1831
1101;Eigersund;14170;14346;14475;14636;14811
1102;Sandnes;64671;66245;67814;70046;71900
1103;Stavanger;123850;126021;127506;129191;130754
1106;Haugesund;34049;34619;35099;35753;36099
1111;Sokndal;3285;3265;3257;3286;3303
1112;Lund;3139;3186;3183;3173;3225
1114;Bjerkreim;2583;2651;2739;2779;2820
1119;Hå;16342;16822;17244;17635;18115
1120;Klepp;16918;17397;17746;18227;18485
1121;Time;16077;16450;16769;17437;17897
1122;Gjesdal;10208;10508;10778;11039;11317
1124;Sola;22831;23350;23877;24579;25083
1127;Randaberg;9997;10061;10265;10397;10416
1129;Forsand;1149;1166;1190;1227;1242
1130;Strand;11206;11379;11533;11882;12139
1133;Hjelmeland;2744;2814;2807;2799;2787
1134;Suldal;3849;3850;3845;3872;3881
1135;Sauda;4695;4703;4754;4745;4760
1141;Finnøy;2824;2919;2955;3015;3058
1142;Rennesøy;4035;4202;4388;4619;4755
1144;Kvitsøy;527;528;519;528;531
1145;Bokn;831;837;851;865;868
1146;Tysvær;9928;10191;10320;10487;10668
1149;Karmøy;39624;40063;40536;41118;41753
1151;Utsira;218;216;218;209;211
1160;Vindafjord;8197;8298;8447;8615;8747
1201;Bergen;256600;260392;263762;267950;271949
1211;Etne;3882;3909;3963;4040;4057
1216;Sveio;4999;5138;5228;5400;5463
1219;Bømlo;11275;11421;11503;11638;11749
1221;Stord;17565;17804;17957;18161;18425
1222;Fitjar;2931;2929;2944;2980;3009
1223;Tysnes;2779;2756;2766;2736;2745
1224;Kvinnherad;13187;13243;13318;13305;13232
1227;Jondal;1036;1041;1050;1046;1094
1228;Odda;7047;6985;6946;6988;7006
1231;Ullensvang;3382;3405;3417;3403;3369
1232;Eidfjord;958;959;957;952;950
1233;Ulvik;1129;1118;1112;1113;1094
