"Fylke nr & navn";"fylke_nr";"Fylke
navn";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf"
"Nedbrytninger";"";"";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0"
"";"";"";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent"
"00 Hele landet";"0";"Hele landet";"4369957";"191945";"4178012";"31852";"4146160";"100";"4,392377316";"95,60762268";"0,728885891";"94,87873679";"2160745";"96128";"2064617";"16341";"2048276";"49,44545221";"2,199747046";"47,24570516";"0,373939606";"46,87176556";"2209212";"95817";"2113395";"15511";"2097884";"50,55454779";"2,192630271";"48,36191752";"0,354946284";"48,00697124"
"01 Østfold";"1";"Østfold";"240251";"9120";"231131";"1604";"229527";"100";"3,796029985";"96,20397001";"0,667635098";"95,53633492";"118021";"4467";"113554";"873";"112681";"49,12404111";"1,859305476";"47,26473563";"0,363369976";"46,90136566";"122230";"4653";"117577";"731";"116846";"50,87595889";"1,936724509";"48,93923438";"0,304265123";"48,63496926"
"02 Akershus";"2";"Akershus";"439928";"21709";"418219";"3132";"415087";"100";"4,934671128";"95,06532887";"0,71193468";"94,35339419";"217927";"10022";"207905";"1560";"206345";"49,53696969";"2,278100053";"47,25886963";"0,354603481";"46,90426615";"222001";"11687";"210314";"1572";"208742";"50,46303031";"2,656571075";"47,80645924";"0,3573312";"47,44912804"
"03 Oslo";"3";"Oslo";"488659";"61875";"426784";"15421";"411363";"100";"12,66220411";"87,33779589";"3,155779388";"84,1820165";"233623";"32390";"201233";"7953";"193280";"47,80900382";"6,628344101";"41,18065972";"1,627515302";"39,55314442";"255036";"29485";"225551";"7468";"218083";"52,19099618";"6,033860013";"46,15713616";"1,528264086";"44,62887208"
"04 Hedmark";"4";"Hedmark";"186247";"4839";"181408";"499";"180909";"100";"2,598162655";"97,40183735";"0,267923779";"97,13391357";"92090";"2236";"89854";"243";"89611";"49,44509173";"1,200556251";"48,24453548";"0,1304719";"48,11406358";"94157";"2603";"91554";"256";"91298";"50,55490827";"1,397606404";"49,15730186";"0,137451878";"49,01984998"
"05 Oppland";"5";"Oppland";"182883";"4500";"178383";"444";"177939";"100";"2,460589557";"97,53941044";"0,24277817";"97,29663227";"90864";"2211";"88653";"216";"88437";"49,68422434";"1,208969669";"48,47525467";"0,118108299";"48,35714637";"92019";"2289";"89730";"228";"89502";"50,31577566";"1,251619888";"49,06415577";"0,124669871";"48,9394859"
"06 Buskerud";"6";"Buskerud";"229366";"9812";"219554";"2134";"217420";"100";"4,277879023";"95,72212098";"0,930390729";"94,79173025";"112764";"4804";"107960";"1061";"106899";"49,16334592";"2,094469102";"47,06887682";"0,462579458";"46,60629736";"116602";"5008";"111594";"1073";"110521";"50,83665408";"2,183409921";"48,65324416";"0,467811271";"48,18543289"
"07 Vestfold";"7";"Vestfold";"204440";"7028";"197412";"824";"196588";"100";"3,437683428";"96,56231657";"0,40305224";"96,15926433";"99932";"3262";"96670";"421";"96249";"48,88084524";"1,595578165";"47,28526707";"0,20592839";"47,07933868";"104508";"3766";"100742";"403";"100339";"51,11915476";"1,842105263";"49,2770495";"0,197123851";"49,07992565"
"08 Telemark";"8";"Telemark";"163213";"5091";"158122";"630";"157492";"100";"3,119236825";"96,88076317";"0,385998664";"96,49476451";"80354";"2508";"77846";"322";"77524";"49,23259789";"1,536642302";"47,69595559";"0,197288206";"47,49866739";"82859";"2583";"80276";"308";"79968";"50,76740211";"1,582594524";"49,18480758";"0,188710458";"48,99609712"
"09 Aust-Agder";"9";"Aust-Agder";"100211";"3419";"96792";"308";"96484";"100";"3,4118011";"96,5881989";"0,307351488";"96,28084741";"49774";"1638";"48136";"171";"47965";"49,66919799";"1,634551097";"48,0346469";"0,17063995";"47,86400695";"50437";"1781";"48656";"137";"48519";"50,33080201";"1,777250002";"48,55355201";"0,136711539";"48,41684047"
"10 Vest-Agder";"10";"Vest-Agder";"150426";"6972";"143454";"921";"142533";"100";"4,634837063";"95,36516294";"0,612261178";"94,75290176";"74398";"3413";"70985";"472";"70513";"49,45820536";"2,268889687";"47,18931568";"0,313775544";"46,87554013";"76028";"3559";"72469";"449";"72020";"50,54179464";"2,365947376";"48,17584726";"0,298485634";"47,87736163"
"11 Rogaland";"11";"Rogaland";"357027";"15633";"341394";"1920";"339474";"100";"4,378660437";"95,62133956";"0,537774454";"95,08356511";"177998";"8313";"169685";"1001";"168684";"49,85561316";"2,328395331";"47,52721783";"0,280370952";"47,24684688";"179029";"7320";"171709";"919";"170790";"50,14438684";"2,050265106";"48,09412173";"0,257403502";"47,83671823"
"12 Hordaland";"12";"Hordaland";"425247";"14331";"410916";"1652";"409264";"100";"3,370041411";"96,62995859";"0,388480107";"96,24147848";"211067";"7416";"203651";"827";"202824";"49,63397743";"1,743927647";"47,89004978";"0,194475211";"47,69557457";"214180";"6915";"207265";"825";"206440";"50,36602257";"1,626113764";"48,73990881";"0,194004896";"48,54590391"
"14 Sogn og Fjordane";"14";"Sogn og Fjordane";"107738";"2439";"105299";"233";"105066";"100";"2,263825206";"97,73617479";"0,216265385";"97,51990941";"54570";"1189";"53381";"132";"53249";"50,65065251";"1,103603186";"49,54704932";"0,122519445";"49,42452988";"53168";"1250";"51918";"101";"51817";"49,34934749";"1,16022202";"48,18912547";"0,093745939";"48,09537953"
"15 Møre og Romsdal";"15";"Møte og Romsdal";"241032";"4711";"236321";"408";"235913";"100";"1,954512264";"98,04548774";"0,16927213";"97,87621561";"120492";"2289";"118203";"200";"118003";"49,99004282";"0,949666434";"49,04037638";"0,082976534";"48,95739985";"120540";"2422";"118118";"208";"117910";"50,00995718";"1,00484583";"49,00511135";"0,086295596";"48,91881576"
"16 Sør-Trøndelag";"16";"Sør-Trøndelag";"257196";"7659";"249537";"890";"248647";"100";"2,977884571";"97,02211543";"0,346039596";"96,67607583";"127055";"3843";"123212";"443";"122769";"49,40006843";"1,4941912";"47,90587723";"0,172242181";"47,73363505";"130141";"3816";"126325";"447";"125878";"50,59993157";"1,48369337";"49,1162382";"0,173797415";"48,94244078"
"17 Nord-Trøndelag";"17";"Nord-Trøndelag";"127325";"2047";"125278";"138";"125140";"100";"1,607696839";"98,39230316";"0,108384057";"98,2839191";"63815";"999";"62816";"83";"62733";"50,11977224";"0,784606322";"49,33516591";"0,065187512";"49,2699784";"63510";"1048";"62462";"55";"62407";"49,88022776";"0,823090516";"49,05713725";"0,043196544";"49,0139407"
"18 Nordland";"18";"Nordland";"241147";"4293";"236854";"270";"236584";"100";"1,780241927";"98,21975807";"0,111964901";"98,10779317";"120656";"2073";"118583";"136";"118447";"50,0342115";"0,859641629";"49,17456987";"0,056397135";"49,11817273";"120491";"2220";"118271";"134";"118137";"49,9657885";"0,920600298";"49,0451882";"0,055567766";"48,98962044"
"19 Troms Romsa";"19";"Troms Romsa";"151160";"3694";"147466";"228";"147238";"100";"2,443768193";"97,55623181";"0,150833554";"97,40539825";"76133";"1770";"74363";"125";"74238";"50,36583752";"1,170944694";"49,19489283";"0,082693834";"49,11219899";"75027";"1924";"73103";"103";"73000";"49,63416248";"1,272823498";"48,36133898";"0,06813972";"48,29319926"
"20 Finnmark Finnmárku";"20";"Finnmark Finnmárku";"76461";"2773";"73688";"196";"73492";"100";"3,6266855";"96,3733145";"0,256339833";"96,11697467";"39212";"1285";"37927";"102";"37825";"51,28366095";"1,680595336";"49,60306562";"0,133401342";"49,46966427";"37249";"1488";"35761";"94";"35667";"48,71633905";"1,946090164";"46,77024889";"0,122938492";"46,64731039"
