nr;navn;anmodning;vedtak;bosatt;personer;narringsregionnr
1026;Åseral;10;5;4;925;34
1027;Audnedal;10;5;3;1750;34
1029;Lindesnes;20;10;10;4880;34
1032;Lyngdal;35;20;18;8335;33
1034;Hægebostad;10;5;5;1693;33
1037;Kvinesdal;30;30;27;5948;33
1046;Sirdal;10;5;4;1838;33
1101;Eigersund;35;35;32;14916;36
1102;Sandnes;70;70;75;73624;39
1103;Stavanger;120;120;112;132102;39
1106;Haugesund;60;50;50;36538;37
1111;Sokndal;10;10;0;3309;36
1112;Lund;25;10;10;3247;36
1114;Bjerkreim;10;10;9;2861;36
1119;Hå;35;25;23;18528;39
1120;Klepp;35;25;25;18741;39
1121;Time;35;28;29;18306;39
1122;Gjesdal;30;15;17;11600;39
1124;Sola;40;27;18;25708;39
1127;Randaberg;30;21;27;10556;39
1129;Forsand;8;5;0;1208;38
1130;Strand;30;15;22;12395;38
1133;Hjelmeland;25;9;8;2785;38
1134;Suldal;25;15;17;3892;38
1135;Sauda;25;10;10;4756;37
1141;Finnøy;10;.;0;3147;38
1142;Rennesøy;25;10;12;4794;39
1144;Kvitsøy;8;4;3;534;39
1145;Bokn;8;0;0;865;37
1146;Tysvær;30;20;16;10857;37
1149;Karmøy;60;30;42;42062;37
1151;Utsira;8;8;0;206;37
1160;Vindafjord;25;10;7;8765;37
1201;Bergen;350;350;323;275112;40
1211;Etne;10;10;5;4103;46
1216;Sveio;20;20;4;5509;46
1219;Bømlo;30;24;28;11761;46
1221;Stord;35;20;22;18685;46
1222;Fitjar;10;.;0;3093;46
1223;Tysnes;10;7;7;2782;46
1224;Kvinnherad;25;10;15;13234;46
1227;Jondal;10;.;0;1100;42
1228;Odda;20;10;13;6952;42
1231;Ullensvang;20;15;16;3411;42
1232;Eidfjord;10;0;0;950;42
1233;Ulvik;10;10;12;1107;42
1234;Granvin;10;0;0;921;42
1235;Voss;30;30;34;14347;43
1238;Kvam;20;15;7;8539;42
1241;Fusa;10;10;4;3838;41
1242;Samnanger;15;0;0;2443;41
1243;Os (Hord.);25;10;13;19097;41
1244;Austevoll;10;10;5;5012;46
1245;Sund;15;10;10;6752;47
1246;Fjell;40;20;20;24427;47
1247;Askøy;40;25;24;27858;47
1251;Vaksdal;15;6;5;4096;45
1252;Modalen;8;0;0;378;45
1253;Osterøy;15;7;7;7842;45
1256;Meland;25;10;10;7736;44
1259;Øygarden;20;15;19;4733;47
1260;Radøy;20;6;9;5014;44
1263;Lindås;25;25;17;15402;44
1264;Austrheim;15;11;22;2856;44
1265;Fedje;8;.;1;563;44
1266;Masfjorden;10;0;0;1704;44
1401;Flora;35;45;45;11862;51
1411;Gulen;10;10;8;2335;48
1412;Solund;8;.;0;800;48
1413;Hyllestad;10;7;9;1405;48
1416;Høyanger;20;20;11;4169;50
1417;Vik;15;0;3;2678;50
1418;Balestrand;10;.;0;1304;50
1419;Leikanger;10;10;1;2276;50
1420;Sogndal;30;35;33;7677;50
1421;Aurland;10;0;0;1738;50
1422;Lærdal;10;15;6;2146;50
1424;Årdal;15;15;8;5429;50
1426;Luster;15;15;11;5118;50
1428;Askvoll;10;0;0;3008;48
1429;Fjaler;10;10;0;2823;48
1430;Gaular;10;.;0;2960;51
1431;Jølster;15;7;8;3026;51
1432;Førde;35;20;13;12801;51
1433;Naustdal;10;.;0;2777;51
1438;Bremanger;15;0;15;3890;49
1439;Vågsøy;10;10;6;6082;49
1441;Selje;10;7;0;2752;49
1443;Eid;30;30;20;5987;49
1444;Hornindal;8;0;0;1221;49
1445;Gloppen;20;20;5;5751;49
1449;Stryn;25;25;27;7155;49
1502;Molde;60;60;105;26392;53
1504;Ålesund;90;50;48;46316;56
1505;Kristiansund;50;50;47;24507;52
1511;Vanylven;15;0;9;3258;55
1514;Sande (M. og R.);10;.;0;2635;55
1515;Herøy (M. og R.);30;10;9;8934;55
1516;Ulstein;20;20;15;8292;55
1517;Hareid;15;10;4;5065;55
1519;Volda;30;30;31;8977;55
1520;Ørsta;30;21;19;10589;55
1523;Ørskog;10;0;7;2294;54
1524;Norddal;10;0;0;1676;54
1525;Stranda;10;0;0;4605;54
1526;Stordal;10;0;0;1043;54
1528;Sykkylven;20;19;2;7707;54
1529;Skodje;10;10;6;4465;56
1531;Sula;25;12;7;8855;56
1532;Giske;15;10;10;7924;56
1534;Haram;30;24;24;9120;56
1535;Vestnes;15;10;7;6708;53
1539;Rauma;15;.;0;7445;53
1543;Nesset;10;10;10;2975;53
1545;Midsund;10;0;0;2068;53
1546;Sandøy;10;0;0;1262;56
1547;Aukra;15;.;2;3466;53
1548;Fræna;30;.;6;9787;53
1551;Eide;10;5;0;3463;52
1554;Averøy;15;10;6;5794;52
1557;Gjemnes;15;0;0;2580;52
1560;Tingvoll;10;5;12;3090;52
1563;Sunndal;35;37;24;7155;52
1566;Surnadal;15;15;25;5976;52
1567;Rindal;10;10;0;2038;52
1571;Halsa;10;5;5;1563;52
1573;Smøla;10;0;0;2146;52
1576;Aure;10;10;11;3549;52
1601;Trondheim;300;300;314;184960;61
1612;Hemne;10;5;7;4254;60
1613;Snillfjord;10;0;0;982;60
1617;Hitra;15;10;10;4569;58
1620;Frøya;15;15;0;4634;58
1621;Ørland;15;15;10;5183;57
1622;Agdenes;10;.;0;1770;60
1624;Rissa;20;14;16;6676;57
1627;Bjugn;15;15;7;4715;57
1630;Åfjord;10;5;7;3248;57
1632;Roan;10;0;0;977;57
1633;Osen;10;0;0;1010;57
1634;Oppdal;20;20;18;6852;59
1635;Rennebu;10;10;3;2567;59
1636;Meldal;10;10;11;3967;60
1638;Orkdal;30;20;20;11722;60
1640;Røros;15;5;16;5593;62
1644;Holtålen;10;0;0;2014;62
1648;Midtre Gauldal;15;8;8;6336;61
1653;Melhus;35;15;7;15916;61
1657;Skaun;20;6;7;7668;61
1662;Klæbu;15;10;9;5995;61
1663;Malvik;30;15;7;13498;61
1664;Selbu;10;10;10;4078;61
1665;Tydal;10;10;9;863;62
1702;Steinkjer;45;35;34;21650;64
1703;Namsos;40;40;41;13026;67
1711;Meråker;15;10;13;2558;63
1714;Stjørdal;45;45;50;22957;63
1717;Frosta;10;10;10;2624;63
1718;Leksvik;10;10;6;3506;57
1719;Levanger;45;45;48;19474;64
1721;Verdal;35;35;35;14809;64
1724;Verran;10;10;10;2547;64
1725;Namdalseid;10;0;0;1644;67
1736;Snåsa;10;10;11;2153;65
1738;Lierne;10;10;14;1394;65
1739;Røyrvik;10;0;0;475;65
1740;Namsskogan;10;0;0;892;65
1742;Grong;15;15;15;2489;65
1743;Høylandet;10;0;0;1252;65
1744;Overhalla;10;10;9;3751;67
1748;Fosnes;10;0;0;630;67
1749;Flatanger;10;0;0;1119;67
1750;Vikna;15;15;16;4363;66
1751;Nærøy;20;20;18;5081;66
1755;Leka;10;0;0;574;66
1756;Inderøy (f.o.m. 2012);20;13;13;6770;64
1804;Bodø;90;90;78;50185;73
1805;Narvik;40;40;36;18853;74
1811;Bindal;10;0;0;1482;68
1812;Sømna;15;10;8;2063;68
1813;Brønnøy;30;20;25;7934;68
1815;Vega;15;.;0;1225;68
1816;Vevelstad;10;7;10;510;68
1818;Herøy (Nordl.);10;0;0;1737;69
1820;Alstahaug;35;30;29;7454;69
1822;Leirfjord;20;20;20;2188;69
1824;Vefsn;30;30;26;13352;71
1825;Grane;15;.;0;1458;71
1826;Hattfjelldal;15;15;8;1533;71
1827;Dønna;10;0;0;1407;69
1828;Nesna;20;20;20;1871;72
1832;Hemnes;10;.;0;4528;72
1833;Rana;50;50;33;26078;72
1834;Lurøy;15;.;0;1917;70
1835;Træna;10;.;0;486;70
1836;Rødøy;15;0;0;1269;70
1837;Meløy;15;15;17;6454;73
1838;Gildeskål;15;15;7;2014;73
1839;Beiarn;10;5;6;1058;73
1840;Saltdal;20;15;14;4734;73
1841;Fauske;25;30;23;9622;73
1845;Sørfold;10;.;0;1953;73
1848;Steigen;10;10;9;2507;73
1849;Hamarøy;20;16;21;1811;73
1850;Tysfjord;15;.;0;1996;74
1851;Lødingen;15;10;9;2160;76
1852;Tjeldsund;15;.;0;1280;74
1853;Evenes;15;15;15;1385;74
1854;Ballangen;15;10;13;2581;74
1856;Røst;10;.;0;545;75
1857;Værøy;10;.;0;780;75
1859;Flakstad;15;.;0;1358;75
1860;Vestvågøy;40;42;40;11140;75
1865;Vågan;40;50;45;9285;75
1866;Hadsel;25;15;17;8057;76
1867;Bø (Nordl.);15;15;17;2642;76
1868;Øksnes;15;.;1;4563;76
1870;Sortland;35;25;31;10166;76
1871;Andøy;30;30;20;4991;76
1874;Moskenes;15;0;0;1070;75
1902;Tromsø;120;120;112;72681;79
1903;Harstad;70;60;60;24676;77
1911;Kvæfjord;10;5;6;3076;77
1913;Skånland;10;10;7;2988;77
1917;Ibestad;15;2;5;1410;77
1919;Gratangen;10;6;5;1137;77
1920;Lavangen;15;15;4;1008;77
1922;Bardu;15;15;11;4078;78
1923;Salangen;20;20;22;2219;77
1924;Målselv;20;10;12;6693;78
1925;Sørreisa;20;18;12;3451;78
1926;Dyrøy;15;.;0;1154;78
1927;Tranøy;15;15;21;1544;78
1928;Torsken;10;10;10;884;78
1929;Berg;10;10;10;905;78
1931;Lenvik;40;40;27;11535;78
1933;Balsfjord;20;20;0;5720;79
1936;Karlsøy;10;0;0;2289;79
1938;Lyngen;15;0;0;2922;80
1939;Storfjord;10;2;1;1898;80
1940;Gáivuotna Kåfjord;10;10;0;2182;80
1941;Skjervøy;10;10;5;2895;80
1942;Nordreisa;20;10;11;4882;80
1943;Kvænangen;15;.;0;1226;80
2002;Vardø;20;.;0;2128;83
2003;Vadsø;90;90;93;6239;83
2004;Hammerfest;30;32;34;10417;81
2011;Guovdageaidnu Kautokeino;20;0;0;2914;82
2012;Alta;40;40;40;19898;81
2014;Loppa;15;.;0;989;81
2015;Hasvik;15;0;0;1041;81
2017;Kvalsund;10;0;0;1049;81
2018;Måsøy;15;0;0;1241;81
2019;Nordkapp;10;10;12;3278;81
2020;Porsanger Porsángu Porsanki;20;15;13;3925;82
2021;Kárásjohka Karasjok;20;0;0;2708;82
2022;Lebesby;15;.;0;1343;82
2023;Gamvik;15;.;0;1116;83
2024;Berlevåg;15;0;0;1020;83
2025;Deatnu Tana;15;15;14;2909;82
2027;Unjárga Nesseby;10;10;11;934;83
2028;Båtsfjord;10;0;0;2235;83
2030;Sør-Varanger;40;30;34;10221;83
9999;Uoppgitt;0;0;65;.;99
