"kommune_nr","aar","enhet","tabell_navn","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
425,2015,"kroner","tilskudd",0,0,0,382600,160000,878000,4821000,3943000,8180344.16,0,13543944.16,13543944.16,0
426,2015,"kroner","tilskudd",0,0,0,0,0,0,0,0,2863281.66,0,2863281.66,2863281.66,0
427,2015,"kroner","tilskudd",97600,0,0,3713425,2372505,9467800,32040800,22573000,4433825,0,42658155,42658155,0
428,2015,"kroner","tilskudd",146400,250000,0,1080100,0,3007000,9481000,6474000,1842475,0,12799975,12799975,0
429,2015,"kroner","tilskudd",46800,50000,0,1386926,351800,1723000,3801000,2078000,1409925,0,7046451,7046451,0
430,2015,"kroner","tilskudd",48800,150000,0,0,0,2466000,4407200,1941200,8394054.16,0,13000054.16,13000054.16,0
432,2015,"kroner","tilskudd",97600,50000,157500,0,0,2184000,5558000,3374000,1172975,0,7036075,7036075,0
434,2015,"kroner","tilskudd",0,0,0,0,2938392,182000,4085000,3903000,4819437.5,0,11842829.5,11842829.5,0
436,2015,"kroner","tilskudd",0,0,0,191300,0,1556000,5681600,4125600,1054012.5,0,6926912.5,6926912.5,0
437,2015,"kroner","tilskudd",0,700000,157500,3826002,2451282,4289000,4989000,8559300,2573400,0,22556484,14697184,7859300
438,2015,"kroner","tilskudd",0,0,0,191300,0,3480000,7198000,3718000,1051037.5,0,8440337.5,8440337.5,0
439,2015,"kroner","tilskudd",24400,0,0,0,0,1970000,3838000,1868000,795300,0,4657700,4657700,0
441,2015,"kroner","tilskudd",0,0,0,1115917,0,1113800,3751800,2638000,1124875,0,5992592,5992592,0
501,2015,"kroner","tilskudd",195200,600000,0,2997381,13778420,16534000,17134000,30979550,6271650,0,71356201,40976651,30379550
502,2015,"kroner","tilskudd",96600,150000,157500,5493200,13292623,14500000,44263200,29763200,6464529.16,0,69917652.16,69917652.16,0
511,2015,"kroner","tilskudd",0,0,0,0,0,1467000,5124600,3657600,7868429.16,0,12993029.16,12993029.16,0
512,2015,"kroner","tilskudd",0,0,0,0,0,1456000,2506000,1050000,363937.5,0,2869937.5,2869937.5,0
513,2015,"kroner","tilskudd",0,0,0,0,0,1110000,4754600,3644600,1066050,0,5820650,5820650,0
514,2015,"kroner","tilskudd",24400,0,0,0,0,1938000,6480000,4542000,1166525,0,7670925,7670925,0
515,2015,"kroner","tilskudd",72200,250000,152200,0,0,3675000,10169350,6494350,1761750,0,12405500,12405500,0
516,2015,"kroner","tilskudd",0,0,0,191300,0,225000,8032600,7807600,1608537.5,0,9832437.5,9832437.5,0
517,2015,"kroner","tilskudd",167800,0,0,1209600,625000,7484000,17685800,10201800,8539025,0,28227225,28227225,0
519,2015,"kroner","tilskudd",0,0,0,0,0,464000,651200,187200,938700,0,1589900,1589900,0
520,2015,"kroner","tilskudd",72200,150000,0,0,0,3074000,6206000,3132000,4872875,0,11301075,11301075,0
521,2015,"kroner","tilskudd",73200,450000,0,382600,5096783,4204000,11789000,7585000,1815862.5,0,19607445.5,19607445.5,0
