nr & navn";"naringsregion_nr";"Næringsregion
navn";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf"
"Nedbrytninger";"";"";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0"
"";"";"";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent"
"47 Hordaland Vest";"47";"Hordaland Vest";"59758";"3986";"55772";"382";"55390";"100";"6,670236621";"93,32976338";"0,639244955";"92,69051842";"30274";"2082";"28192";"200";"27992";"50,66099936";"3,484052344";"47,17694702";"0,334683222";"46,8422638";"29484";"1904";"27580";"182";"27398";"49,33900064";"3,186184277";"46,15281636";"0,304561732";"45,84825463"
"48 HAFS";"48";"HAFS";"10464";"825";"9639";"43";"9596";"100";"7,884174312";"92,11582569";"0,410932722";"91,70489297";"5312";"402";"4910";"18";"4892";"50,76452599";"3,841743119";"46,92278287";"0,172018349";"46,75076453";"5152";"423";"4729";"25";"4704";"49,23547401";"4,042431193";"45,19304281";"0,238914373";"44,95412844"
"49 Nordfjord";"49";"Nordfjord";"32765";"2661";"30104";"214";"29890";"100";"8,121471082";"91,87852892";"0,653135968";"91,22539295";"16670";"1434";"15236";"103";"15133";"50,87746071";"4,376621395";"46,50083931";"0,314359835";"46,18647948";"16095";"1227";"14868";"111";"14757";"49,12253929";"3,744849687";"45,37768961";"0,338776133";"45,03891347"
"50 Sogn";"50";"Sogn";"32401";"2152";"30249";"201";"30048";"100";"6,641770316";"93,35822968";"0,620351224";"92,73787846";"16342";"1153";"15189";"105";"15084";"50,43671492";"3,558532144";"46,87818277";"0,324064072";"46,5541187";"16059";"999";"15060";"96";"14964";"49,56328508";"3,083238172";"46,48004691";"0,296287152";"46,18375976"
"51 Sunnfjord";"51";"Sunnfjord";"32571";"2263";"30308";"247";"30061";"100";"6,947898437";"93,05210156";"0,758343312";"92,29375825";"16574";"1205";"15369";"128";"15241";"50,88575727";"3,699610083";"47,18614719";"0,392987627";"46,79315956";"15997";"1058";"14939";"119";"14820";"49,11424273";"3,248288355";"45,86595438";"0,365355685";"45,50059869"
"52 Nordmøre";"52";"Nordmøre";"61098";"4030";"57068";"355";"56713";"100";"6,595960588";"93,40403941";"0,581033749";"92,82300566";"30862";"2088";"28774";"176";"28598";"50,51229173";"3,417460473";"47,09483125";"0,288061802";"46,80676945";"30236";"1942";"28294";"179";"28115";"49,48770827";"3,178500115";"46,30920816";"0,292971947";"46,01623621"
"53 Romsdal";"53";"Romsdal";"57220";"4106";"53114";"344";"52770";"100";"7,175812653";"92,82418735";"0,601188396";"92,22299895";"28901";"2178";"26723";"177";"26546";"50,50856344";"3,806361412";"46,70220203";"0,309332401";"46,39286963";"28319";"1928";"26391";"167";"26224";"49,49143656";"3,369451241";"46,12198532";"0,291855994";"45,83012933"
"54 Storfjord";"54";"Storfjord";"17232";"1654";"15578";"187";"15391";"100";"9,598421541";"90,40157846";"1,085190344";"89,31638812";"8662";"856";"7806";"94";"7712";"50,26694522";"4,967502321";"45,2994429";"0,54549675";"44,75394615";"8570";"798";"7772";"93";"7679";"49,73305478";"4,63091922";"45,10213556";"0,539693593";"44,56244197"
"55 Søre Sunnmøre";"55";"Søre Sunnmøre";"46622";"3977";"42645";"353";"42292";"100";"8,53030758";"91,46969242";"0,757153275";"90,71253914";"23749";"2240";"21509";"183";"21326";"50,93947064";"4,804598687";"46,13487195";"0,392518553";"45,7423534";"22873";"1737";"21136";"170";"20966";"49,06052936";"3,725708893";"45,33482047";"0,364634722";"44,97018575"
"56 Ålesundregionen";"56";"Ålesundregionen";"74456";"6492";"67964";"656";"67308";"100";"8,71924358";"91,28075642";"0,881057269";"90,39969915";"37806";"3544";"34262";"341";"33921";"50,77629741";"4,759858171";"46,01643924";"0,457988611";"45,55845063";"36650";"2948";"33702";"315";"33387";"49,22370259";"3,959385409";"45,26431718";"0,423068658";"44,84124852"
