"";"nr";"navn";"bosatte";"anmodning";"vedtak";"ved_anm";"bos_anm";"Personer";"bos_pers"
"256";1445;"Gloppen";14;30;10;0,333333333333333;0,466666666666667;5679;2,46522275048424
"257";1449;"Stryn";13;30;15;0,5;0,433333333333333;7065;1,84005661712668
"258";1502;"Molde";53;55;55;1;0,963636363636364;25488;2,07940991839297
"259";1504;"Ålesund";32;60;40;0,666666666666667;0,533333333333333;44416;0,720461095100865
"260";1505;"Kristiansund";30;50;40;0,8;0,6;23813;1,25981606685424
"261";1511;"Vanylven";0;0;0;NA;NA;3388;0
"262";1514;"Sande (M. og R.)";0;0;0;NA;NA;2588;0
"263";1515;"Herøy (M. og R.)";6;20;10;0,5;0,3;8727;0,687521485046408
"264";1516;"Ulstein";19;20;20;1;0,95;7828;2,42718446601942
"265";1517;"Hareid";11;15;15;1;0,733333333333333;5000;2,2
"266";1519;"Volda";29;30;25;0,833333333333333;0,966666666666667;8693;3,33601748533303
"267";1520;"Ørsta";24;30;25;0,833333333333333;0,8;10398;2,30813618003462
"268";1523;"Ørskog";1;0;0;NA;Inf;2202;0,454132606721163
"269";1524;"Norddal";0;0;0;NA;NA;1738;0
"270";1525;"Stranda";0;0;0;NA;NA;4602;0
"271";1526;"Stordal";0;0;0;NA;NA;1026;0
"272";1528;"Sykkylven";11;20;14;0,7;0,55;7664;1,43528183716075
"273";1529;"Skodje";0;0;0;NA;NA;4184;0
"274";1531;"Sula";0;10;0;0;0;8256;0
"275";1532;"Giske";6;10;6;0,6;0,6;7312;0,820568927789934
"276";1534;"Haram";18;20;20;1;0,9;8973;2,00601805416249
"277";1535;"Vestnes";2;5;3;0,6;0,4;6539;0,305857164704083
"278";1539;"Rauma";0;5;0;0;0;7428;0
"279";1543;"Nesset";0;0;0;NA;NA;3004;0
"280";1545;"Midsund";0;0;0;NA;NA;1988;0
"281";1546;"Sandøy";0;0;0;NA;NA;1315;0
"282";1547;"Aukra";5;10;8;0,8;0,5;3289;1,52021891152326
"283";1548;"Fræna";0;10;3;0,3;0;9484;0
"284";1551;"Eide";5;10;2;0,2;0,5;3442;1,45264381173736
"285";1554;"Averøy";0;0;0;NA;NA;5593;0
"286";1557;"Gjemnes";0;10;0;0;0;2579;0
"287";1560;"Tingvoll";2;10;5;0,5;0,2;3101;0,644953240890035
"288";1563;"Sunndal";20;25;25;1;0,8;7196;2,77932184546971
"289";1566;"Surnadal";0;0;0;NA;NA;5952;0
"290";1567;"Rindal";0;0;0;NA;NA;2088;0
"291";1571;"Halsa";0;0;0;NA;NA;1641;0
"292";1573;"Smøla";0;0;0;NA;NA;2182;0
"293";1576;"Aure";10;10;5;0,5;1;3511;2,84819139846198
"294";1601;"Trondheim";242;270;240;0,888888888888889;0,896296296296296;176348;1,37228661510196
"295";1612;"Hemne";5;5;5;1;1;4221;1,18455342335939
"296";1613;"Snillfjord";0;0;0;NA;NA;981;0
"297";1617;"Hitra";0;10;10;1;0;4399;0
"298";1620;"Frøya";0;0;0;NA;NA;4369;0
"299";1621;"Ørland";0;0;0;NA;NA;5119;0
"300";1622;"Agdenes";0;0;0;NA;NA;1715;0
"301";1624;"Rissa";8;11;11;1;0,727272727272727;6543;1,22268072749503
"302";1627;"Bjugn";0;0;0;NA;NA;4584;0
"303";1630;"Åfjord";0;0;0;NA;NA;3257;0
"304";1632;"Roan";0;0;0;NA;NA;987;0
"305";1633;"Osen";0;0;0;NA;NA;1020;0
"306";1634;"Oppdal";15;20;15;0,75;0,75;6755;2,22057735011103
"307";1635;"Rennebu";0;0;0;NA;NA;2569;0
"308";1636;"Meldal";0;0;0;NA;NA;3924;0
"309";1638;"Orkdal";20;25;20;0,8;0,8;11429;1,74993437746085
"310";1640;"Røros";7;15;10;0,666666666666667;0,466666666666667;5604;1,24910778015703
"311";1644;"Holtålen";0;0;0;NA;NA;2013;0
"312";1648;"Midtre Gauldal";16;15;16;1,06666666666667;1,06666666666667;6153;2,60035754916301
"313";1653;"Melhus";14;25;15;0,6;0,56;15392;0,90956340956341
"314";1657;"Skaun";3;15;6;0,4;0,2;6941;0,432214378331652
"315";1662;"Klæbu";0;5;0;0;0;5930;0
"316";1663;"Malvik";9;20;10;0,5;0,45;12785;0,703949941337505
"317";1664;"Selbu";0;0;0;NA;NA;4042;0
"318";1665;"Tydal";0;0;0;NA;NA;870;0
"319";1702;"Steinkjer";31;40;35;0,875;0,775;21303;1,45519410411679
"320";1703;"Namsos";41;40;40;1;1,025;12953;3,165289894233
"321";1711;"Meråker";13;20;10;0,5;0,65;2513;5,17309988062077
"322";1714;"Stjørdal";40;45;40;0,888888888888889;0,888888888888889;22058;1,81340103363859
"323";1717;"Frosta";0;0;0;NA;NA;2618;0
"324";1718;"Leksvik";7;8;8;1;0,875;3527;1,98468953785086
"325";1719;"Levanger";40;40;40;1;1;18922;2,11394144382201
"326";1721;"Verdal";24;35;25;0,714285714285714;0,685714285714286;14387;1,66817265586988
"327";1724;"Verran";6;10;10;1;0,6;2705;2,2181146025878
"328";1725;"Namdalseid";0;0;0;NA;NA;1694;0
"329";1736;"Snåsa";0;0;0;NA;NA;2164;0
"330";1738;"Lierne";0;0;0;NA;NA;1410;0
"331";1739;"Røyrvik";0;0;0;NA;NA;494;0
"332";1740;"Namsskogan";0;0;0;NA;NA;916;0
"333";1742;"Grong";15;15;15;1;1;2409;6,2266500622665
"334";1743;"Høylandet";0;0;0;NA;NA;1264;0
"335";1744;"Overhalla";4;3;3;1;1,33333333333333;3679;1,0872519706442
"336";1748;"Fosnes";0;0;0;NA;NA;668;0
"337";1749;"Flatanger";0;0;0;NA;NA;1141;0
"338";1750;"Vikna";13;15;10;0,666666666666667;0,866666666666667;4241;3,065314784249
"339";1751;"Nærøy";18;15;15;1;1,2;5069;3,55099625172618
"340";1755;"Leka";0;0;0;NA;NA;573;0
"341";1756;"Inderøy (f.o.m. 2012)";11;0;0;NA;Inf;6682;1,64621370847052
"342";1804;"Bodø";65;90;70;0,777777777777778;0,722222222222222;48422;1,34236504068399
"343";1805;"Narvik";22;50;40;0,8;0,44;18473;1,19092729930168
"344";1811;"Bindal";0;0;0;NA;NA;1562;0
"345";1812;"Sømna";11;20;15;0,75;0,55;2038;5,39744847890088
"346";1813;"Brønnøy";13;30;25;0,833333333333333;0,433333333333333;7778;1,67138081769092
"347";1815;"Vega";0;0;0;NA;NA;1256;0
"348";1816;"Vevelstad";0;0;0;NA;NA;511;0
"349";1818;"Herøy (Nordl.)";0;10;0;0;0;1711;0
"350";1820;"Alstahaug";28;30;30;1;0,933333333333333;7372;3,79815518176886
"351";1822;"Leirfjord";12;15;10;0,666666666666667;0,8;2107;5,6953013763645
"352";1824;"Vefsn";23;25;25;1;0,92;13258;1,73480162920501
"353";1825;"Grane";0;0;0;NA;NA;1455;0
"354";1826;"Hattfjelldal";10;15;11;0,733333333333333;0,666666666666667;1456;6,86813186813187
"355";1827;"Dønna";0;0;0;NA;NA;1433;0
"356";1828;"Nesna";17;10;10;1;1,7;1813;9,37672366243795
"357";1832;"Hemnes";7;10;10;1;0,7;4585;1,52671755725191
"358";1833;"Rana";40;60;50;0,833333333333333;0,666666666666667;25652;1,55933260564478
"359";1834;"Lurøy";0;0;0;NA;NA;1937;0
"360";1835;"Træna";0;0;0;NA;NA;497;0
"361";1836;"Rødøy";0;0;0;NA;NA;1320;0
"362";1837;"Meløy";9;10;10;1;0,9;6657;1,35196034249662
"363";1838;"Gildeskål";1;15;15;1;0,0666666666666667;2000;0,5
"364";1839;"Beiarn";0;0;0;NA;NA;1097;0
"365";1840;"Saltdal";7;15;10;0,666666666666667;0,466666666666667;4710;1,48619957537155
"366";1841;"Fauske";14;20;18;0,9;0,7;9513;1,47167034584253
"367";1845;"Sørfold";0;0;0;NA;NA;2003;0
"368";1848;"Steigen";1;10;10;1;0,1;2609;0,383288616328095
"369";1849;"Hamarøy";8;10;10;1;0,8;1783;4,48681996634885
"370";1850;"Tysfjord";2;10;10;1;0,2;1956;1,02249488752556
"371";1851;"Lødingen";13;15;10;0,666666666666667;0,866666666666667;2179;5,96603946764571
"372";1852;"Tjeldsund";0;0;0;NA;NA;1284;0
"373";1853;"Evenes";12;10;0;0;1,2;1359;8,83002207505519
"374";1854;"Ballangen";6;10;10;1;0,6;2616;2,29357798165138
"375";1856;"Røst";0;0;0;NA;NA;595;0
"376";1857;"Værøy";0;0;0;NA;NA;751;0
