navn";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf"
"Nedbrytninger";"";"";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0"
"";"";"";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent"
"2015 Hasvik";"2015";"Hasvik";"1095";"49";"1046";"4";"1042";"100";"4,474885845";"95,52511416";"0,365296804";"95,15981735";"573";"15";"558";"0";"558";"52,32876712";"1,369863014";"50,95890411";"0";"50,95890411";"522";"34";"488";"4";"484";"47,67123288";"3,105022831";"44,56621005";"0,365296804";"44,20091324"
"2016 Sørøysund (-1991)";"2016";"Sørøysund (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"2017 Kvalsund";"2017";"Kvalsund";"1093";"38";"1055";"0";"1055";"100";"3,476669716";"96,52333028";"0";"96,52333028";"572";"10";"562";"0";"562";"52,33302836";"0,914913083";"51,41811528";"0";"51,41811528";"521";"28";"493";"0";"493";"47,66697164";"2,561756633";"45,105215";"0";"45,105215"
"2018 Måsøy";"2018";"Måsøy";"1399";"44";"1355";"2";"1353";"100";"3,145103645";"96,85489635";"0,142959257";"96,7119371";"737";"19";"718";"1";"717";"52,68048606";"1,358112938";"51,32237312";"0,071479628";"51,2508935";"662";"25";"637";"1";"636";"47,31951394";"1,786990708";"45,53252323";"0,071479628";"45,4610436"
"2019 Nordkapp";"2019";"Nordkapp";"3468";"146";"3322";"8";"3314";"100";"4,209919262";"95,79008074";"0,230680507";"95,55940023";"1760";"56";"1704";"5";"1699";"50,74971165";"1,614763552";"49,1349481";"0,144175317";"48,99077278";"1708";"90";"1618";"3";"1615";"49,25028835";"2,595155709";"46,65513264";"0,08650519";"46,56862745"
"2020 Porsanger Porsángu Porsanki";"2020";"Porsanger Porsángu Porsanki";"4329";"171";"4158";"0";"4158";"100";"3,95010395";"96,04989605";"0";"96,04989605";"2221";"72";"2149";"0";"2149";"51,30515131";"1,663201663";"49,64194964";"0";"49,64194964";"2108";"99";"2009";"0";"2009";"48,69484869";"2,286902287";"46,40794641";"0";"46,40794641"
"2021 Kárásjohka Karasjok";"2021";"Kárásjohka Karasjok";"2865";"122";"2743";"3";"2740";"100";"4,258289703";"95,7417103";"0,104712042";"95,63699825";"1490";"44";"1446";"3";"1443";"52,0069808";"1,535776614";"50,47120419";"0,104712042";"50,36649215";"1375";"78";"1297";"0";"1297";"47,9930192";"2,722513089";"45,27050611";"0";"45,27050611"
"2022 Lebesby";"2022";"Lebesby";"1473";"97";"1376";"10";"1366";"100";"6,585200272";"93,41479973";"0,678886626";"92,7359131";"790";"30";"760";"5";"755";"53,63204345";"2,036659878";"51,59538357";"0,339443313";"51,25594026";"683";"67";"616";"5";"611";"46,36795655";"4,548540394";"41,81941616";"0,339443313";"41,47997284"
"2023 Gamvik";"2023";"Gamvik";"1134";"66";"1068";"3";"1065";"100";"5,82010582";"94,17989418";"0,264550265";"93,91534392";"579";"27";"552";"2";"550";"51,05820106";"2,380952381";"48,67724868";"0,176366843";"48,50088183";"555";"39";"516";"1";"515";"48,94179894";"3,439153439";"45,5026455";"0,088183422";"45,41446208"
"2024 Berlevåg";"2024";"Berlevåg";"1158";"45";"1113";"4";"1109";"100";"3,886010363";"96,11398964";"0,345423143";"95,76856649";"581";"16";"565";"0";"565";"50,17271157";"1,381692573";"48,791019";"0";"48,791019";"577";"29";"548";"4";"544";"49,82728843";"2,504317789";"47,32297064";"0,345423143";"46,9775475"
