"";"naregnr";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10"
"1";"1";12788516;8195800;1495000;6700800;0;3756500;676316;68700;0;91200
"2";"2";56533545;32074500;9219500;22855000;947705;19513300;3031840;113400;442800;410000
"3";"3";57739537;33134800;7008000;26126800;1958941;17674900;3991096;137400;295200;547200
"4";"4";123439952;82974000;24636000;58338000;1219600;29313400;7761852;380500;585800;1204800
"5";"5";182456116;115376300;33586000;81790300;12490146;37986800;13742670;386000;585800;1888400
"6";"6";147388012;101051900;31398500;69653400;4063155;32423500;7635157;475400;0;1738900
"7";"7";160696772;108409700;34140500;74269200;4998813;38477300;6596159;523400;143000;1548400
"8";"8";61782374;38040700;9138500;28902200;4e+05;18760100;3433074;182100;147600;818800
"9";"9";689577091;427991800;122889850;305101950;9494093;212375900;30896098;1660700;1914200;5244300
"10";"10";41065445;29419000;11857000;17562000;1050673;6585500;3042072;246400;290600;431200
"11";"11";65998186;35621750;8208000;27413750;4816006;23577700;1154930;111200;0;716600
"12";"12";116644969;82424000;24911500;57512500;5169835;21772500;5038634;429600;147600;1662800
"13";"13";70448330;45304800;15834000;29470800;1473297;17597200;4625133;360900;290600;796400
"14";"14";111507850;70167300;19079600;51087700;9883465;23441500;5813885;227900;585800;1388000
"15";"15";63440733;52211500;18671000;33540500;223833;7786000;2094400;181000;147600;796400
"16";"16";73398083;46157300;11195500;34961800;14237264;9110900;2824919;373100;0;694600
"17";"17";13801200;8058700;156500;7902200;160000;5388700;0;0;0;193800
"18";"18";46243600;28911800;11263000;17648800;0;15306400;1309000;272600;0;443800
"19";"19";35688700;18880800;4250000;14630800;0;16295100;261800;45800;0;205200
"20";"20";233203730;164219362;51124000;113095362;3905818;49876950;10576700;1156900;442800;3025200
"21";"21";38909599;20477900;4536500;15941400;957309;15493500;1252090;91600;295200;342000
"22";"22";62497502;44506900;13815500;30691400;1883015;12937600;1970687;312900;0;886400
"23";"23";22665552;15192850;4028000;11164850;612610;4562000;1821692;89400;147600;239400
"24";"24";36670274;23429100;7587500;15841600;1158932;10850600;447242;159200;147600;477600
"25";"25";132412107;82306000;26465000;55841000;3002856;32719100;12370551;591000;0;1422600
"26";"26";82435275;53746100;16763000;36983100;2315834;18291300;6515741;474300;0;1092000
"27";"27";244600069;177551000;48734500;128816500;10063379;38391800;14506390;803500;147600;3136400
"28";"28";49969718;29213700;7798000;21415700;6198118;10212600;3403400;179900;147600;614400
"29";"29";56868877;37001750;14982500;22019250;2962855;11314000;4438672;246400;438200;467000
"30";"30";15664000;10921600;2485000;8436600;0;4280700;130900;45800;0;285000
