;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1855 Ankenes (-1973);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
1856 Røst;726;9;717;0;717;100;1,239669421;98,76033058;0;98,76033058;382;3;379;0;379;52,61707989;0,41322314;52,20385675;0;52,20385675;344;6;338;0;338;47,38292011;0,826446281;46,55647383;0;46,55647383
1857 Værøy;948;3;945;0;945;100;0,316455696;99,6835443;0;99,6835443;479;0;479;0;479;50,52742616;0;50,52742616;0;50,52742616;469;3;466;0;466;49,47257384;0,316455696;49,15611814;0;49,15611814
1858 Moskenes (1916-1975);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
1859 Flakstad;1710;18;1692;0;1692;100;1,052631579;98,94736842;0;98,94736842;880;3;877;0;877;51,4619883;0,175438596;51,28654971;0;51,28654971;830;15;815;0;815;48,5380117;0,877192982;47,66081871;0;47,66081871
1860 Vestvågøy;10745;73;10672;1;10671;100;0,679385761;99,32061424;0,009306654;99,31130758;5421;35;5386;1;5385;50,45137273;0,325732899;50,12563983;0,009306654;50,11633318;5324;38;5286;0;5286;49,54862727;0,353652862;49,19497441;0;49,19497441
1865 Vågan;9503;86;9417;5;9412;100;0,904977376;99,09502262;0,052614964;99,04240766;4773;38;4735;1;4734;50,22624434;0,399873724;49,82637062;0,010522993;49,81584763;4730;48;4682;4;4678;49,77375566;0,505103651;49,268652;0,042091971;49,22656003
1866 Hadsel;8763;59;8704;4;8700;100;0,673285405;99,3267146;0,045646468;99,28106813;4365;24;4341;1;4340;49,81170832;0,273878809;49,53782951;0,011411617;49,52641789;4398;35;4363;3;4360;50,18829168;0,399406596;49,78888509;0,034234851;49,75465023
1867 Bø (Nordl.);4106;13;4093;0;4093;100;0,316609839;99,68339016;0;99,68339016;2068;4;2064;0;2064;50,36531905;0,097418412;50,26790063;0;50,26790063;2038;9;2029;0;2029;49,63468095;0,219191427;49,41548953;0;49,41548953
1868 Øksnes;5082;15;5067;0;5067;100;0,295159386;99,70484061;0;99,70484061;2576;8;2568;0;2568;50,68870523;0,157418339;50,53128689;0;50,53128689;2506;7;2499;0;2499;49,31129477;0,137741047;49,17355372;0;49,17355372
