"";"data...1.";"data...i."
"1";NA;"ar.1986"
"2";NA;"innvkat_5.alle"
"3";NA;"kjonn.alle"
"4";NA;"enhet.personer"
"167";"0814 Bamble";"13331"
"168";"0815 Kragerø";"10855"
"169";"0817 Drangedal";"4521"
"170";"0819 Nome";"7104"
"171";"0821 Bø (Telem.)";"4527"
"172";"0822 Sauherad";"4318"
"173";"0826 Tinn";"7201"
"174";"0827 Hjartdal";"1724"
"175";"0828 Seljord";"3176"
"176";"0829 Kviteseid";"2956"
"177";"0830 Nissedal";"1532"
"178";"0831 Fyresdal";"1454"
"179";"0833 Tokke";"2750"
"180";"0834 Vinje";"3994"
"181";"0899 Uoppgitt kommune Telemark";"0"
"182";"0901 Risør";"6953"
"183";"0903 Arendal (-1991)";"12160"
"184";"0904 Grimstad";"14768"
"185";"0906 Arendal";"0"
"186";"0911 Gjerstad";"2687"
"187";"0912 Vegårshei";"1825"
"188";"0914 Tvedestrand";"5772"
"189";"0918 Moland (1962-1991)";"7849"
"190";"0919 Froland";"3849"
"191";"0920 Øyestad (-1991)";"8429"
"192";"0921 Tromøy (-1991)";"4529"
"193";"0922 Hisøy (-1991)";"3944"
"194";"0923 Fjære (-1970)";"0"
"195";"0924 Landvik (-1970)";"0"
"196";"0926 Lillesand";"7564"
"197";"0928 Birkenes";"3995"
"198";"0929 Åmli";"2107"
"199";"0932 Mykland (-1966)";"0"
"200";"0933 Herefoss (-1966)";"0"
"201";"0935 Iveland";"1144"
"202";"0937 Evje og Hornnes";"3420"
"203";"0938 Bygland";"1499"
"204";"0940 Valle";"1481"
"205";"0941 Bykle";"694"
"206";"0999 Uoppgitt kommune Aust-Agder";"0"
"207";"1001 Kristiansand";"62646"
"208";"1002 Mandal";"12231"
"209";"1003 Farsund";"9504"
"210";"1004 Flekkefjord";"8825"
"211";"1014 Vennesla";"11084"
"212";"1017 Songdalen";"4794"
"213";"1018 Søgne";"6900"
"214";"1021 Marnardal";"2269"
"215";"1026 Åseral";"817"
"216";"1027 Audnedal";"1615"
"217";"1029 Lindesnes";"4119"
"218";"1032 Lyngdal";"6503"
"219";"1034 Hægebostad";"1604"
"220";"1037 Kvinesdal";"5677"
"221";"1046 Sirdal";"1624"
"222";"1099 Uoppgitt kommune Vest-Agder";"0"
"223";"1101 Eigersund";"12087"
"224";"1102 Sandnes";"40856"
"225";"1103 Stavanger";"95084"
