"";"data...1."
"210";"1004 Flekkefjord"
"211";"1014 Vennesla"
"212";"1017 Songdalen"
"213";"1018 Søgne"
"214";"1021 Marnardal"
"215";"1026 Åseral"
"216";"1027 Audnedal"
"217";"1029 Lindesnes"
"218";"1032 Lyngdal"
"219";"1034 Hægebostad"
"220";"1037 Kvinesdal"
"221";"1046 Sirdal"
"222";"1099 Uoppgitt kommune Vest-Agder"
"223";"1101 Eigersund"
"224";"1102 Sandnes"
"225";"1103 Stavanger"
"226";"1106 Haugesund"
"227";"1111 Sokndal"
"228";"1112 Lund"
"229";"1114 Bjerkreim"
"230";"1119 Hå"
"231";"1120 Klepp"
"232";"1121 Time"
"233";"1122 Gjesdal"
"234";"1124 Sola"
"235";"1127 Randaberg"
"236";"1129 Forsand"
"237";"1130 Strand"
"238";"1133 Hjelmeland"
"239";"1134 Suldal"
"240";"1135 Sauda"
"241";"1141 Finnøy"
"242";"1142 Rennesøy"
"243";"1144 Kvitsøy"
"244";"1145 Bokn"
"245";"1146 Tysvær"
"246";"1149 Karmøy"
"247";"1151 Utsira"
"248";"1154 Vindafjord (1965-2005)"
"249";"1159 Ølen (-2005)"
"250";"1160 Vindafjord"
"251";"1199 Uoppgitt kommune Rogaland"
"252";"1201 Bergen"
"253";"1211 Etne"
"254";"1214 Ølen (-2001)"
"255";"1216 Sveio"
"256";"1219 Bømlo"
"257";"1221 Stord"
"258";"1222 Fitjar"
"259";"1223 Tysnes"
"260";"1224 Kvinnherad"
"261";"1227 Jondal"
"262";"1228 Odda"
"263";"1230 Ullensvang (-1976)"
"264";"1231 Ullensvang"
"265";"1232 Eidfjord"
"266";"1233 Ulvik"
"267";"1234 Granvin"
"268";"1235 Voss"
"269";"1238 Kvam"
"270";"1241 Fusa"
"271";"1242 Samnanger"
"272";"1243 Os (Hord.)"
"273";"1244 Austevoll"
"274";"1245 Sund"
"275";"1246 Fjell"
"276";"1247 Askøy"
"277";"1248 Laksevåg (1918-1971)"
"278";"1249 Fana (-1971)"
"279";"1250 Arna (1964-1971)"
"280";"1251 Vaksdal"
"281";"1252 Modalen"
"282";"1253 Osterøy"
"283";"1255 Åsane (-1971)"
"284";"1256 Meland"
"285";"1259 Øygarden"
"286";"1260 Radøy"
"287";"1263 Lindås"
"288";"1264 Austrheim"
"289";"1265 Fedje"
"290";"1266 Masfjorden"
"291";"1299 Uoppgitt kommune Hordaland"
"292";"1301 Bergen (-1971)"
"293";"1401 Flora"
"294";"1411 Gulen"
"295";"1412 Solund"
"296";"1413 Hyllestad"
"297";"1416 Høyanger"
"298";"1417 Vik"
"299";"1418 Balestrand"
"300";"1419 Leikanger"
"301";"1420 Sogndal"
"302";"1421 Aurland"
"303";"1422 Lærdal"
"304";"1424 Årdal"
"305";"1426 Luster"
"306";"1428 Askvoll"
"307";"1429 Fjaler"
"308";"1430 Gaular"
"309";"1431 Jølster"
"310";"1432 Førde"
"311";"1433 Naustdal"
"312";"1438 Bremanger"
"313";"1439 Vågsøy"
"314";"1441 Selje"
"315";"1443 Eid"
"316";"1444 Hornindal"
"317";"1445 Gloppen"
"318";"1448 Stryn (-1976)"
"319";"1449 Stryn"
"320";"1499 Uoppgitt kommune Sogn og Fjordane"
"321";"1501 Ålesund (-1976)"
"322";"1502 Molde"
"323";"1503 Kristiansund  (-2007)"
"324";"1504 Ålesund"
"325";"1505 Kristiansund"
"326";"1511 Vanylven"
"327";"1514 Sande (M. og R.)"
"328";"1515 Herøy (M. og R.)"
"329";"1516 Ulstein"
"330";"1517 Hareid"
"331";"1519 Volda"
"332";"1520 Ørsta"
"333";"1523 Ørskog"
"334";"1524 Norddal"
"335";"1525 Stranda"
"336";"1526 Stordal"
"337";"1527 Ørskog (-1976)"
"338";"1528 Sykkylven"
"339";"1529 Skodje"
"340";"1531 Sula"
"341";"1532 Giske"
"342";"1534 Haram"
"343";"1535 Vestnes"
"344";"1539 Rauma"
"345";"1543 Nesset"
"346";"1545 Midsund"
"347";"1546 Sandøy"
"348";"1547 Aukra"
"349";"1548 Fræna"
"350";"1551 Eide"
"351";"1554 Averøy"
"352";"1556 Frei (-2007)"
"353";"1557 Gjemnes"
"354";"1560 Tingvoll"
"355";"1563 Sunndal"
"356";"1566 Surnadal"
"357";"1567 Rindal"
"358";"1569 Aure (-2005)"
"359";"1571 Halsa"
"360";"1572 Tustna (-2005)"
"361";"1573 Smøla"
"362";"1576 Aure"
"363";"1599 Uoppgitt kommune Møre og Romsdal"
"364";"1601 Trondheim"
"365";"1612 Hemne"
"366";"1613 Snillfjord"
"367";"1617 Hitra"
"368";"1620 Frøya"
"369";"1621 Ørland"
"370";"1622 Agdenes"
"371";"1624 Rissa"
"372";"1627 Bjugn"
"373";"1630 Åfjord"
"374";"1632 Roan"
"375";"1633 Osen"
"376";"1634 Oppdal"
"377";"1635 Rennebu"
"378";"1636 Meldal"
"379";"1638 Orkdal"
"380";"1640 Røros"
"381";"1644 Holtålen"
"382";"1645 Haltdalen (-1971)"
"383";"1648 Midtre Gauldal"
"384";"1653 Melhus"
"385";"1657 Skaun"
"386";"1662 Klæbu"
"387";"1663 Malvik"
"388";"1664 Selbu"
"389";"1665 Tydal"
"390";"1699 Uoppgitt kommune Sør-Trøndelag"
"391";"1702 Steinkjer"
"392";"1703 Namsos"
"393";"1711 Meråker"
"394";"1714 Stjørdal"
"395";"1717 Frosta"
"396";"1718 Leksvik"
"397";"1719 Levanger"
"398";"1721 Verdal"
"399";"1723 Mosvik  (-2011)"
"400";"1724 Verran"
"401";"1725 Namdalseid"
"402";"1729 Inderøy (-2011)"
"403";"1736 Snåase Snåsa"
"404";"1738 Lierne"
"405";"1739 Raarvihke Røyrvik"
"406";"1740 Namsskogan"
"407";"1742 Grong"
"408";"1743 Høylandet"
"409";"1744 Overhalla"
"410";"1748 Fosnes"
"411";"1749 Flatanger"
"412";"1750 Vikna"
"413";"1751 Nærøy"
"414";"1755 Leka"
"415";"1756 Inderøy"
"416";"1799 Uoppgitt kommune Nord-Trøndelag"
"417";"1804 Bodø"
"418";"1805 Narvik"
"419";"1811 Bindal"
"420";"1812 Sømna"
"421";"1813 Brønnøy"
"422";"1814 Brønnøy (-1976)"
"423";"1815 Vega"
"424";"1816 Vevelstad"
"425";"1818 Herøy (Nordl.)"
"426";"1820 Alstahaug"
"427";"1822 Leirfjord"
"428";"1824 Vefsn"
"429";"1825 Grane"
"430";"1826 Hattfjelldal"
"431";"1827 Dønna"
"432";"1828 Nesna"
"433";"1832 Hemnes"
"434";"1833 Rana"
"435";"1834 Lurøy"
"436";"1835 Træna"
"437";"1836 Rødøy"
"438";"1837 Meløy"
"439";"1838 Gildeskål"
"440";"1839 Beiarn"
"441";"1840 Saltdal"
"442";"1841 Fauske"
"443";"1842 Skjerstad (-2004)"
"444";"1843 Bodin (-1967)"
"445";"1845 Sørfold"
"446";"1848 Steigen"
"447";"1849 Hábmer Hamarøy"
"448";"1850 Divtasvuodna Tysfjord"
"449";"1851 Lødingen"
"450";"1852 Tjeldsund"
"451";"1853 Evenes"
"452";"1854 Ballangen"
"453";"1855 Ankenes (-1973)"
"454";"1856 Røst"
"455";"1857 Værøy"
"456";"1858 Moskenes (1916-1975)"
"457";"1859 Flakstad"
"458";"1860 Vestvågøy"
"459";"1865 Vågan"
"460";"1866 Hadsel"
"461";"1867 Bø (Nordl.)"
"462";"1868 Øksnes"
"463";"1870 Sortland"
"464";"1871 Andøy"
"465";"1874 Moskenes"
"466";"1899 Uoppgitt kommune Nordland"
"467";"1901 Harstad (-2012)"
"468";"1902 Tromsø"
"469";"1903 Harstad"
"470";"1911 Kvæfjord"
"471";"1913 Skånland"
"472";"1915 Bjarkøy (-2012)"
"473";"1917 Ibestad"
"474";"1919 Gratangen"
"475";"1920 Lavangen"
"476";"1921 Salangen (-1977)"
"477";"1922 Bardu"
"478";"1923 Salangen"
"479";"1924 Målselv"
"480";"1925 Sørreisa"
"481";"1926 Dyrøy"
"482";"1927 Tranøy"
"483";"1928 Torsken"
"484";"1929 Berg"
"485";"1931 Lenvik"
"486";"1933 Balsfjord"
"487";"1936 Karlsøy"
"488";"1938 Lyngen"
"489";"1939 Omasvuotna Storfjord Omasvuonon"
"490";"1940 Gáivuotna Kåfjord"
"491";"1941 Skjervøy"
